timestamp string,wind direction,wind speed
202201010019,228.0,2.2
202201010119,220.0,2.2
202201010219,218.0,2.7
202201010319,217.0,2.7
202201010419,201.0,2.2
202201010519,202.0,2.2
202201010619,214.0,2.7
202201010719,210.0,3.1
202201010819,219.0,2.7
202201010919,232.0,2.2
202201011019,238.0,2.7
202201011119,234.0,3.1
202201011219,231.0,3.1
202201011319,234.0,2.2
202201011419,235.0,2.2
202201011519,221.0,2.2
202201011619,246.0,2.7
202201011719,245.0,3.6
202201011819,228.0,3.1
202201011919,235.0,2.7
202201012019,252.0,3.1
202201012119,233.0,2.7
202201012219,217.0,2.2
202201012319,211.0,3.6
202201020019,233.0,3.6
202201020119,235.0,3.1
202201020219,196.0,4.0
202201020319,228.0,2.7
202201020419,232.0,3.6
202201020519,138.0,0.4
202201020619,113.0,0.9
202201020719,153.0,0.4
202201020819,186.0,1.3
202201020919,222.0,1.3
202201021019,226.0,0.9
202201021119,241.0,0.9
202201021219,217.0,0.4
202201021319,205.0,0.9
202201021419,,0.0
202201021519,234.0,0.9
202201021719,198.0,0.9
202201021819,253.0,0.9
202201021919,273.0,0.9
202201022019,36.0,0.4
202201022119,29.0,2.2
202201022219,73.0,1.3
202201022319,72.0,0.9
202201030019,24.0,0.9
202201030119,41.0,1.3
202201030219,24.0,0.9
202201030319,28.0,1.3
202201030419,55.0,1.8
202201030519,45.0,2.2
202201030619,33.0,2.2
202201030719,23.0,1.8
202201030819,68.0,1.3
202201030919,71.0,1.8
202201031019,69.0,1.3
202201031119,,
202201031219,54.0,0.9
202201031319,65.0,1.3
202201031419,18.0,0.4
202201031519,27.0,1.3
202201031619,40.0,1.3
202201031719,43.0,1.3
202201031819,49.0,0.9
202201031919,40.0,0.9
202201032119,30.0,0.4
202201032219,32.0,0.9
202201032319,25.0,0.9
202201040019,48.0,0.4
202201040119,42.0,0.9
202201040319,,0.0
202201040419,79.0,0.4
202201040519,,0.0
202201040619,234.0,0.4
202201040819,,0.0
202201040919,,0.0
202201041019,,0.0
202201041119,,0.0
202201041219,,0.0
202201041319,,0.0
202201041419,,0.0
202201041519,,0.0
202201041619,,0.0
202201041719,,0.0
202201041819,113.0,0.4
202201041919,45.0,1.3
202201042019,75.0,1.3
202201042119,52.0,1.3
202201042219,88.0,1.3
202201042319,94.0,0.9
202201050019,75.0,1.3
202201050119,185.0,3.1
202201050219,190.0,3.6
202201050319,211.0,5.4
202201050419,194.0,5.4
202201050519,210.0,4.9
202201050619,198.0,4.9
202201050719,199.0,4.5
202201050819,227.0,4.0
202201050919,193.0,3.6
202201051019,211.0,3.6
202201051119,217.0,2.7
202201051319,204.0,3.1
202201051419,223.0,2.2
202201051519,216.0,1.3
202201051619,251.0,1.8
202201051719,212.0,2.7
202201051819,253.0,1.8
202201052019,267.0,1.8
202201052119,280.0,1.3
202201052219,251.0,0.9
202201052319,205.0,0.9
202201060119,222.0,0.9
202201060219,,0.0
202201060319,203.0,0.4
202201060519,162.0,0.4
202201060619,,0.0
202201060719,164.0,0.4
202201060819,,0.0
202201060919,46.0,0.9
202201061019,218.0,0.4
202201061119,198.0,0.4
202201061219,,0.0
202201061319,,0.0
202201061419,48.0,0.4
202201061519,11.0,0.4
202201061619,244.0,0.4
202201061719,26.0,1.3
202201061819,209.0,1.8
202201061919,196.0,4.0
202201062019,6.0,1.3
202201062119,43.0,0.9
202201062219,8.0,0.9
202201062319,34.0,0.4
202201070019,351.0,0.9
202201070119,70.0,1.8
202201070219,338.0,0.9
202201070319,98.0,1.3
202201070419,45.0,0.9
202201070519,82.0,0.9
202201070619,26.0,0.9
202201070719,54.0,0.9
202201070819,61.0,0.9
202201070919,13.0,1.3
202201071019,18.0,0.9
202201071119,43.0,1.3
202201071219,5.0,0.9
202201071319,331.0,0.9
202201071419,54.0,0.4
202201071519,291.0,0.9
202201071619,309.0,0.9
202201071719,61.0,0.9
202201071819,12.0,1.8
202201071919,19.0,1.3
202201072019,347.0,1.3
202201072119,30.0,1.3
202201072219,25.0,0.9
202201072319,50.0,0.4
202201080019,,0.0
202201080119,,0.0
202201080219,,0.0
202201080319,,0.0
202201080419,,0.0
202201080519,,0.0
202201080619,,0.0
202201080719,,0.0
202201080819,,0.0
202201080919,,0.0
202201081019,92.0,0.4
202201081119,139.0,0.4
202201081219,,0.0
202201081319,78.0,0.4
202201081419,,0.0
202201081519,171.0,0.4
202201081619,119.0,0.4
202201081719,121.0,0.9
202201081819,42.0,1.3
202201081919,250.0,2.2
202201082019,349.0,0.9
202201082119,354.0,1.3
202201082219,136.0,1.8
202201082319,357.0,1.8
202201090019,116.0,0.9
202201090119,328.0,0.9
202201090219,168.0,2.7
202201090419,194.0,3.1
202201090519,184.0,3.1
202201090619,187.0,4.9
202201090719,201.0,4.5
202201090819,200.0,5.4
202201090919,194.0,4.5
202201091019,213.0,4.0
202201091119,208.0,4.0
202201091219,195.0,3.6
202201091319,208.0,3.1
202201091419,192.0,3.6
202201091519,186.0,4.0
202201091619,199.0,4.5
202201091719,200.0,3.6
202201091819,201.0,4.0
202201091919,208.0,4.0
202201092019,311.0,0.4
202201092119,310.0,0.9
202201092219,277.0,0.9
202201092319,99.0,0.9
202201100119,56.0,1.8
202201100219,44.0,1.8
202201100319,76.0,3.6
202201100419,57.0,1.8
202201100519,46.0,1.8
202201100619,44.0,1.3
202201100719,65.0,1.3
202201100819,59.0,1.3
202201100919,37.0,1.3
202201101019,47.0,2.2
202201101119,43.0,1.8
202201101219,38.0,1.8
202201101319,62.0,1.3
202201101419,36.0,1.3
202201101519,94.0,1.3
202201101619,61.0,1.8
202201101719,23.0,2.2
202201101919,55.0,2.2
202201102019,10.0,1.3
202201102119,357.0,1.3
202201102219,357.0,0.4
202201102319,,0.0
202201110019,111.0,0.4
202201110119,95.0,0.9
202201110219,125.0,0.9
202201110319,106.0,1.3
202201110419,82.0,0.9
202201110519,97.0,1.3
202201110619,76.0,1.3
202201110719,78.0,1.3
202201110819,41.0,0.9
202201110919,31.0,0.9
202201111019,46.0,1.3
202201111119,68.0,0.9
202201111219,64.0,0.9
202201111319,96.0,0.9
202201111419,100.0,0.4
202201111519,159.0,0.9
202201111619,122.0,0.9
202201111719,184.0,0.9
202201111819,71.0,1.3
202201111919,92.0,0.9
202201112019,335.0,1.3
202201112119,263.0,0.9
202201112219,188.0,0.4
202201112319,,0.0
202201120019,,0.0
202201120119,,0.0
202201120219,,0.0
202201120319,,0.0
202201120419,,0.0
202201120519,,0.0
202201120619,,0.0
202201120719,48.0,0.4
202201120819,,0.0
202201120919,,0.0
202201121019,76.0,0.4
202201121119,,0.0
202201121219,,0.0
202201121319,,0.0
202201121419,,0.0
202201121519,148.0,0.9
202201121619,144.0,0.4
202201121719,286.0,1.3
202201121919,335.0,1.3
202201122019,291.0,1.3
202201122119,302.0,0.9
202201122219,,0.0
202201122319,164.0,0.9
202201130019,,0.0
202201130219,,0.0
202201130419,159.0,0.4
202201130519,214.0,1.8
202201130619,206.0,1.3
202201130719,223.0,0.9
202201130819,211.0,1.3
202201130919,224.0,1.3
202201131019,219.0,1.3
202201131119,218.0,1.8
202201131219,213.0,1.3
202201131319,229.0,1.3
202201131419,211.0,1.3
202201131519,257.0,1.8
202201131619,243.0,1.8
202201131719,270.0,1.8
202201131819,270.0,1.3
202201131919,274.0,1.3
202201132019,246.0,1.3
202201132119,256.0,0.9
202201132219,225.0,0.4
202201132319,263.0,1.3
202201140019,201.0,0.4
202201140119,182.0,1.3
202201140219,206.0,0.4
202201140319,,0.0
202201140419,133.0,0.9
202201140519,104.0,0.4
202201140619,116.0,0.4
202201140719,49.0,0.4
202201140919,23.0,0.4
202201141019,,0.0
202201141119,,0.0
202201141219,,0.0
202201141319,,0.0
202201141419,,0.0
202201141519,359.0,0.9
202201141619,67.0,1.3
202201141719,11.0,1.8
202201141819,5.0,1.8
202201141919,2.0,2.2
202201142019,2.0,2.2
202201142119,24.0,1.3
202201142219,18.0,0.9
202201142319,91.0,0.4
202201150019,50.0,0.4
202201150119,96.0,1.3
202201150219,,0.0
202201150319,,0.0
202201150419,,0.0
202201150519,,0.0
202201150619,,0.0
202201150719,,0.0
202201150819,,0.0
202201150919,,0.0
202201151019,243.0,0.9
202201151119,,0.0
202201151219,289.0,0.9
202201151319,6.0,0.4
202201151419,273.0,0.4
202201151519,297.0,0.4
202201151619,350.0,0.4
202201151719,341.0,0.9
202201151819,30.0,0.9
202201151919,52.0,1.3
202201152019,63.0,1.3
202201152119,56.0,1.3
202201152219,28.0,0.4
202201160019,,0.0
202201160119,,0.0
202201160219,270.0,0.9
202201160319,266.0,0.4
202201160419,31.0,0.9
202201160719,17.0,0.9
202201160819,45.0,0.4
202201160919,36.0,0.9
202201161019,260.0,0.9
202201161119,67.0,1.8
202201161219,88.0,1.8
202201161319,286.0,0.9
202201161419,300.0,0.9
202201161519,88.0,0.9
202201161619,237.0,0.9
202201161719,258.0,1.3
202201161819,,0.0
202201161919,243.0,0.4
202201162019,,0.0
202201162119,,0.0
202201162219,250.0,0.4
202201162319,278.0,0.9
202201170019,246.0,0.4
202201170119,,0.0
202201170219,258.0,0.9
202201170319,244.0,0.9
202201170419,221.0,0.4
202201170519,208.0,0.4
202201170619,223.0,0.4
202201170719,248.0,0.4
202201170819,257.0,0.9
202201170919,234.0,0.4
202201171019,,0.0
202201171119,242.0,0.4
202201171219,,0.0
202201171319,,0.0
202201171419,,0.0
202201171519,224.0,0.4
202201171619,,0.0
202201171719,,0.0
202201171819,214.0,0.4
202201171919,,0.0
202201172019,,0.0
202201172119,,0.0
202201172219,,0.0
202201172319,,0.0
202201180019,239.0,0.4
202201180119,,0.0
202201180219,,0.0
202201180319,,0.0
202201180419,,0.0
202201180519,125.0,0.4
202201180719,143.0,0.4
202201180819,,0.0
202201180919,,0.0
202201181019,,0.0
202201181119,,0.0
202201181219,,0.0
202201181319,,0.0
202201181519,,0.0
202201181619,,0.0
202201181719,,0.0
202201181819,214.0,0.4
202201181919,215.0,0.9
202201182019,190.0,1.3
202201182119,193.0,0.4
202201182219,161.0,0.9
202201190019,39.0,0.4
202201190119,,0.0
202201190219,,0.0
202201190319,84.0,1.3
202201190419,173.0,2.7
202201190519,174.0,3.1
202201190619,179.0,3.6
202201190719,177.0,3.6
202201190819,217.0,2.2
202201190919,238.0,2.7
202201191019,233.0,3.1
202201191319,203.0,2.2
202201191419,200.0,3.1
202201191519,197.0,3.1
202201191619,187.0,3.1
202201191719,231.0,2.7
202201191819,204.0,3.1
202201191919,217.0,3.1
202201192019,234.0,2.7
202201192119,200.0,3.1
202201192219,207.0,2.7
202201192319,196.0,3.1
202201200119,201.0,3.6
202201200219,200.0,3.6
202201200319,201.0,4.0
202201200419,190.0,4.0
202201200519,6.0,1.3
202201200619,200.0,2.7
202201200819,194.0,2.2
202201200919,7.0,1.3
202201201019,87.0,0.9
202201201119,10.0,1.3
202201201219,54.0,1.3
202201201319,60.0,0.9
202201201419,55.0,1.8
202201201519,19.0,1.3
202201201619,48.0,1.8
202201201719,31.0,1.3
202201201819,34.0,1.8
202201201919,65.0,1.8
202201202019,37.0,1.8
202201202119,36.0,1.8
202201202219,24.0,1.3
202201202319,41.0,1.3
202201210019,36.0,1.8
202201210119,53.0,1.8
202201210219,56.0,1.8
202201210319,39.0,1.3
202201210419,68.0,1.3
202201210619,31.0,1.3
202201210719,30.0,0.9
202201210819,25.0,1.3
202201210919,67.0,1.3
202201211019,47.0,0.9
202201211119,54.0,0.9
202201211219,37.0,0.9
202201211319,28.0,0.4
202201211419,352.0,0.9
202201211519,10.0,0.9
202201211619,26.0,0.9
202201211719,21.0,0.9
202201211819,30.0,0.4
202201211919,8.0,0.9
202201212019,17.0,0.9
202201212319,30.0,0.9
202201220019,42.0,0.9
202201220119,26.0,0.9
202201220219,51.0,0.9
202201220419,75.0,0.4
202201220519,25.0,0.9
202201220619,26.0,0.9
202201220719,20.0,0.4
202201220819,,0.0
202201220919,40.0,0.4
202201221019,294.0,0.9
202201221119,17.0,0.4
202201221219,156.0,0.4
202201221419,67.0,0.9
202201221519,200.0,0.9
202201221619,41.0,0.9
202201221719,322.0,0.4
202201221819,214.0,0.4
202201221919,235.0,0.9
202201222019,175.0,0.4
202201222119,310.0,0.4
202201222219,,0.0
202201222319,191.0,0.4
202201230019,135.0,0.9
202201230119,99.0,0.4
202201230219,,0.0
202201230319,,0.0
202201230419,,0.0
202201230519,,0.0
202201230619,,0.0
202201230719,,0.0
202201230819,,0.0
202201230919,,0.0
202201231019,,0.0
202201231119,180.0,0.4
202201231219,,0.0
202201231319,,0.0
202201231519,,0.0
202201231619,194.0,0.4
202201231719,237.0,1.3
202201231819,242.0,1.8
202201231919,266.0,1.8
202201232019,274.0,1.3
202201232219,225.0,1.8
202201232319,257.0,2.2
202201240019,225.0,1.8
202201240119,218.0,1.3
202201240219,213.0,1.3
202201240319,191.0,0.9
202201240419,203.0,0.9
202201240519,181.0,0.9
202201240619,186.0,0.4
202201240719,180.0,0.4
202201240819,,0.0
202201240919,,0.0
202201241019,,0.0
202201241119,,0.0
202201241319,,0.0
202201241419,181.0,0.9
202201241519,210.0,1.3
202201241619,271.0,1.8
202201241719,291.0,2.2
202201241819,297.0,2.2
202201241919,234.0,1.8
202201242019,239.0,1.3
202201242119,247.0,1.3
202201242219,259.0,1.3
202201242319,201.0,0.4
202201250019,192.0,1.3
202201250119,191.0,1.3
202201250219,199.0,1.8
202201250319,203.0,2.2
202201250419,211.0,1.8
202201250519,211.0,1.8
202201250619,234.0,1.8
202201250719,224.0,1.8
202201250819,230.0,1.3
202201250919,227.0,0.9
202201251019,213.0,0.4
202201251119,193.0,0.9
202201251219,181.0,0.9
202201251319,,0.0
202201251419,,0.0
202201251519,100.0,0.9
202201251619,79.0,0.9
202201251719,161.0,0.9
202201251819,26.0,1.8
202201252019,9.0,1.3
202201252119,28.0,0.9
202201252219,19.0,1.3
202201252319,9.0,1.3
202201260019,9.0,1.3
202201260219,33.0,0.9
202201260319,25.0,0.9
202201260419,38.0,1.8
202201260519,34.0,1.3
202201260619,35.0,0.9
202201260719,32.0,1.3
202201260819,35.0,1.3
202201260919,20.0,1.3
202201261019,49.0,1.3
202201261119,24.0,1.3
202201261219,49.0,0.9
202201261319,61.0,1.3
202201261419,74.0,1.3
202201261519,47.0,1.8
202201261619,33.0,1.3
202201261719,39.0,1.8
202201261819,42.0,1.8
202201261919,5.0,1.8
202201262119,44.0,1.8
202201262219,27.0,1.3
202201262319,119.0,0.4
202201270019,,0.0
202201270119,,0.0
202201270219,,0.0
202201270319,,0.0
202201270419,,0.0
202201270519,,0.0
202201270619,,0.0
202201270719,,0.0
202201270819,,0.0
202201270919,254.0,0.4
202201271119,,0.0
202201271219,164.0,0.4
202201271319,200.0,0.9
202201271419,145.0,0.4
202201271519,139.0,0.4
202201271619,151.0,0.9
202201271719,337.0,1.3
202201271819,176.0,0.9
202201271919,260.0,0.9
202201272019,330.0,1.3
202201272119,323.0,0.9
202201272219,,0.0
202201272319,159.0,0.4
202201280019,,0.0
202201280119,,0.0
202201280219,,0.0
202201280319,,0.0
202201280419,,0.0
202201280619,112.0,0.4
202201280719,159.0,1.3
202201280819,164.0,1.3
202201280919,197.0,1.3
202201281019,138.0,0.9
202201281319,319.0,0.4
202201281419,314.0,0.4
202201281619,337.0,1.3
202201281719,9.0,1.8
202201281819,23.0,1.3
202201281919,314.0,1.3
202201282019,49.0,0.9
202201282119,352.0,0.9
202201282219,41.0,1.8
202201282319,60.0,1.8
202201290019,57.0,0.9
202201290119,65.0,1.3
202201290219,52.0,0.9
202201290319,48.0,1.8
202201290419,54.0,1.3
202201290519,314.0,1.3
202201290619,33.0,1.8
202201290719,349.0,2.2
202201290819,31.0,1.3
202201290919,41.0,1.8
202201291019,63.0,1.3
202201291119,51.0,1.3
202201291219,340.0,1.3
202201291319,61.0,1.3
202201291419,12.0,1.3
202201291519,49.0,1.8
202201291619,63.0,2.2
202201291719,41.0,1.8
202201291819,31.0,1.8
202201291919,27.0,1.3
202201292019,313.0,0.9
202201292219,269.0,0.9
202201292319,180.0,0.4
202201300019,168.0,0.4
202201300119,,0.0
202201300219,201.0,0.4
202201300319,182.0,0.4
202201300419,230.0,1.3
202201300519,230.0,1.3
202201300619,222.0,1.3
202201300719,214.0,2.7
202201300819,236.0,1.8
202201300919,228.0,2.2
202201301019,215.0,1.8
202201301119,209.0,2.2
202201301219,232.0,2.2
202201301419,220.0,2.7
202201301519,229.0,1.8
202201301619,269.0,2.2
202201301719,280.0,2.2
202201301819,279.0,2.2
202201301919,273.0,2.2
202201302019,291.0,1.8
202201302119,249.0,1.8
202201302219,237.0,1.8
202201302319,203.0,1.3
202201310019,203.0,0.9
202201310119,179.0,0.9
202201310219,165.0,0.4
202201310319,88.0,0.4
202201310419,,0.0
202201310519,,0.0
202201310619,,0.0
202201310719,,0.0
202201310819,134.0,0.4
202201310919,64.0,0.4
202201311019,108.0,0.9
202201311119,,0.0
202201311219,,0.0
202201311319,,0.0
202201311419,156.0,0.4
202201311519,130.0,0.9
202201311619,163.0,0.9
202201311719,51.0,1.3
202201311819,350.0,1.3
202201311919,301.0,1.3
202201312019,291.0,1.3
202201312219,291.0,0.9
202201312319,148.0,0.9
202202010019,,0.0
202202010219,,0.0
202202010319,,0.0
202202010419,,0.0
202202010519,,0.0
202202010619,,0.0
202202010719,,0.0
202202010819,40.0,0.9
202202010919,,0.0
202202011019,,0.0
202202011119,21.0,0.4
202202011219,42.0,0.4
202202011319,,0.0
202202011419,72.0,0.9
202202011519,141.0,0.9
202202011619,124.0,0.9
202202011719,76.0,1.8
202202011819,292.0,2.7
202202012019,260.0,1.8
202202012119,189.0,2.7
202202012219,145.0,2.7
202202012319,239.0,1.3
202202020019,81.0,0.4
202202020119,126.0,0.9
202202020219,70.0,0.9
202202020319,152.0,0.9
202202020419,167.0,3.1
202202020519,186.0,2.7
202202020619,70.0,2.2
202202020719,108.0,2.2
202202020819,27.0,1.8
