timestamp string,wind direction,wind speed
202201010006,57.0,0.9
202201010106,84.0,0.9
202201010206,152.0,1.8
202201010306,,0.0
202201010406,352.0,0.4
202201010606,253.0,2.2
202201010706,234.0,3.1
202201010806,230.0,2.7
202201011006,237.0,3.1
202201011106,243.0,3.1
202201011206,238.0,3.6
202201011306,236.0,3.6
202201011406,234.0,3.6
202201011506,227.0,2.7
202201011606,234.0,2.2
202201011706,214.0,2.7
202201011806,234.0,5.8
202201011906,227.0,5.8
202201012006,225.0,6.7
202201012106,227.0,5.4
202201012206,227.0,3.6
202201012306,209.0,2.2
202201020006,214.0,2.7
202201020106,206.0,4.0
202201020206,205.0,3.6
202201020306,213.0,3.1
202201020406,222.0,4.0
202201020506,215.0,3.6
202201020606,216.0,5.4
202201020706,227.0,6.7
202201020806,226.0,5.8
202201020906,291.0,4.0
202201021006,237.0,2.7
202201021106,240.0,2.7
202201021206,227.0,1.8
202201021306,244.0,1.3
202201021406,231.0,0.9
202201021506,231.0,2.2
202201021606,243.0,3.1
202201021706,246.0,2.2
202201021806,228.0,2.2
202201021906,173.0,1.3
202201022006,85.0,0.9
202201022106,336.0,0.9
202201022206,174.0,0.9
202201022306,169.0,0.9
202201030006,173.0,1.3
202201030106,166.0,0.4
202201030206,88.0,0.9
202201030306,103.0,3.1
202201030406,96.0,3.1
202201030506,29.0,1.8
202201030606,347.0,0.9
202201030706,34.0,1.8
202201030906,301.0,5.4
202201031006,319.0,5.8
202201031106,294.0,5.4
202201031206,296.0,4.5
202201031306,318.0,4.0
202201031406,327.0,3.6
202201031506,317.0,2.2
202201031606,311.0,3.1
202201031706,336.0,3.1
202201031806,304.0,2.7
202201031906,319.0,3.1
202201032006,328.0,2.7
202201032106,295.0,3.1
202201032206,322.0,2.2
202201032306,283.0,2.2
202201040006,286.0,2.7
202201040106,271.0,1.3
202201040206,247.0,1.3
202201040306,327.0,0.9
202201040406,357.0,0.4
202201040506,44.0,0.9
202201040606,1.0,0.9
202201040706,14.0,0.4
202201040806,38.0,0.9
202201040906,55.0,0.4
202201041006,,0.0
202201041106,18.0,0.9
202201041206,69.0,0.4
202201041306,25.0,0.9
202201041406,41.0,0.9
202201041506,102.0,2.7
202201041606,115.0,2.7
202201041706,99.0,3.1
202201041806,99.0,3.1
202201041906,105.0,3.6
202201042006,137.0,3.1
202201042106,109.0,3.6
202201042206,105.0,3.1
202201042306,95.0,1.8
202201050006,42.0,0.9
202201050106,28.0,1.3
202201050206,28.0,1.3
202201050306,46.0,0.9
202201050406,82.0,1.8
202201050506,74.0,1.8
202201050606,48.0,0.9
202201050706,54.0,0.9
202201050806,321.0,0.9
202201050906,319.0,0.4
202201051006,193.0,0.4
202201051106,,0.0
202201051306,359.0,0.4
202201051406,10.0,0.4
202201051506,256.0,1.3
202201051606,255.0,4.0
202201051706,240.0,3.6
202201051806,246.0,3.1
202201051906,257.0,4.0
202201052006,247.0,4.5
202201052106,263.0,4.5
202201052206,243.0,4.0
202201052306,249.0,2.2
202201060006,260.0,2.7
202201060106,263.0,2.7
202201060206,269.0,2.2
202201060306,275.0,3.1
202201060406,49.0,0.9
202201060506,345.0,0.4
202201060606,3.0,0.9
202201060706,350.0,0.9
202201060806,306.0,2.2
202201060906,316.0,0.9
202201061006,272.0,0.9
202201061106,161.0,0.4
202201061206,121.0,0.9
202201061306,48.0,1.3
202201061406,203.0,0.4
202201061506,163.0,0.9
202201061606,104.0,1.8
202201061706,115.0,1.3
202201061906,35.0,0.9
202201062006,51.0,0.4
202201062106,0.0,1.3
202201062206,327.0,1.3
202201062306,,0.0
202201070006,220.0,1.3
202201070106,271.0,2.7
202201070206,281.0,4.0
202201070306,269.0,5.4
202201070406,261.0,2.7
202201070506,283.0,3.6
202201070606,290.0,3.6
202201070706,280.0,3.1
202201070806,276.0,1.8
202201070906,258.0,2.7
202201071006,277.0,3.1
202201071106,246.0,3.6
202201071206,280.0,4.0
202201071306,270.0,3.6
202201071406,269.0,4.5
202201071506,270.0,5.4
202201071606,281.0,3.6
202201071706,273.0,2.7
202201071806,294.0,3.1
202201072306,274.0,2.7
202201080106,300.0,0.9
202201080206,246.0,1.3
202201080306,65.0,0.4
202201080406,20.0,0.9
202201080506,27.0,0.9
202201080606,41.0,0.9
202201080706,57.0,0.9
202201080806,61.0,1.3
202201080906,64.0,0.9
202201081006,47.0,0.9
202201081106,74.0,1.3
202201081206,21.0,0.9
202201081306,29.0,0.9
202201081406,61.0,1.8
202201081506,99.0,2.7
202201081606,86.0,3.1
202201081706,100.0,2.2
202201081806,90.0,2.7
202201081906,110.0,2.2
202201082006,103.0,2.7
202201082106,100.0,2.7
202201082206,94.0,2.2
202201082306,91.0,1.8
202201090006,61.0,1.3
202201090106,4.0,0.9
202201090206,359.0,0.9
202201090306,26.0,1.3
202201090406,70.0,1.3
202201090506,38.0,1.3
202201090606,84.0,1.8
202201090706,69.0,1.8
202201090806,66.0,1.3
202201090906,38.0,0.9
202201091006,42.0,0.9
202201091106,295.0,1.3
202201091206,340.0,0.9
202201091306,28.0,0.4
202201091506,351.0,0.4
202201091606,346.0,0.9
202201091706,74.0,0.4
202201091806,61.0,0.9
202201091906,157.0,0.9
202201092006,225.0,1.3
202201092106,248.0,1.3
202201092206,224.0,1.8
202201092306,149.0,0.9
202201100006,16.0,0.9
202201100106,234.0,0.9
202201100206,250.0,0.4
202201100306,54.0,0.4
202201100406,323.0,0.9
202201100506,39.0,0.9
202201100706,294.0,0.9
202201100806,,0.0
202201100906,2.0,0.4
202201101006,259.0,0.9
202201101106,333.0,0.9
202201101206,349.0,0.9
202201101306,343.0,0.9
202201101506,,0.0
202201101606,245.0,2.2
202201101706,282.0,2.7
202201101806,304.0,3.1
202201101906,311.0,4.0
202201102006,330.0,3.1
202201102106,348.0,2.7
202201102206,322.0,3.1
202201102306,310.0,2.7
202201110006,313.0,2.7
202201110106,314.0,2.2
202201110206,310.0,2.7
202201110306,335.0,0.9
202201110406,299.0,1.3
202201110506,280.0,1.3
202201110606,342.0,1.8
202201110706,346.0,1.8
202201110806,326.0,1.8
202201110906,316.0,0.9
202201111006,342.0,0.9
202201111106,355.0,0.9
202201111206,35.0,1.3
202201111306,67.0,0.9
202201111406,324.0,0.9
202201111506,109.0,1.8
202201111606,114.0,1.3
202201111706,155.0,1.8
202201111806,185.0,2.2
202201111906,206.0,1.8
202201112006,220.0,2.2
202201112106,174.0,1.8
202201112206,177.0,1.8
202201112306,166.0,1.3
202201120006,,0.0
202201120106,14.0,1.3
202201120206,17.0,0.9
202201120306,19.0,0.9
202201120406,,0.0
202201120506,19.0,0.9
202201120706,,0.0
202201120806,,0.0
202201120906,,0.0
202201121006,30.0,0.4
202201121106,,0.0
202201121206,4.0,0.9
202201121306,,0.0
202201121406,125.0,0.4
202201121506,203.0,0.4
202201121606,235.0,3.1
202201121706,231.0,3.6
202201121806,239.0,3.1
202201121906,222.0,3.1
202201122006,221.0,2.7
202201122106,220.0,2.7
202201122206,232.0,2.2
202201122306,286.0,0.9
202201130006,288.0,1.3
202201130206,,0.0
202201130306,11.0,0.9
202201130406,,0.0
202201130506,356.0,0.9
202201130606,59.0,0.4
202201130706,,0.0
202201130806,,0.0
202201130906,41.0,0.4
202201131006,,0.0
202201131106,,0.0
202201131306,,0.0
202201131406,,0.0
202201131506,,0.0
202201131606,207.0,1.8
202201131706,230.0,3.1
202201131806,221.0,4.0
202201132006,240.0,3.6
202201132106,220.0,2.7
202201132206,251.0,1.8
202201132306,270.0,4.5
202201140106,271.0,5.4
202201140306,283.0,1.8
202201140506,353.0,0.9
202201140606,321.0,0.9
202201140706,11.0,0.9
202201140806,141.0,0.4
202201140906,300.0,1.3
202201141006,31.0,0.9
202201141106,338.0,0.9
202201141206,111.0,1.3
202201141306,265.0,0.9
202201141406,301.0,1.3
202201141606,243.0,0.9
202201141706,240.0,1.8
202201141806,261.0,1.3
202201141906,126.0,1.8
202201142006,199.0,2.7
202201142106,247.0,2.2
202201142206,243.0,2.2
202201142306,286.0,2.2
202201150006,18.0,0.9
202201150206,20.0,0.9
202201150306,16.0,1.3
202201150406,52.0,0.9
202201150506,44.0,0.9
202201150606,46.0,0.9
202201150706,6.0,0.9
202201150806,23.0,1.3
202201150906,29.0,1.3
202201151006,78.0,1.3
202201151106,81.0,1.3
202201151206,56.0,1.3
202201151306,90.0,2.7
202201151406,66.0,2.2
202201151506,79.0,2.7
202201151606,92.0,2.7
202201151706,89.0,2.7
202201151806,69.0,2.2
202201151906,88.0,2.7
202201152006,71.0,2.2
202201152106,82.0,3.6
202201152206,93.0,3.1
202201152306,70.0,2.7
202201160006,84.0,2.7
202201160106,82.0,2.7
202201160206,76.0,3.6
202201160306,86.0,2.7
202201160406,85.0,4.5
202201160506,73.0,3.1
202201160706,71.0,3.1
202201160806,69.0,3.1
202201160906,,0.0
202201161006,,0.0
202201161106,,0.0
202201161206,,0.0
202201161306,,0.0
202201161406,84.0,4.9
202201161506,85.0,5.8
202201161606,97.0,4.0
202201161706,114.0,4.5
202201161806,95.0,2.7
202201161906,101.0,3.1
202201162006,70.0,1.8
202201162106,76.0,2.2
202201162206,91.0,0.9
202201162306,205.0,0.9
202201170006,250.0,1.3
202201170106,256.0,2.2
202201170206,237.0,2.2
202201170306,252.0,2.7
202201170406,241.0,2.7
202201170506,264.0,4.9
202201170606,270.0,7.2
202201170806,279.0,8.5
202201170906,279.0,8.5
202201171006,288.0,5.4
202201171106,263.0,5.8
202201171206,277.0,4.9
202201171306,279.0,4.9
202201171406,280.0,5.8
202201171506,286.0,7.2
202201171806,284.0,5.8
202201171906,283.0,6.7
202201172006,270.0,6.3
202201172106,262.0,4.5
202201172206,212.0,2.2
202201172306,182.0,1.8
202201180006,273.0,3.1
202201180106,281.0,2.7
202201180206,281.0,4.0
202201180306,273.0,2.7
202201180406,163.0,0.4
202201180506,288.0,2.2
202201180606,297.0,1.8
202201180706,275.0,0.9
202201180806,286.0,2.7
202201180906,291.0,2.7
202201181006,217.0,2.7
202201181106,79.0,1.3
202201181206,305.0,1.3
202201181306,298.0,1.3
202201181506,267.0,3.1
202201181606,260.0,3.1
202201181706,279.0,2.2
202201181806,266.0,2.2
202201181906,200.0,1.8
202201182006,219.0,2.2
202201182106,234.0,2.2
202201182206,221.0,1.3
202201182306,,0.0
202201190006,36.0,1.3
202201190106,15.0,1.8
202201190306,16.0,0.9
202201190406,,0.0
202201190606,279.0,0.4
202201190706,17.0,1.3
202201190806,,0.0
202201191006,354.0,0.9
202201191106,14.0,0.4
202201191206,31.0,0.4
202201191306,327.0,1.3
202201191406,,0.0
202201191506,,0.0
202201191606,219.0,1.8
202201191706,230.0,3.1
202201191806,237.0,2.7
202201191906,196.0,2.7
202201192006,192.0,2.2
202201192106,174.0,2.7
202201192206,153.0,1.3
202201192306,96.0,1.3
202201200006,47.0,0.9
202201200106,13.0,1.3
202201200206,14.0,1.3
202201200306,15.0,1.3
202201200406,9.0,1.3
202201200506,,0.0
202201200606,95.0,0.4
202201200706,6.0,0.4
202201200806,302.0,1.3
202201200906,118.0,0.4
202201201006,246.0,0.9
202201201106,,0.0
202201201206,289.0,0.9
202201201306,278.0,1.3
202201201406,279.0,1.3
202201201506,246.0,0.9
202201201606,154.0,0.9
202201201706,238.0,1.3
202201201806,259.0,1.8
202201201906,238.0,1.3
202201202006,251.0,1.3
202201202106,262.0,1.3
202201202206,291.0,1.3
202201202306,275.0,1.3
202201210006,162.0,0.4
202201210206,195.0,1.3
202201210306,116.0,1.8
202201210406,97.0,1.8
202201210506,59.0,1.8
202201210606,75.0,1.3
202201210706,75.0,1.8
202201210806,95.0,1.8
202201210906,109.0,2.2
202201211006,81.0,2.2
202201211106,91.0,1.8
202201211206,93.0,2.7
202201211306,95.0,2.7
202201211406,91.0,2.7
202201211506,85.0,2.2
202201211606,94.0,2.7
202201211706,99.0,2.2
202201211806,96.0,2.2
202201211906,104.0,2.2
202201212006,75.0,1.8
202201212106,102.0,2.2
202201212206,102.0,1.3
202201212306,95.0,1.8
202201220006,102.0,1.8
202201220106,90.0,1.3
202201220206,71.0,1.8
202201220306,99.0,1.8
202201220406,102.0,1.3
202201220506,111.0,0.9
202201220606,106.0,1.3
202201220706,110.0,1.3
202201220906,,0.0
202201221006,,0.0
202201221106,116.0,0.9
202201221206,114.0,0.4
202201221306,145.0,0.4
202201221406,122.0,1.3
202201221506,131.0,0.4
202201221606,148.0,1.8
202201221706,299.0,1.3
202201221806,214.0,3.1
202201221906,216.0,2.7
202201222006,218.0,2.7
202201222106,242.0,3.1
202201222206,189.0,1.3
202201222306,240.0,1.8
202201230006,252.0,1.3
202201230106,212.0,1.3
202201230206,197.0,0.9
202201230306,336.0,0.9
202201230406,,0.0
202201230506,,0.0
202201230606,330.0,0.9
202201230706,,0.0
202201230806,289.0,1.3
202201230906,272.0,1.3
202201231006,338.0,1.3
202201231106,,0.0
202201231206,,0.0
202201231306,,0.0
202201231406,235.0,1.3
202201231506,299.0,3.1
202201231606,275.0,2.7
202201231706,279.0,5.4
202201231806,274.0,6.3
202201231906,282.0,4.5
202201232006,292.0,3.6
202201232106,300.0,3.6
202201232206,285.0,2.7
202201232306,244.0,3.1
202201240006,226.0,2.2
202201240106,242.0,3.1
202201240306,236.0,3.1
202201240406,246.0,3.1
202201240506,293.0,2.7
202201240606,239.0,0.9
202201240706,343.0,0.9
202201240806,257.0,2.2
202201240906,281.0,1.8
202201241006,167.0,0.4
202201241106,40.0,0.9
202201241206,17.0,0.4
202201241306,220.0,0.4
202201241406,50.0,0.4
202201241506,205.0,1.8
202201241606,287.0,1.3
202201241706,271.0,4.0
202201241806,231.0,3.6
202201241906,221.0,3.6
202201242006,233.0,4.0
202201242106,238.0,4.0
202201242206,239.0,4.0
202201242306,224.0,2.2
202201250006,244.0,2.2
202201250106,299.0,1.3
202201250206,314.0,0.4
202201250306,334.0,0.4
202201250406,88.0,0.4
202201250506,250.0,1.3
202201250606,277.0,2.7
202201250706,254.0,2.2
202201250806,278.0,1.8
202201250906,17.0,0.4
202201251006,,0.0
202201251106,267.0,0.9
202201251206,,0.0
202201251306,10.0,0.9
202201251406,117.0,0.4
202201251506,210.0,0.9
202201251606,217.0,1.3
202201251706,202.0,1.3
202201251806,263.0,4.0
202201251906,283.0,3.6
202201252006,272.0,3.6
202201252206,288.0,2.2
202201260006,326.0,0.9
202201260106,314.0,1.8
202201260206,309.0,1.3
202201260306,310.0,1.8
202201260406,293.0,1.8
202201260506,312.0,1.8
202201260606,303.0,1.8
202201260706,293.0,2.2
202201260806,216.0,1.3
202201260906,307.0,2.7
202201261006,337.0,1.3
202201261106,346.0,2.2
202201261206,358.0,0.9
202201261306,118.0,0.9
202201261406,260.0,0.9
202201261506,336.0,0.9
202201261606,167.0,2.2
202201261706,8.0,0.9
202201261806,218.0,2.2
202201261906,203.0,1.8
202201262006,227.0,3.1
202201262106,222.0,2.7
202201262206,135.0,2.7
202201262306,95.0,1.8
202201270006,69.0,1.3
202201270106,11.0,0.9
202201270206,54.0,1.3
202201270306,59.0,1.3
202201270406,68.0,1.8
202201270506,77.0,2.2
202201270606,79.0,2.2
202201270706,80.0,2.2
