timestamp string,wind direction,wind speed
202201010057,70.0,0.4
202201010157,,0.0
202201010257,,0.0
202201010457,201.0,0.4
202201010557,297.0,0.4
202201010657,358.0,0.4
202201010757,336.0,0.9
202201010857,315.0,0.9
202201010957,331.0,0.9
202201011057,299.0,2.7
202201011157,270.0,4.0
202201011257,261.0,3.6
202201011357,273.0,3.6
202201011457,275.0,4.0
202201011557,267.0,3.6
202201011657,269.0,4.0
202201011757,276.0,5.4
202201011857,273.0,4.9
202201011957,249.0,3.6
202201012057,257.0,3.6
202201012157,236.0,4.0
202201012257,269.0,4.9
202201012357,265.0,3.6
202201020057,263.0,4.5
202201020157,290.0,3.6
202201020257,280.0,3.6
202201020357,274.0,4.0
202201020457,274.0,3.6
202201020557,275.0,4.0
202201020657,284.0,1.3
202201020757,,0.0
202201020857,295.0,0.4
202201020957,302.0,2.2
202201021057,248.0,0.4
202201021157,275.0,0.4
202201021257,294.0,0.4
202201021357,23.0,0.9
202201021457,68.0,0.4
202201021557,317.0,0.4
202201021657,276.0,2.2
202201021757,277.0,2.2
202201021857,268.0,0.4
202201021957,315.0,0.9
202201022057,,0.0
202201022157,,0.0
202201022257,29.0,0.4
202201022357,,0.0
202201030057,352.0,0.9
202201030157,351.0,0.4
202201030257,30.0,0.4
202201030357,46.0,0.4
202201030457,311.0,0.9
202201030557,108.0,0.9
202201030657,45.0,0.4
202201030757,322.0,0.9
202201030857,104.0,0.9
202201030957,343.0,0.4
202201031057,77.0,0.9
202201031157,,0.0
202201031257,,0.0
202201031357,,0.0
202201031457,,0.0
202201031557,,0.0
202201031657,,0.0
202201031757,142.0,0.9
202201031857,320.0,0.9
202201031957,216.0,0.4
202201032057,170.0,0.9
202201032157,213.0,0.4
202201032257,72.0,0.4
202201032357,188.0,0.4
202201040057,,0.0
202201040157,,0.0
202201040257,80.0,0.4
202201040357,,0.0
202201040457,,0.0
202201040557,75.0,0.4
202201040657,,0.0
202201040757,,0.0
202201040857,,0.0
202201040957,,0.0
202201041057,,0.0
202201041157,,0.0
202201041257,,0.0
202201041357,,0.0
202201041457,,0.0
202201041557,185.0,0.4
202201041657,278.0,3.1
202201041757,279.0,2.2
202201041857,261.0,2.2
202201041957,269.0,1.8
202201042057,263.0,3.1
202201042157,271.0,2.7
202201042257,252.0,1.8
202201042357,122.0,0.4
202201050157,126.0,0.4
202201050257,321.0,1.3
202201050357,258.0,1.8
202201050457,266.0,2.2
202201050557,259.0,2.2
202201050657,257.0,2.2
202201050757,270.0,0.9
202201050857,303.0,2.2
202201050957,319.0,1.8
202201051057,273.0,2.7
202201051157,263.0,3.1
202201051257,266.0,2.2
202201051357,269.0,1.8
202201051457,275.0,2.7
202201051557,272.0,3.6
202201051657,266.0,2.7
202201051757,267.0,3.1
202201051857,277.0,2.7
202201051957,264.0,2.2
202201052057,272.0,3.1
202201052157,303.0,2.7
202201052257,77.0,0.4
202201052357,,0.0
202201060057,41.0,0.4
202201060157,57.0,0.9
202201060257,22.0,0.4
202201060357,74.0,0.9
202201060457,62.0,0.4
202201060557,57.0,0.4
202201060657,,0.0
202201060757,30.0,0.4
202201060857,,0.0
202201061057,,0.0
202201061157,,0.0
202201061257,,0.0
202201061357,108.0,1.3
202201061457,,0.0
202201061557,,0.0
202201061657,,0.0
202201061757,116.0,1.3
202201061857,277.0,1.3
202201062057,290.0,1.3
202201062257,,0.0
202201062357,,0.0
202201070057,281.0,2.2
202201070157,277.0,1.3
202201070257,345.0,1.8
202201070357,284.0,3.1
202201070457,312.0,2.2
202201070557,290.0,2.7
202201070857,291.0,2.7
202201070957,294.0,2.7
202201071057,,0.0
202201071157,246.0,2.2
202201071257,287.0,1.8
202201071357,264.0,2.7
202201071457,270.0,2.2
202201071557,209.0,1.3
202201071657,293.0,2.7
202201071757,296.0,2.7
202201071857,175.0,1.3
202201071957,266.0,3.1
202201072057,267.0,2.7
202201072157,250.0,2.2
202201072257,87.0,0.9
202201072357,83.0,0.9
202201080057,84.0,0.4
202201080157,,0.0
202201080257,,0.0
202201080357,,0.0
202201080457,,0.0
202201080557,,0.0
202201080657,,0.0
202201080757,,0.0
202201080857,,0.0
202201080957,,0.0
202201081057,,0.0
202201081157,,0.0
202201081257,,0.0
202201081357,,0.0
202201081457,,0.0
202201081557,132.0,1.3
202201081657,280.0,3.1
202201081757,275.0,4.0
202201081857,268.0,3.6
202201081957,264.0,2.7
202201082057,266.0,3.1
202201082157,299.0,2.2
202201082257,,0.0
202201082357,,0.0
202201090057,,0.0
202201090157,98.0,0.4
202201090257,,0.0
202201090357,91.0,0.4
202201090457,62.0,0.4
202201090557,310.0,1.3
202201090657,302.0,3.1
202201090757,291.0,2.2
202201090857,313.0,0.9
202201090957,308.0,0.9
202201091057,241.0,0.9
202201091157,288.0,1.3
202201091257,296.0,2.2
202201091357,299.0,1.8
202201091457,245.0,0.4
202201091557,301.0,1.3
202201091657,57.0,0.4
202201091757,341.0,0.4
202201091857,311.0,1.8
202201091957,303.0,1.3
202201092057,79.0,0.4
202201092157,,0.0
202201092257,112.0,0.4
202201092357,,0.0
202201100057,75.0,0.9
202201100157,53.0,0.9
202201100257,67.0,0.4
202201100357,316.0,0.9
202201100457,346.0,0.9
202201100557,89.0,0.9
202201100657,344.0,1.3
202201100757,344.0,1.3
202201100857,40.0,0.4
202201100957,63.0,0.4
202201101057,75.0,0.9
202201101157,60.0,1.3
202201101257,97.0,1.8
202201101357,80.0,1.3
202201101457,257.0,0.4
202201101557,139.0,1.3
202201101757,285.0,2.7
202201101857,281.0,1.8
202201101957,243.0,1.8
202201102057,255.0,1.8
202201102157,239.0,1.8
202201102257,220.0,0.9
202201110057,215.0,1.3
202201110157,181.0,1.8
202201110257,228.0,0.9
202201110357,282.0,1.8
202201110457,286.0,0.4
202201110557,137.0,1.3
202201110657,123.0,0.9
202201110757,80.0,0.9
202201110857,94.0,0.4
202201110957,,0.0
202201111057,,0.0
202201111157,,0.0
202201111257,,0.0
202201111357,,0.0
202201111457,157.0,0.4
202201111557,241.0,0.4
202201111657,250.0,1.3
202201111757,267.0,2.7
202201111857,255.0,1.8
202201111957,269.0,2.2
202201112057,267.0,2.2
202201112157,280.0,0.4
202201112257,,0.0
202201112357,,0.0
202201120057,,0.0
202201120157,,0.0
202201120257,,0.0
202201120357,,0.0
202201120457,,0.0
202201120557,,0.0
202201120657,,0.0
202201120757,,0.0
202201120857,,0.0
202201120957,,0.0
202201121057,,0.0
202201121157,,0.0
202201121257,98.0,0.4
202201121357,,0.0
202201121457,,0.0
202201121557,127.0,0.9
202201121657,129.0,0.9
202201121857,257.0,3.1
202201121957,262.0,3.1
202201122057,265.0,2.2
202201122157,279.0,2.2
202201122257,,0.0
202201122357,,0.0
202201130057,103.0,0.4
202201130157,,0.0
202201130257,,0.0
202201130357,,0.0
202201130557,,0.0
202201130657,,0.0
202201130757,,0.0
202201130857,,0.0
202201130957,,0.0
202201131057,,0.0
202201131157,11.0,0.4
202201131257,54.0,0.4
202201131357,,0.0
202201131457,352.0,0.4
202201131557,292.0,2.7
202201131657,271.0,2.2
202201131757,251.0,2.2
202201131857,269.0,2.7
202201131957,266.0,2.2
202201132057,252.0,0.9
202201132157,328.0,0.4
202201132257,276.0,0.4
202201132357,262.0,0.9
202201140057,195.0,0.4
202201140157,280.0,0.9
202201140257,177.0,0.4
202201140357,271.0,1.3
202201140457,221.0,0.9
202201140557,144.0,0.9
202201140657,107.0,0.4
202201140757,93.0,0.9
202201140857,105.0,0.4
202201140957,,0.0
202201141057,,0.0
202201141157,71.0,0.9
202201141257,,0.0
202201141357,,0.0
202201141457,20.0,0.4
202201141557,260.0,0.9
202201141657,137.0,1.3
202201141757,270.0,0.9
202201141957,237.0,1.3
202201142057,286.0,2.7
202201142157,293.0,2.2
202201142257,,0.0
202201142357,,0.0
202201150057,,0.0
202201150157,,0.0
202201150357,100.0,0.9
202201150457,,0.0
202201150557,,0.0
202201150657,,0.0
202201150757,,0.0
202201150857,,0.0
202201150957,,0.0
202201151057,,0.0
202201151157,,0.0
202201151257,,0.0
202201151357,,0.0
202201151457,,0.0
202201151557,275.0,1.8
202201151657,269.0,1.3
202201151757,274.0,2.2
202201151857,269.0,1.8
202201151957,266.0,1.8
202201152057,,0.0
202201152157,,0.0
202201152257,,0.0
202201152357,,0.0
202201160057,,0.0
202201160157,103.0,0.4
202201160257,,0.0
202201160357,79.0,0.4
202201160457,334.0,0.4
202201160557,99.0,0.9
202201160657,103.0,0.9
202201160757,,0.0
202201160857,325.0,0.4
202201160957,53.0,0.4
202201161157,330.0,1.3
202201161257,10.0,1.3
202201161457,5.0,2.7
202201161557,330.0,3.1
202201161657,340.0,2.7
202201161857,318.0,0.4
202201161957,111.0,0.4
202201162057,,0.0
202201162157,,0.0
202201162257,,0.0
202201162357,,0.0
202201170057,,0.0
202201170157,,0.0
202201170257,,0.0
202201170357,,0.0
202201170457,,0.0
202201170657,,0.0
202201170757,,0.0
202201170857,,0.0
202201170957,,0.0
202201171057,,0.0
202201171157,,0.0
202201171257,,0.0
202201171457,,0.0
202201171557,,0.0
202201171757,,0.0
202201171857,,0.0
202201171957,,0.0
202201172057,,0.0
202201172257,,0.0
202201172357,,0.0
202201180057,,0.0
202201180157,,0.0
202201180257,,0.0
202201180357,,0.0
202201180457,,0.0
202201180557,,0.0
202201180757,,0.0
202201180857,,0.0
202201180957,,0.0
202201181057,,0.0
202201181157,,0.0
202201181257,,0.0
202201181357,,0.0
202201181457,,0.0
202201181557,154.0,0.9
202201181657,147.0,1.3
202201181757,251.0,1.3
202201181957,206.0,0.9
202201182057,233.0,0.9
202201182157,199.0,0.4
202201182257,,0.0
202201182357,,0.0
202201190057,,0.0
202201190157,,0.0
202201190257,,0.0
202201190357,,0.0
202201190457,,0.0
202201190557,,0.0
202201190657,87.0,0.4
202201190757,,0.0
202201190857,,0.0
202201190957,,0.0
202201191057,86.0,0.4
202201191157,112.0,0.4
202201191257,96.0,0.9
202201191357,50.0,0.4
202201191457,326.0,0.4
202201191557,321.0,1.3
202201191657,308.0,1.3
202201191757,292.0,1.3
202201191857,307.0,0.9
202201191957,322.0,1.3
202201192057,13.0,0.4
202201192157,,0.0
202201192257,,0.0
202201192357,352.0,0.9
202201200157,,0.0
202201200257,354.0,0.4
202201200357,328.0,0.4
202201200457,317.0,0.4
202201200557,,0.0
202201200657,,0.0
202201200757,,0.0
202201200857,,0.0
202201200957,,0.0
202201201057,,0.0
202201201157,,0.0
202201201257,,0.0
