timestamp string,wind direction,wind speed
202201010005,248.0,2.7
202201010105,251.0,3.1
202201010205,232.0,3.6
202201010305,237.0,3.6
202201010405,232.0,3.6
202201010505,247.0,3.6
202201010605,244.0,3.6
202201010705,241.0,4.0
202201010805,231.0,4.5
202201010905,222.0,4.5
202201011005,247.0,4.0
202201011105,240.0,3.6
202201011205,238.0,3.6
202201011305,227.0,3.6
202201011405,244.0,3.6
202201011505,232.0,4.0
202201011605,223.0,4.9
202201011705,241.0,3.6
202201011805,240.0,3.6
202201011905,231.0,4.5
202201012005,235.0,4.9
202201012105,236.0,4.5
202201020105,199.0,6.7
202201020205,197.0,4.5
202201020305,198.0,6.7
202201020405,212.0,5.4
202201020505,204.0,5.4
202201020605,227.0,1.8
202201020705,31.0,1.8
202201020805,142.0,1.3
202201020905,167.0,0.9
202201021005,266.0,1.3
202201021105,257.0,0.9
202201021205,,0.0
202201021305,349.0,0.4
202201021405,,0.0
202201021505,165.0,0.9
202201021605,251.0,0.9
202201021705,260.0,1.3
202201021805,225.0,0.4
202201022005,317.0,0.9
202201022105,32.0,2.2
202201022205,71.0,1.8
202201022305,63.0,1.3
202201030005,70.0,1.8
202201030105,73.0,1.3
202201030205,65.0,2.2
202201030305,348.0,1.8
202201030405,342.0,2.2
202201030505,341.0,2.2
202201030605,34.0,2.2
202201030705,340.0,3.1
202201030805,328.0,2.7
202201030905,2.0,1.3
202201031005,4.0,1.8
202201031105,29.0,1.3
202201031205,343.0,2.2
202201031305,14.0,1.8
202201031405,8.0,1.3
202201031505,40.0,1.3
202201031605,57.0,1.8
202201031705,42.0,1.8
202201031805,42.0,1.3
202201031905,50.0,1.3
202201032005,67.0,1.8
202201032105,52.0,1.3
202201032205,69.0,1.3
202201032305,79.0,1.3
202201040005,87.0,2.2
202201040105,78.0,1.8
202201040205,87.0,1.8
202201040305,84.0,1.3
202201040405,83.0,1.3
202201040505,73.0,1.3
202201040605,64.0,1.3
202201040705,84.0,1.3
202201040805,85.0,0.9
202201040905,62.0,0.9
202201041005,64.0,0.9
202201041105,101.0,0.4
202201041205,258.0,0.4
202201041305,91.0,0.4
202201041405,284.0,0.4
202201041505,270.0,0.4
202201041605,63.0,0.4
202201041705,346.0,0.9
202201041805,5.0,1.3
202201051105,245.0,2.7
202201051205,257.0,2.7
202201051305,221.0,1.3
202201051405,224.0,1.8
202201051505,237.0,1.8
202201051605,249.0,2.2
202201051705,273.0,2.7
202201051805,239.0,1.8
202201051905,276.0,2.2
202201052005,258.0,2.2
202201052105,242.0,1.8
202201052205,278.0,1.3
202201052305,229.0,0.9
202201060005,203.0,0.9
202201060105,167.0,0.4
202201060205,156.0,0.4
202201060305,134.0,0.9
202201060405,147.0,0.4
202201060505,126.0,0.4
202201060605,131.0,0.9
202201060705,120.0,0.4
202201060805,105.0,0.9
202201060905,116.0,0.9
202201061005,120.0,0.9
202201061105,103.0,1.3
202201061205,184.0,0.4
202201061305,112.0,0.9
202201061405,294.0,0.4
202201061505,267.0,1.3
202201061605,95.0,1.3
202201061705,115.0,0.4
202201061805,230.0,1.8
202201061905,220.0,3.6
202201062005,288.0,1.3
202201062105,340.0,1.3
202201062205,5.0,1.3
202201062305,74.0,1.8
202201070005,71.0,1.3
202201070105,47.0,2.2
202201070205,353.0,1.8
202201070305,349.0,1.8
202201070405,36.0,1.3
202201070505,335.0,1.8
202201070605,53.0,1.3
202201070705,328.0,1.3
202201070805,323.0,1.8
202201070905,324.0,1.8
202201071005,56.0,2.2
202201071105,41.0,1.3
202201071205,8.0,1.3
202201071405,324.0,1.8
202201071505,334.0,1.3
202201071605,105.0,3.1
202201071705,60.0,1.8
202201072005,84.0,1.8
202201072105,18.0,1.3
202201072205,331.0,1.3
202201072305,67.0,1.3
202201080005,72.0,0.9
202201080205,83.0,1.3
202201080305,82.0,0.9
202201080405,113.0,0.9
202201080505,93.0,0.4
202201080605,77.0,0.9
202201080705,92.0,1.3
202201080805,99.0,1.3
202201080905,100.0,0.9
202201081005,211.0,0.9
202201081105,75.0,0.4
202201081205,88.0,0.9
202201081305,84.0,0.9
202201081405,302.0,0.4
202201081505,270.0,0.9
202201081605,283.0,1.3
202201081705,293.0,0.9
202201081805,333.0,0.9
202201081905,233.0,2.2
202201082005,172.0,2.7
202201082105,131.0,1.8
202201082205,110.0,2.2
202201082305,124.0,2.2
202201090005,131.0,3.1
202201090105,35.0,0.9
202201090205,107.0,2.7
202201090305,88.0,2.2
202201090405,73.0,2.7
202201090505,98.0,3.1
202201090605,39.0,2.2
202201090805,203.0,4.5
202201090905,238.0,3.1
202201091005,191.0,4.9
202201091105,174.0,4.9
202201091205,195.0,5.4
202201091305,170.0,6.3
202201091405,184.0,4.5
202201091505,189.0,4.9
202201091605,193.0,5.4
202201091705,199.0,4.9
202201091905,229.0,4.0
202201092005,264.0,3.1
202201092105,273.0,2.7
202201092205,311.0,0.9
202201092305,84.0,0.9
202201100005,7.0,0.9
202201100105,6.0,2.7
202201100205,58.0,3.1
202201100305,56.0,3.1
202201100405,83.0,2.7
202201100505,82.0,3.6
202201100605,78.0,3.1
202201100705,67.0,3.1
202201100805,67.0,2.2
202201100905,77.0,2.7
202201101005,73.0,2.2
202201101205,77.0,3.6
202201101305,79.0,3.6
202201101405,72.0,2.2
202201101505,58.0,2.7
202201101605,71.0,2.7
202201101705,56.0,3.1
202201101805,332.0,1.8
202201101905,334.0,2.2
202201102005,53.0,1.8
202201102105,55.0,1.8
202201102205,54.0,1.3
202201102305,315.0,1.8
202201110005,26.0,0.9
202201110105,41.0,0.9
202201110205,62.0,0.9
202201110305,13.0,0.9
202201110405,88.0,0.9
202201110505,79.0,1.3
202201110605,70.0,1.8
202201110705,65.0,2.2
202201110805,68.0,2.2
202201110905,70.0,2.7
202201111005,84.0,2.2
202201111105,82.0,2.2
202201111205,72.0,1.8
202201111305,91.0,1.8
202201111405,72.0,1.8
202201111605,47.0,1.3
202201111705,280.0,1.8
202201111805,331.0,1.8
202201111905,291.0,1.3
202201112005,298.0,1.8
202201112205,41.0,0.9
202201112305,98.0,0.9
202201120005,81.0,1.3
202201120105,104.0,1.8
202201120205,101.0,0.9
202201120305,182.0,0.4
202201120405,113.0,0.9
202201120505,175.0,0.4
202201120605,138.0,0.4
202201120705,106.0,1.3
202201120805,87.0,0.4
202201120905,111.0,1.3
202201121005,341.0,0.4
202201121105,75.0,0.9
202201121205,,0.0
202201121305,84.0,0.4
202201121405,13.0,0.9
202201121505,257.0,1.8
202201121605,279.0,2.2
202201121705,285.0,2.2
202201121805,288.0,2.2
202201121905,286.0,2.7
202201122005,280.0,2.2
202201122105,278.0,2.2
202201122205,259.0,1.3
202201122305,203.0,0.9
202201130005,164.0,0.9
202201130105,162.0,0.9
202201130205,180.0,0.9
202201130305,338.0,0.4
202201130405,50.0,0.4
202201130505,163.0,0.9
202201130605,179.0,1.3
202201130705,214.0,1.3
202201130805,214.0,1.3
202201130905,231.0,0.9
202201131105,204.0,1.3
202201131305,229.0,0.9
202201131405,230.0,1.3
202201131505,256.0,2.2
202201131605,254.0,2.7
202201131705,281.0,2.2
202201131805,280.0,1.3
202201131905,260.0,1.8
202201132005,265.0,1.8
202201132105,195.0,0.9
202201132205,255.0,1.3
202201132305,295.0,2.2
202201140005,349.0,0.9
202201140105,166.0,0.9
202201140205,123.0,0.9
202201140305,,0.0
202201140505,111.0,0.4
202201140605,103.0,0.9
202201140705,98.0,1.3
202201140805,105.0,1.3
202201140905,96.0,0.9
202201141005,82.0,1.3
202201141105,119.0,0.9
202201141205,96.0,0.4
202201141305,89.0,0.9
202201141405,101.0,0.9
202201141505,45.0,1.3
202201141605,38.0,1.3
202201141705,59.0,2.2
202201141805,17.0,1.8
202201141905,38.0,2.2
202201142105,3.0,1.8
202201142305,88.0,1.3
202201150005,116.0,0.9
202201150105,90.0,1.3
202201150205,114.0,0.9
202201150305,93.0,1.3
202201150405,87.0,1.3
202201150505,78.0,0.9
202201150605,93.0,1.3
202201150705,88.0,1.8
202201150805,79.0,1.3
202201150905,299.0,0.4
202201151005,352.0,0.4
202201151105,62.0,1.3
202201151205,234.0,1.3
202201151305,166.0,0.9
202201151405,358.0,0.9
202201151505,330.0,0.4
202201151705,287.0,1.8
202201151805,17.0,0.9
202201151905,357.0,0.9
202201152005,283.0,1.3
202201152105,109.0,0.9
202201152205,45.0,0.9
202201152305,90.0,0.9
202201160005,305.0,0.9
202201160205,265.0,0.9
202201160305,133.0,3.1
202201160505,158.0,2.2
202201160605,115.0,2.2
202201160705,315.0,2.2
202201160805,62.0,1.3
202201160905,119.0,4.9
202201161005,105.0,4.9
202201161105,77.0,2.7
202201161205,91.0,2.7
202201161305,77.0,3.6
202201161405,69.0,3.1
202201161505,119.0,3.1
202201161605,272.0,1.8
202201161705,274.0,1.8
202201161805,284.0,0.9
202201162005,269.0,1.3
202201162105,311.0,0.9
202201162205,276.0,1.3
202201162305,264.0,1.8
202201170005,263.0,1.8
202201170105,263.0,2.2
202201170305,297.0,2.7
202201170505,270.0,1.3
202201170605,255.0,1.3
202201170705,247.0,1.3
202201170805,276.0,1.3
202201170905,263.0,2.2
202201171005,264.0,1.3
202201171105,269.0,1.3
202201171205,263.0,0.9
202201171305,266.0,0.9
202201171505,168.0,0.9
202201171605,218.0,0.4
202201171705,270.0,0.9
202201171805,265.0,1.8
202201171905,295.0,1.3
202201172005,311.0,0.9
202201172105,301.0,0.9
202201172205,329.0,1.3
202201172305,328.0,1.3
202201180005,327.0,1.8
202201180105,321.0,0.9
202201180205,350.0,0.9
202201180305,153.0,0.4
202201180405,349.0,0.9
202201180505,21.0,0.9
202201180605,118.0,0.4
202201180705,119.0,0.9
202201180805,91.0,0.9
202201180905,111.0,0.9
202201181005,107.0,0.9
202201181105,144.0,0.9
202201181205,125.0,1.3
202201181305,126.0,0.9
202201181405,109.0,0.9
202201181505,119.0,1.3
202201181605,115.0,1.3
202201181705,85.0,1.3
202201181805,108.0,1.3
202201181905,37.0,0.9
202201182005,278.0,1.3
202201182105,287.0,1.8
202201182205,279.0,0.9
202201182305,126.0,0.9
202201190005,146.0,0.4
202201190105,68.0,0.9
202201190205,174.0,0.9
202201190305,150.0,1.3
202201190405,194.0,1.3
202201190505,335.0,0.9
202201190605,294.0,1.3
202201190705,193.0,1.3
202201190805,245.0,4.0
202201190905,208.0,1.8
202201191005,172.0,1.8
202201191105,178.0,2.2
202201191205,201.0,2.7
202201191305,214.0,2.7
202201191405,192.0,3.1
202201191505,211.0,2.7
202201191605,201.0,3.1
202201191705,219.0,2.2
202201191805,265.0,2.2
202201191905,178.0,3.1
202201192005,191.0,3.1
202201192105,165.0,2.7
202201192205,186.0,2.2
202201192305,161.0,4.9
202201200005,165.0,3.6
202201200105,176.0,4.9
202201200205,197.0,3.6
202201200305,178.0,4.5
202201200505,197.0,4.5
202201200605,189.0,4.0
202201200705,196.0,3.6
202201200905,227.0,2.2
202201201005,308.0,2.7
202201201105,354.0,2.7
202201201205,50.0,1.8
202201201305,73.0,1.8
202201201405,67.0,1.8
202201201505,48.0,1.8
202201201605,59.0,2.2
202201201705,67.0,2.2
202201201805,67.0,2.2
202201201905,64.0,2.2
202201202005,59.0,2.2
202201202105,52.0,2.2
202201202205,49.0,2.7
202201202305,56.0,2.7
202201210005,64.0,2.7
202201210105,58.0,2.7
202201210205,67.0,2.2
202201210305,67.0,2.7
202201210405,75.0,2.7
202201210505,71.0,2.2
202201210605,71.0,2.2
202201210705,82.0,1.8
202201210805,71.0,1.8
202201210905,76.0,1.8
202201211005,54.0,1.8
202201211105,64.0,2.2
202201211205,65.0,1.8
202201211305,66.0,1.8
202201211405,63.0,1.8
202201211505,65.0,1.8
202201211605,82.0,1.3
202201211705,70.0,1.3
202201211805,78.0,1.8
202201211905,59.0,1.3
202201212005,77.0,1.3
202201212105,71.0,1.8
202201212205,67.0,1.8
202201212305,94.0,1.3
202201220005,74.0,1.3
202201220105,81.0,1.8
202201220205,79.0,1.8
202201220305,76.0,1.8
202201220405,68.0,1.8
202201220505,62.0,1.8
202201220605,68.0,1.3
202201220705,94.0,1.3
202201220805,57.0,0.9
202201220905,63.0,0.9
202201221005,356.0,0.9
202201221105,55.0,0.9
202201221205,82.0,0.9
202201221305,315.0,0.9
202201221505,276.0,1.3
202201221605,312.0,0.4
202201221705,282.0,1.8
202201221905,2.0,1.3
202201222005,46.0,0.9
202201222105,149.0,1.3
202201222205,41.0,1.3
