timestamp string,wind direction,wind speed
202201010032,,0.0
202201010132,,0.0
202201010232,306.0,0.4
202201010332,,0.0
202201010432,73.0,0.4
202201010532,217.0,0.4
202201010632,165.0,0.4
202201010732,112.0,0.4
202201010832,,0.0
202201010932,,0.0
202201011032,118.0,0.4
202201011132,213.0,0.4
202201011232,116.0,0.4
202201011332,,0.0
202201011432,112.0,0.4
202201011532,148.0,0.4
202201011732,229.0,2.7
202201011832,212.0,3.1
202201011932,230.0,3.1
202201012032,232.0,3.1
202201012132,219.0,2.7
202201012232,219.0,3.1
202201012332,238.0,1.8
202201020032,218.0,3.1
202201020132,231.0,3.6
202201020232,224.0,3.1
202201020332,232.0,2.2
202201020432,220.0,3.1
202201020532,186.0,1.8
202201020632,191.0,1.3
202201020732,261.0,1.3
202201020832,224.0,0.9
202201020932,341.0,0.4
202201021032,232.0,0.9
202201021132,,0.0
202201021232,287.0,0.4
202201021332,234.0,0.9
202201021432,175.0,0.9
202201021532,180.0,1.3
202201021632,221.0,1.8
202201021732,215.0,1.3
202201021832,307.0,0.9
202201021932,35.0,0.4
202201022032,266.0,0.4
202201022132,,0.0
202201022232,52.0,0.4
202201022332,6.0,0.4
202201030032,34.0,0.9
202201030132,28.0,0.4
202201030232,352.0,0.9
202201030332,194.0,0.4
202201030432,67.0,0.9
202201030532,116.0,0.9
202201030632,136.0,0.9
202201030732,127.0,1.8
202201030832,187.0,1.8
202201030932,229.0,0.9
202201031032,109.0,1.8
202201031132,350.0,0.4
202201031232,118.0,0.9
202201031332,47.0,1.3
202201031432,107.0,1.3
202201031532,31.0,2.2
202201031632,21.0,1.8
202201031732,101.0,1.8
202201031832,118.0,1.8
202201031932,155.0,1.3
202201032032,241.0,1.8
202201032232,237.0,1.3
202201032332,262.0,0.4
202201040032,,0.0
202201040132,198.0,1.3
202201040232,,0.0
202201040332,359.0,0.4
202201040432,,0.0
202201040532,,0.0
202201040632,164.0,0.4
202201040732,111.0,1.3
202201040832,27.0,0.9
202201041032,90.0,0.4
202201041132,14.0,1.8
202201041232,14.0,0.9
202201041332,7.0,0.9
202201041432,15.0,1.3
202201041532,162.0,1.3
202201041632,151.0,1.8
202201041732,153.0,1.3
202201041832,201.0,1.3
202201041932,259.0,1.8
202201042032,170.0,1.8
202201042132,200.0,2.7
202201042232,216.0,1.8
202201042332,339.0,0.9
202201050032,1.0,0.4
202201050132,353.0,0.4
202201050232,344.0,0.4
202201050332,11.0,0.4
202201050432,10.0,0.4
202201050532,,0.0
202201050632,,0.0
202201050732,51.0,0.4
202201050832,53.0,0.4
202201050932,168.0,0.4
202201051032,187.0,0.4
202201051132,,0.0
202201051232,,0.0
202201051332,13.0,0.4
202201051432,123.0,1.3
202201051532,140.0,1.3
202201051632,213.0,2.2
202201051732,235.0,2.2
202201051832,260.0,2.2
202201051932,215.0,1.8
202201052032,212.0,2.7
202201052132,228.0,1.8
202201052232,325.0,1.8
202201052332,16.0,0.4
202201060032,42.0,0.4
202201060132,63.0,0.4
202201060232,344.0,0.4
202201060332,,0.0
202201060432,,0.0
202201060532,76.0,0.4
202201060632,47.0,0.4
202201060732,90.0,0.4
202201060832,59.0,0.4
202201060932,,0.0
202201061032,,0.0
202201061132,18.0,0.4
202201061232,357.0,0.4
202201061332,46.0,0.9
202201061432,176.0,1.3
202201061532,184.0,0.4
202201061632,,0.0
202201061732,166.0,0.9
202201061832,111.0,1.3
202201061932,206.0,1.3
202201062032,70.0,0.4
202201062132,65.0,0.9
202201062232,,0.0
202201062332,283.0,0.9
202201070032,260.0,1.3
202201070132,241.0,1.8
202201070232,115.0,0.9
202201070332,348.0,0.9
202201070432,104.0,0.4
202201070532,87.0,0.4
202201070632,308.0,0.9
202201070732,311.0,2.2
202201070932,230.0,1.3
202201071032,264.0,2.2
202201071132,253.0,0.9
202201071232,255.0,1.8
202201071332,226.0,1.8
202201071432,220.0,2.2
202201071532,238.0,2.2
202201071632,251.0,2.2
202201071732,220.0,2.2
202201071832,255.0,2.2
202201071932,230.0,2.7
202201072032,250.0,2.2
202201072132,229.0,1.3
202201072232,300.0,0.9
202201072332,336.0,0.9
202201080032,33.0,0.4
202201080132,,0.0
202201080232,348.0,0.4
202201080332,,0.0
202201080432,24.0,0.4
202201080532,,0.0
202201080632,,0.0
202201080732,,0.0
202201080832,61.0,0.4
202201080932,,0.0
202201081032,,0.0
202201081132,,0.0
202201081232,,0.0
202201081332,,0.0
202201081432,157.0,1.3
202201081532,149.0,1.3
202201081632,187.0,1.3
202201081732,214.0,1.8
202201081832,195.0,1.8
202201081932,289.0,1.8
202201082132,317.0,0.9
202201082232,114.0,0.4
202201082332,23.0,0.9
202201090032,37.0,0.4
202201090132,,0.0
202201090232,,0.0
202201090332,26.0,0.4
202201090432,137.0,0.4
202201090532,339.0,0.4
202201090632,106.0,0.9
202201090732,86.0,0.4
202201090832,108.0,0.9
202201090932,50.0,0.4
202201091032,117.0,0.9
202201091132,62.0,0.4
202201091232,189.0,0.9
202201091332,149.0,0.4
202201091432,86.0,0.9
202201091532,,0.0
202201091632,123.0,0.9
202201091732,80.0,0.9
202201091832,79.0,0.4
202201091932,83.0,0.4
202201092032,169.0,1.3
202201092132,204.0,0.4
202201092232,193.0,0.4
202201092332,102.0,0.4
202201100032,,0.0
202201100132,330.0,0.9
202201100232,187.0,0.9
202201100332,335.0,0.9
202201100432,162.0,1.3
202201100532,167.0,1.8
202201100632,172.0,0.9
202201100732,354.0,1.3
202201100832,188.0,1.8
202201100932,119.0,0.9
202201101032,342.0,1.3
202201101132,33.0,0.9
202201101232,338.0,0.9
202201101332,42.0,0.4
202201101432,132.0,1.3
202201101532,239.0,1.8
202201101632,182.0,2.2
202201101732,97.0,1.8
202201101832,90.0,2.2
202201101932,95.0,1.3
202201102032,50.0,1.8
202201102132,114.0,1.8
202201102232,352.0,1.3
202201102332,353.0,0.9
202201110032,280.0,1.3
202201110132,347.0,1.3
202201110232,281.0,2.2
202201110332,37.0,0.4
202201110432,343.0,0.9
