timestamp string,wind direction,wind speed
202201010005,206.0,2.2
202201010105,236.0,0.9
202201010205,116.0,0.4
202201010305,208.0,1.3
202201010405,226.0,1.3
202201010505,225.0,1.8
202201010605,226.0,2.2
202201010705,226.0,2.2
202201010805,223.0,3.1
202201010905,229.0,3.6
202201011005,229.0,4.0
202201011105,230.0,3.1
202201011205,229.0,2.7
202201011305,227.0,3.1
202201011405,223.0,3.1
202201011505,227.0,4.0
202201011605,229.0,4.9
202201011705,230.0,3.6
202201011805,221.0,3.1
202201011905,218.0,3.6
202201012005,239.0,2.7
202201012105,234.0,3.1
202201012205,229.0,1.8
202201012305,229.0,1.8
202201020005,235.0,1.3
202201020105,230.0,2.7
202201020205,229.0,2.7
202201020305,235.0,3.1
202201020405,227.0,3.1
202201020505,226.0,4.0
202201020605,226.0,3.6
202201020705,228.0,3.6
202201020805,227.0,2.7
202201020905,277.0,4.0
202201021005,260.0,2.7
202201021105,283.0,1.8
202201021205,275.0,1.3
202201021305,98.0,0.9
202201021405,263.0,0.9
202201021505,250.0,1.3
202201021605,61.0,1.3
202201021705,88.0,0.9
202201021805,201.0,0.9
202201021905,210.0,1.3
202201022005,297.0,0.9
202201022105,304.0,0.4
202201022205,161.0,0.4
202201022305,66.0,0.9
202201030005,16.0,1.8
202201030105,63.0,1.3
202201030205,35.0,2.2
202201030305,71.0,1.8
202201030405,208.0,2.2
202201030505,44.0,0.9
202201030605,343.0,6.3
202201030705,95.0,4.5
202201030805,277.0,8.5
202201030905,276.0,11.6
202201031005,286.0,10.3
202201031105,272.0,5.4
202201031205,277.0,8.0
202201031305,269.0,8.0
202201031405,234.0,3.1
202201031705,355.0,1.8
202201031805,330.0,2.7
202201031905,318.0,3.1
202201032005,324.0,3.1
202201032105,168.0,1.8
202201032205,257.0,1.8
202201032305,191.0,0.9
202201040005,155.0,0.9
202201040105,68.0,0.9
202201040205,318.0,2.2
202201040305,90.0,1.8
202201040405,237.0,0.9
202201040505,29.0,0.4
202201040605,289.0,0.4
202201040805,,0.0
202201040905,302.0,0.4
202201041005,25.0,0.4
202201041105,26.0,0.4
202201041305,90.0,1.3
202201041405,65.0,1.3
202201041505,77.0,2.2
202201041605,120.0,2.2
202201041705,133.0,2.7
202201041805,116.0,2.7
202201041905,126.0,3.1
202201042005,112.0,2.7
202201042105,83.0,3.1
202201042205,103.0,2.2
202201042305,81.0,1.3
202201050005,99.0,1.3
202201050105,81.0,1.3
202201050205,71.0,1.3
202201050305,88.0,1.3
202201050405,75.0,0.9
202201050505,8.0,0.4
202201050605,87.0,1.3
202201050705,37.0,1.8
202201050805,183.0,1.8
202201050905,35.0,0.9
202201051005,,0.0
202201051105,340.0,0.4
202201051205,19.0,0.4
202201051305,351.0,0.4
202201051405,,0.0
202201051505,205.0,1.8
202201051605,271.0,2.7
202201051705,256.0,3.1
202201051805,269.0,3.1
202201051905,273.0,2.7
202201052005,238.0,2.2
202201052105,237.0,2.2
202201052205,241.0,1.3
202201052305,246.0,1.3
202201060105,249.0,0.9
202201060205,258.0,1.3
202201060405,,0.4
202201060505,296.0,1.3
202201060605,284.0,1.3
202201060705,282.0,1.3
202201060805,315.0,1.8
202201060905,6.0,2.7
202201061005,11.0,3.1
202201061105,324.0,1.8
202201061205,55.0,0.9
202201061305,105.0,0.4
202201061405,230.0,0.4
202201061505,191.0,0.4
202201061605,233.0,0.9
202201061705,76.0,0.9
202201061805,30.0,0.9
202201061905,14.0,0.9
202201062005,330.0,0.9
202201062105,306.0,0.4
202201062205,,0.0
202201062305,178.0,1.3
202201070005,252.0,2.7
202201070105,331.0,3.6
202201070205,264.0,3.6
202201070305,230.0,3.1
202201070405,262.0,4.9
202201070505,296.0,3.1
202201070605,196.0,2.2
202201070705,235.0,3.1
202201070805,146.0,2.7
202201071005,194.0,2.2
202201071105,236.0,1.8
202201071205,223.0,1.3
202201071305,232.0,1.8
202201071405,94.0,1.3
202201071505,136.0,1.3
202201071605,121.0,1.8
202201071705,139.0,1.8
202201071805,306.0,2.2
202201071905,214.0,1.8
202201072005,352.0,1.8
202201072105,52.0,0.9
202201072205,136.0,0.9
202201072305,348.0,0.9
202201080005,145.0,1.3
202201080105,128.0,1.3
202201080205,32.0,0.9
202201080305,295.0,0.9
202201080405,75.0,0.9
202201080505,278.0,1.3
202201080605,63.0,0.4
202201080705,58.0,0.4
202201080805,106.0,0.9
202201080905,,0.0
202201081005,205.0,0.4
202201081105,,0.0
202201081205,173.0,0.4
202201081305,1.0,0.4
202201081405,69.0,1.8
202201081505,85.0,2.2
202201081705,94.0,2.2
202201081805,82.0,1.8
202201081905,89.0,2.2
202201082005,76.0,2.2
202201082105,85.0,1.8
202201082205,87.0,1.8
202201082305,81.0,0.9
202201090005,78.0,1.8
202201090105,71.0,1.3
202201090205,67.0,1.3
202201090305,78.0,1.3
202201090405,80.0,1.3
202201090505,61.0,0.9
202201090605,65.0,1.8
202201090705,37.0,1.3
202201090805,65.0,1.3
202201090905,294.0,0.4
202201091005,348.0,0.9
202201091105,339.0,0.9
202201091205,293.0,0.9
202201091305,45.0,1.3
202201091405,334.0,0.9
202201091505,46.0,0.9
202201091605,39.0,1.3
202201091705,300.0,1.3
202201091805,40.0,0.4
202201091905,155.0,1.3
202201092005,155.0,0.9
202201092105,37.0,1.3
202201092205,76.0,0.9
202201092305,63.0,0.9
202201100005,282.0,2.7
202201100105,201.0,0.9
202201100205,85.0,2.2
202201100305,114.0,2.2
202201100405,348.0,4.5
202201100505,350.0,8.9
202201100705,5.0,7.2
202201100805,5.0,7.2
202201100905,354.0,8.5
202201101005,351.0,5.4
202201101205,100.0,4.5
202201101305,77.0,4.9
202201101405,83.0,2.2
202201101505,75.0,3.6
202201101605,68.0,3.1
202201101705,39.0,1.8
202201101805,109.0,2.2
202201101905,198.0,3.1
202201102005,68.0,2.2
202201102105,303.0,1.8
202201102205,303.0,3.1
202201102305,32.0,2.2
202201110005,221.0,2.2
202201110105,239.0,1.8
202201110205,222.0,2.7
202201110305,259.0,3.6
202201110405,150.0,1.8
202201110505,52.0,2.2
202201110605,200.0,2.2
202201110705,355.0,3.1
202201110805,189.0,2.7
202201110905,171.0,1.3
202201111005,72.0,2.7
202201111105,68.0,3.1
202201111205,45.0,3.1
202201111305,320.0,0.9
202201111405,209.0,0.9
202201111505,95.0,0.9
202201111605,128.0,0.9
202201111705,156.0,1.8
202201111805,181.0,1.3
202201111905,127.0,1.3
202201112005,127.0,1.8
202201112105,190.0,1.3
202201112205,170.0,1.3
202201120005,132.0,0.4
202201120105,,0.0
