timestamp string,wind direction,wind speed
202201011705,,
202201011805,196.0,4.5
202201011905,196.0,4.5
202201012005,199.0,4.9
202201012105,201.0,5.4
202201012205,200.0,5.4
202201012305,198.0,3.6
202201020005,287.0,2.7
202201020105,252.0,2.2
202201020205,329.0,0.4
202201020305,40.0,0.4
202201020405,354.0,0.9
202201020505,350.0,1.3
202201020605,201.0,0.4
202201020705,171.0,1.3
202201020805,184.0,1.3
202201020905,233.0,0.4
202201021005,241.0,0.4
202201021505,223.0,0.4
202201021605,223.0,1.3
202201021705,229.0,1.3
202201021805,228.0,1.3
202201021905,306.0,2.2
202201022005,342.0,2.7
202201022105,350.0,2.2
202201022205,59.0,0.4
202201022305,18.0,2.2
202201030005,6.0,1.3
202201030105,15.0,2.2
202201030205,11.0,3.1
202201030305,358.0,2.2
202201041656,,
202201041705,193.0,0.9
202201041805,172.0,1.8
202201041905,165.0,1.3
202201042005,163.0,1.8
202201042105,170.0,1.3
202201042205,154.0,0.9
202201042305,129.0,0.9
202201050005,146.0,0.9
202201050105,173.0,1.3
202201050205,174.0,1.8
202201050305,191.0,3.1
202201050405,194.0,2.7
202201050505,189.0,2.7
202201050605,180.0,2.2
202201050705,187.0,2.7
202201050805,214.0,2.2
202201050905,203.0,3.6
202201051005,202.0,4.9
202201051105,206.0,5.4
202201051205,197.0,4.0
202201051305,207.0,4.0
202201051405,198.0,4.0
202201051505,205.0,4.0
202201051605,205.0,4.0
202201051705,216.0,3.1
202201051805,203.0,2.7
202201051905,211.0,2.7
202201052005,195.0,3.1
202201052105,203.0,2.7
202201052305,197.0,3.1
202201060005,191.0,3.1
202201060105,207.0,2.2
202201060205,210.0,1.3
202201060305,215.0,1.3
202201060405,202.0,1.3
202201060505,247.0,0.4
202201060605,316.0,1.8
202201060805,343.0,1.3
202201060905,205.0,0.9
202201061005,176.0,0.4
202201061105,27.0,1.3
202201061205,38.0,1.8
202201061305,36.0,1.3
202201061405,1.0,1.3
202201061605,342.0,1.3
202201061805,34.0,1.3
202201061905,14.0,1.8
202201062005,344.0,0.4
202201062105,352.0,1.8
202201062205,318.0,0.4
202201062305,310.0,1.3
202201070005,356.0,1.8
202201070105,347.0,2.7
202201070205,4.0,1.3
202201070305,345.0,1.3
202201070405,235.0,0.9
202201070505,266.0,1.3
202201070605,319.0,1.3
202201070705,319.0,1.8
202201070805,347.0,1.8
202201070905,342.0,0.9
202201071005,345.0,1.3
202201071105,353.0,1.3
202201071205,342.0,1.8
202201071305,350.0,1.8
