timestamp string,wind direction,wind speed
202201010035,188.0,0.4
202201010135,225.0,0.9
202201010235,208.0,0.4
202201010335,180.0,0.9
202201010435,248.0,0.4
202201010535,,0.0
202201010635,200.0,0.4
202201010735,,0.0
202201010835,,0.0
202201010935,17.0,0.4
202201011035,,0.0
202201011135,,0.0
202201011235,44.0,0.4
202201011335,138.0,0.4
202201011435,187.0,1.8
202201011535,173.0,1.3
202201011635,219.0,1.8
202201011735,177.0,1.8
202201011835,223.0,2.7
202201011935,215.0,2.7
202201012035,190.0,1.8
202201012135,184.0,1.8
202201012235,193.0,2.2
202201012335,206.0,1.8
202201020035,192.0,2.2
202201020135,201.0,1.8
202201020235,216.0,2.2
202201020335,228.0,1.8
202201020435,232.0,2.2
202201020535,229.0,2.2
202201020635,201.0,1.8
202201020735,210.0,1.3
202201020835,250.0,0.9
202201020935,194.0,2.7
202201021035,98.0,2.2
202201021135,44.0,1.3
202201021235,38.0,1.3
202201021335,133.0,1.3
202201021435,178.0,0.4
202201021535,305.0,0.9
202201021635,237.0,0.9
202201021735,268.0,0.9
202201021835,238.0,0.9
202201021935,265.0,0.4
202201022035,168.0,0.9
202201022135,,0.0
202201022235,,0.0
202201022335,,0.0
202201030035,144.0,0.4
202201030135,88.0,0.9
202201030235,79.0,0.4
202201030335,,0.0
202201030435,99.0,0.9
202201030535,98.0,0.4
202201030635,75.0,0.9
202201030735,5.0,1.3
202201030835,355.0,2.2
202201030935,347.0,3.6
202201031035,323.0,3.6
202201031135,329.0,3.6
202201031235,310.0,4.0
202201031335,315.0,3.6
202201031435,326.0,3.6
202201031535,8.0,3.1
202201031635,348.0,2.7
202201031735,35.0,2.2
202201031835,50.0,2.2
202201031935,69.0,1.8
202201032035,57.0,1.3
202201032235,241.0,1.8
202201040035,67.0,2.7
202201040135,66.0,1.8
202201040235,33.0,0.9
202201040435,73.0,0.9
202201040535,154.0,0.4
202201040635,155.0,0.4
202201040735,,0.0
202201040835,,0.0
202201040935,,0.0
202201041235,,0.0
202201041335,,0.0
202201041435,,0.0
202201041535,189.0,0.9
202201041635,194.0,1.3
202201041735,190.0,1.8
202201041935,178.0,1.3
202201042035,178.0,1.8
202201042135,216.0,1.3
202201042235,178.0,1.3
202201042335,217.0,0.4
202201050035,174.0,0.4
202201050135,230.0,0.4
202201050235,222.0,0.9
202201050335,155.0,0.9
202201050435,149.0,1.3
202201050535,148.0,1.8
202201050635,173.0,1.8
202201050735,228.0,2.2
202201050835,215.0,1.8
202201050935,252.0,0.9
202201051035,214.0,0.9
202201051135,191.0,0.9
202201051235,224.0,0.9
202201051335,189.0,0.9
202201051435,153.0,0.9
202201051535,227.0,0.9
202201051635,130.0,0.9
202201051735,123.0,1.3
202201051835,131.0,1.8
202201051935,132.0,1.3
202201052035,68.0,0.9
202201052135,76.0,1.8
202201052335,101.0,1.8
202201060035,72.0,1.3
202201060135,95.0,1.8
202201060235,68.0,1.8
202201060335,80.0,1.8
202201060435,119.0,1.3
202201060535,191.0,0.4
202201060635,98.0,0.9
202201060735,122.0,0.4
202201061035,78.0,1.3
202201061135,68.0,1.3
202201061235,128.0,0.9
202201061335,,0.0
202201061435,130.0,0.9
202201061535,154.0,0.4
202201061635,296.0,0.4
202201061735,262.0,0.9
202201061835,198.0,1.8
202201061935,213.0,2.2
202201062035,227.0,1.8
202201062135,203.0,1.3
202201062235,203.0,1.3
202201062335,251.0,0.9
202201070035,278.0,0.9
202201070135,260.0,1.8
202201070235,330.0,1.3
202201070435,50.0,2.2
202201070535,30.0,1.8
202201070635,149.0,1.8
202201070735,52.0,1.8
202201070835,62.0,2.2
202201070935,37.0,1.3
202201071035,90.0,1.3
202201071135,340.0,2.2
202201071235,276.0,0.4
202201071335,250.0,0.9
202201071435,245.0,0.9
202201071535,259.0,0.9
202201071635,133.0,0.4
202201071735,354.0,1.3
202201071835,51.0,1.3
202201071935,208.0,1.3
202201072035,221.0,1.3
202201072135,149.0,0.9
202201072235,,0.0
202201072335,,0.0
202201080035,,0.0
202201080135,53.0,0.4
202201080235,,0.0
202201080335,,0.0
202201080435,,0.0
202201080535,,0.0
202201080635,,0.0
202201080735,,0.0
202201080835,,0.0
202201080935,,0.0
202201081035,199.0,0.4
202201081135,178.0,0.4
202201081235,221.0,0.4
202201081335,234.0,0.9
202201081435,251.0,0.9
202201081535,226.0,0.9
202201081635,207.0,1.3
202201081735,167.0,1.3
202201081835,140.0,1.3
202201081935,195.0,1.8
202201082035,186.0,1.3
202201082135,202.0,0.9
202201082335,,0.0
202201090035,,0.0
202201090135,242.0,0.9
202201090335,151.0,0.4
202201090435,257.0,0.9
202201090635,313.0,0.9
202201090735,185.0,2.2
202201090835,202.0,2.2
202201090935,232.0,1.8
202201091035,236.0,1.3
202201091235,226.0,1.3
202201091335,252.0,1.3
202201091435,211.0,1.3
202201091535,240.0,1.3
202201091635,222.0,0.9
202201091735,167.0,0.9
202201091835,204.0,0.4
202201091935,190.0,1.3
202201092035,186.0,1.8
202201092135,,0.0
202201092235,134.0,0.9
202201092335,234.0,0.4
202201100035,104.0,0.4
202201100135,64.0,1.3
202201100235,283.0,2.2
202201100535,31.0,2.7
202201100635,13.0,2.7
202201100735,33.0,2.7
202201101035,12.0,2.2
202201101135,358.0,2.2
202201101235,311.0,3.1
202201101335,302.0,3.1
202201101435,345.0,2.7
202201101535,15.0,3.1
202201101635,21.0,2.7
202201101735,16.0,2.7
202201101835,6.0,2.7
202201101935,16.0,1.8
202201102035,25.0,1.8
202201102135,16.0,1.8
202201102235,49.0,1.3
202201102335,120.0,0.9
202201110035,99.0,0.9
202201110135,73.0,1.3
202201110235,37.0,1.3
202201110335,338.0,1.3
202201110435,40.0,1.3
202201110535,335.0,1.8
202201110635,34.0,1.3
202201110735,2.0,2.2
202201110835,5.0,1.8
202201111035,46.0,1.8
202201111135,55.0,1.3
202201111235,118.0,0.4
202201111335,103.0,0.4
202201111435,118.0,0.9
202201111535,174.0,0.9
202201111635,170.0,1.3
202201111735,157.0,1.3
202201111835,91.0,1.3
202201111935,139.0,0.9
202201112035,212.0,1.3
202201112135,150.0,0.9
202201112235,168.0,0.4
202201120035,,0.0
202201120135,,0.0
202201120235,,0.0
202201120335,,0.0
202201120435,,0.0
202201120535,,0.0
202201120635,,0.0
202201120735,,0.0
202201120835,,0.0
202201120935,,0.0
202201121035,48.0,0.4
202201121135,,0.0
202201121235,82.0,0.4
202201121335,99.0,0.4
202201121435,172.0,0.4
202201121535,186.0,0.9
202201121635,222.0,0.9
202201121735,233.0,0.9
202201121835,180.0,1.3
202201121935,230.0,0.9
202201122035,131.0,1.3
202201122135,162.0,0.9
202201122235,178.0,0.4
202201122335,193.0,0.4
202201130035,,0.0
202201130135,,0.0
202201130235,67.0,0.4
202201130335,79.0,0.9
202201130435,93.0,0.4
202201130535,58.0,0.4
202201130635,73.0,0.9
202201130735,99.0,0.9
202201130835,107.0,0.4
202201130935,69.0,0.4
202201131035,44.0,0.4
202201131135,136.0,0.4
202201131235,61.0,0.4
202201131335,99.0,0.4
202201131435,196.0,0.4
202201131535,266.0,0.4
202201131735,327.0,0.4
202201131835,246.0,0.9
202201131935,159.0,0.9
202201132035,237.0,1.3
202201132135,222.0,1.3
202201132235,44.0,1.3
202201132335,51.0,0.9
202201140035,85.0,0.4
202201140135,34.0,0.9
202201140235,29.0,0.4
202201140335,38.0,0.9
202201140435,86.0,0.9
202201140535,62.0,1.3
202201140635,14.0,1.8
202201140735,6.0,2.2
202201140835,21.0,1.8
202201140935,351.0,2.2
202201141035,330.0,1.8
202201141135,40.0,1.8
202201141335,41.0,1.8
202201141435,71.0,1.8
202201141535,318.0,1.8
