timestamp string,wind direction,wind speed
202201010019,,0.0
202201010119,,0.0
202201010219,,0.0
202201010319,,0.0
202201010419,,0.0
202201010519,209.0,2.2
202201010619,205.0,3.1
202201010719,203.0,3.1
202201010919,193.0,1.8
202201011019,205.0,1.8
202201011119,199.0,1.8
202201011219,201.0,1.8
202201011319,190.0,2.2
202201011419,203.0,3.1
202201011519,202.0,2.7
202201011619,207.0,3.6
202201011719,199.0,3.1
202201011819,207.0,2.7
202201011919,200.0,4.0
202201012019,210.0,3.6
202201012119,208.0,3.1
202201012219,203.0,3.1
202201012319,198.0,3.1
202201020019,196.0,3.1
202201020119,195.0,3.6
202201020219,197.0,4.0
202201020319,203.0,3.6
202201020419,205.0,3.6
202201020519,201.0,3.6
202201020619,195.0,3.6
202201020719,200.0,4.0
202201020819,203.0,3.1
202201020919,201.0,4.5
202201021019,201.0,4.9
202201021119,204.0,3.1
202201021219,334.0,3.1
202201021319,92.0,0.4
202201021419,172.0,0.4
202201021519,233.0,1.3
202201021619,198.0,1.8
202201021719,228.0,0.9
202201021819,227.0,0.9
202201021919,,0.0
202201022119,174.0,0.9
202201022219,,0.0
202201022319,,0.0
202201030019,45.0,0.4
202201030119,343.0,0.9
202201030219,353.0,0.4
202201030319,140.0,0.4
202201030419,134.0,0.9
202201030519,124.0,0.9
202201030619,125.0,0.9
202201030719,227.0,3.1
202201030819,254.0,3.1
202201030919,254.0,4.0
202201031019,299.0,4.0
202201031119,299.0,3.1
202201031219,316.0,3.6
202201031319,326.0,3.1
202201031419,310.0,3.1
202201031519,323.0,4.0
202201031619,314.0,3.6
202201031719,332.0,2.2
202201031819,335.0,4.0
202201032019,337.0,3.1
202201032119,299.0,1.8
202201032219,316.0,1.3
202201032319,329.0,1.3
202201040019,348.0,0.4
202201040119,331.0,0.4
202201040219,,0.0
202201040319,,0.0
202201040419,316.0,0.9
202201040519,,0.0
202201040619,311.0,0.4
202201040719,326.0,0.9
202201040819,,0.0
202201040919,318.0,0.4
202201041019,,0.0
202201041119,,0.0
202201041219,343.0,0.4
202201041319,,0.0
202201041419,,0.0
202201041519,122.0,1.8
202201041619,81.0,2.2
202201041719,123.0,1.8
202201041819,136.0,1.8
202201041919,97.0,2.2
202201042019,93.0,1.3
202201042119,89.0,1.8
202201042219,54.0,0.9
202201042319,103.0,0.4
202201050019,358.0,0.4
202201050119,,0.0
202201050219,,0.0
202201050319,,0.0
202201050419,,0.0
202201050519,,0.0
202201050619,,0.0
202201050719,10.0,0.4
202201050819,356.0,0.9
202201050919,,0.0
202201051019,11.0,0.4
202201051119,,0.0
202201051219,126.0,0.4
202201051319,333.0,0.4
202201051419,,0.0
202201051519,192.0,0.9
202201051619,178.0,0.9
202201051719,226.0,1.8
202201051819,239.0,1.8
202201051919,295.0,2.2
202201052019,274.0,1.3
202201052119,307.0,1.3
202201052219,,0.0
202201052319,,0.0
202201060019,,0.0
202201060119,,0.0
202201060219,,0.0
202201060319,,0.0
202201060419,,0.0
202201060519,,0.0
202201060619,,0.0
202201060719,,0.0
202201060819,,0.0
202201060919,,0.0
202201061019,,0.0
202201061119,,0.0
202201061219,,0.0
202201061319,,0.0
202201061419,196.0,0.4
202201061519,205.0,0.4
202201061619,192.0,1.3
202201061719,199.0,2.2
202201061819,178.0,2.2
202201061919,174.0,2.7
202201062019,187.0,2.7
202201062119,205.0,3.1
202201062219,195.0,1.3
202201070019,,0.0
202201070119,,0.0
202201070219,311.0,3.6
202201070319,307.0,3.1
202201070419,306.0,1.8
202201070519,317.0,2.7
202201070619,312.0,1.8
202201070719,308.0,2.2
202201070819,315.0,1.8
202201070919,324.0,1.3
202201071019,308.0,1.3
202201071119,315.0,1.3
202201071219,328.0,1.3
202201071319,333.0,1.8
202201071419,314.0,1.3
202201071519,293.0,1.8
202201071619,320.0,2.2
202201071719,321.0,2.2
202201071819,326.0,1.8
202201071919,277.0,2.2
202201072019,296.0,2.2
202201072119,328.0,1.8
202201072219,303.0,0.4
202201072319,,0.0
202201080019,,0.0
202201080119,,0.0
202201080219,,0.0
202201080319,,0.0
202201080419,,0.0
202201080519,,0.0
202201080619,336.0,0.4
202201080719,,0.0
202201080819,,0.0
202201080919,,0.0
202201081019,359.0,0.9
202201081119,345.0,0.4
202201081219,353.0,0.4
202201081319,16.0,0.4
202201081419,66.0,1.3
202201081519,44.0,1.8
202201081619,28.0,1.8
202201081719,45.0,2.2
202201081819,23.0,1.8
202201081919,118.0,1.8
202201082019,81.0,1.8
202201082119,108.0,2.2
202201082219,113.0,1.8
202201082319,116.0,1.3
202201090019,81.0,0.4
202201090119,,0.0
202201090219,351.0,0.4
202201090319,37.0,0.4
202201090419,90.0,0.9
202201090519,8.0,0.9
202201090619,,0.0
202201090819,35.0,0.4
202201090919,31.0,0.9
202201091019,22.0,0.4
202201091119,2.0,1.3
202201091219,90.0,0.4
202201091319,,0.0
202201091419,85.0,0.4
202201091519,10.0,0.9
202201091619,27.0,0.9
202201091719,123.0,0.9
202201091819,191.0,1.3
202201091919,197.0,0.9
202201092019,167.0,1.3
202201092119,204.0,0.9
202201092219,135.0,0.4
202201092319,340.0,2.2
202201100019,96.0,0.9
202201100119,139.0,0.4
202201100219,,0.0
202201100319,185.0,0.4
202201100419,298.0,0.4
202201100519,247.0,0.4
202201100619,325.0,0.9
202201100719,325.0,0.9
202201100819,337.0,0.9
202201100919,327.0,0.4
202201101019,332.0,1.3
202201101119,325.0,0.9
202201101219,287.0,0.4
202201101319,325.0,1.3
202201101419,332.0,1.8
202201101519,343.0,2.2
202201101619,1.0,1.8
202201101719,329.0,3.1
202201101819,2.0,2.7
202201101919,325.0,2.2
202201102019,352.0,2.2
202201102119,333.0,3.1
202201102219,324.0,1.3
202201102319,326.0,1.3
202201110019,335.0,1.3
202201110119,343.0,1.8
202201110219,338.0,3.1
202201110319,344.0,2.2
202201110419,340.0,2.2
202201110519,350.0,2.2
202201110619,348.0,2.7
202201110719,344.0,2.2
202201110819,,0.0
202201110919,,0.0
202201111019,,0.0
202201111119,,0.0
202201111219,331.0,0.4
202201111319,,0.0
202201111419,,0.0
202201111519,105.0,1.3
202201111619,85.0,1.3
202201111719,61.0,1.3
202201111819,124.0,1.3
202201111919,327.0,0.9
202201112019,81.0,1.3
202201112119,35.0,0.9
202201112219,17.0,0.9
202201112319,,0.0
202201120019,,0.0
202201120119,,0.0
202201120219,,0.0
202201120319,,0.0
202201120419,,0.0
202201120519,,0.0
202201120619,,0.0
202201120719,,0.0
202201120819,,0.0
202201120919,,0.0
202201121019,,0.0
202201121119,,0.0
202201121219,,0.0
202201121319,,0.0
202201121419,351.0,0.9
202201121519,,0.0
202201121619,156.0,1.3
202201121719,170.0,0.9
202201121819,73.0,1.8
202201121919,192.0,1.8
202201122019,171.0,1.8
202201122119,173.0,0.9
202201122219,,0.0
202201122319,,0.0
202201130019,312.0,0.4
202201130119,,0.0
202201130219,,0.0
202201130319,,0.0
202201130419,,0.0
202201130519,,0.0
202201130619,,0.0
202201130719,,0.0
202201130819,,0.0
202201130919,,0.0
202201131019,,0.0
202201131119,,0.0
202201131319,,0.0
202201131419,,0.0
202201131519,180.0,0.4
202201131619,204.0,1.3
202201131919,218.0,1.3
202201132019,221.0,1.3
202201132119,286.0,0.4
202201132219,251.0,0.4
202201132319,2.0,0.4
202201140019,351.0,2.2
202201140119,345.0,2.7
202201140219,332.0,2.2
202201140319,342.0,1.8
202201140419,335.0,1.8
202201140519,344.0,0.4
202201140619,342.0,0.9
202201140719,331.0,1.3
202201140819,325.0,1.3
202201140919,,0.0
202201141019,,0.0
202201141119,,0.0
202201141319,,0.0
202201141419,331.0,0.4
202201141519,,1.8
202201141619,11.0,1.8
202201141719,344.0,2.2
202201141819,289.0,0.9
