timestamp string,wind direction,wind speed
202201010115,275.0,0.4
202201010315,,0.0
202201010515,156.0,0.4
202201010615,144.0,0.9
202201010715,136.0,1.8
202201010815,133.0,1.8
202201010915,132.0,3.1
202201011015,136.0,3.6
202201011115,135.0,2.7
202201011215,134.0,3.6
202201011315,134.0,4.0
202201011415,125.0,3.1
202201011515,130.0,3.1
202201011615,134.0,3.6
202201011715,134.0,3.1
202201011815,139.0,3.6
202201011915,126.0,3.1
202201012015,131.0,3.1
202201012115,123.0,2.7
202201012215,121.0,1.3
202201012315,103.0,1.3
202201020015,115.0,1.8
202201020115,115.0,2.2
202201020215,110.0,3.6
202201020315,119.0,3.6
202201020515,126.0,3.6
202201020615,126.0,3.6
202201020715,129.0,4.0
202201020815,128.0,4.0
202201020915,118.0,4.9
202201021015,132.0,3.6
202201021215,143.0,3.1
202201021415,129.0,0.9
202201021615,141.0,2.7
202201021715,151.0,3.6
202201021815,135.0,1.3
202201021915,130.0,1.8
202201022015,137.0,2.2
202201022115,82.0,0.4
202201022215,23.0,1.8
202201022315,38.0,1.8
202201030015,1.0,0.9
202201030115,73.0,0.9
202201030215,,0.0
202201030315,356.0,1.3
202201030415,327.0,1.3
202201030515,347.0,2.2
202201030615,341.0,2.2
202201030715,285.0,2.7
202201030815,301.0,4.0
202201030915,9.0,3.1
202201031015,134.0,5.4
202201031115,233.0,2.7
202201031215,233.0,2.7
202201031315,224.0,2.2
202201031415,224.0,3.1
202201031515,237.0,2.2
202201031615,223.0,3.1
202201031715,231.0,2.7
202201031815,232.0,2.2
202201031915,242.0,1.8
202201032015,213.0,2.2
202201032115,232.0,1.3
202201032215,228.0,0.9
202201032315,234.0,0.4
202201040015,207.0,0.9
202201040315,,0.0
202201040415,273.0,0.9
202201040515,,0.0
202201040615,285.0,0.9
202201040715,297.0,0.4
202201040815,,0.0
202201040915,,0.0
202201041015,271.0,0.9
202201041115,296.0,0.9
202201041215,302.0,1.3
202201041315,302.0,1.3
202201041415,313.0,0.9
202201041515,4.0,2.2
202201041615,14.0,2.7
202201041715,37.0,1.8
202201041815,82.0,1.8
202201041915,8.0,1.8
202201042015,9.0,1.3
202201042215,343.0,1.8
202201042315,301.0,1.3
202201050015,339.0,0.9
202201050115,303.0,0.4
202201050215,,0.0
202201050315,,0.0
202201050515,48.0,0.9
202201050615,22.0,1.3
202201050715,,0.0
202201050815,309.0,0.4
202201051115,,0.0
202201051215,,0.0
