timestamp string,wind direction,wind speed
202201010002,,0.0
202201010102,71.0,0.4
202201010202,352.0,1.8
202201010302,,0.0
202201010402,,0.0
202201010502,,0.0
202201010602,,0.0
202201010702,219.0,1.3
202201010802,204.0,1.3
202201010902,208.0,1.3
202201011002,225.0,1.8
202201011102,236.0,1.3
202201011202,214.0,0.9
202201011302,230.0,1.3
202201011402,201.0,1.8
202201011502,234.0,2.2
202201011602,214.0,2.7
202201011702,201.0,2.7
202201011802,212.0,2.7
202201011902,205.0,3.1
202201012002,210.0,3.1
202201012202,182.0,2.2
202201012302,180.0,2.7
202201020002,173.0,2.2
202201020102,179.0,2.2
202201020202,188.0,3.1
202201020302,190.0,3.1
202201020402,200.0,3.1
202201020502,181.0,3.1
202201020602,204.0,3.1
202201020702,189.0,2.2
202201020802,187.0,2.7
202201020902,324.0,2.7
202201021002,260.0,2.2
202201021102,249.0,1.8
202201021202,234.0,1.8
202201021402,196.0,1.3
202201021502,234.0,0.9
202201021602,190.0,1.3
202201021702,286.0,0.4
202201021802,217.0,1.3
202201021902,144.0,0.4
202201022002,167.0,1.8
202201022102,154.0,0.4
202201022202,147.0,0.9
202201022302,,0.0
202201030002,137.0,0.4
202201030102,139.0,0.4
202201030202,134.0,0.9
202201030302,143.0,0.9
202201030402,135.0,1.3
202201030502,352.0,0.9
202201030602,349.0,1.3
202201030702,342.0,3.1
202201030802,327.0,4.5
202201030902,325.0,4.0
202201031002,321.0,4.0
202201031102,333.0,3.6
202201031202,337.0,4.5
202201031302,330.0,3.6
202201031402,333.0,4.0
202201031502,335.0,3.1
202201031602,346.0,3.1
202201031702,340.0,3.6
202201031802,332.0,2.7
202201031902,328.0,2.7
202201032002,336.0,2.7
202201032102,332.0,2.2
202201032202,333.0,2.7
202201032302,335.0,1.8
202201040002,328.0,1.8
202201040102,351.0,0.9
202201040202,266.0,0.4
202201040302,,0.0
202201040402,,0.0
202201040602,,0.0
202201040702,,0.0
202201040802,,0.0
202201041002,,0.0
202201041102,35.0,0.9
202201041202,,0.0
202201041602,144.0,1.8
202201041702,154.0,0.9
202201041902,138.0,1.3
