timestamp string,wind direction,wind speed
202201010015,209.0,0.9
202201010115,213.0,0.4
202201010215,217.0,0.9
202201010315,,0.0
202201010415,,0.0
202201010515,,0.0
202201010615,,0.0
202201010715,,0.0
202201010815,,0.0
202201010915,87.0,1.3
202201011015,277.0,2.2
202201011115,318.0,1.3
202201011215,,0.0
202201011315,223.0,0.4
202201011415,207.0,1.3
202201011515,213.0,3.6
202201011715,329.0,5.8
202201011815,330.0,2.7
202201011915,311.0,2.2
202201012015,,0.0
202201012215,201.0,0.4
202201012315,124.0,0.9
202201020015,160.0,0.4
202201020115,116.0,0.4
202201020215,,0.0
202201020315,,0.0
202201020415,,0.0
202201041515,210.0,0.4
202201041615,180.0,1.8
202201041715,206.0,2.2
202201041815,173.0,2.2
202201041915,202.0,2.2
202201042015,206.0,2.7
202201042115,203.0,2.2
202201042215,204.0,1.3
202201042315,201.0,1.3
202201050015,193.0,1.3
202201050115,203.0,1.8
202201050215,217.0,2.7
202201050315,210.0,2.7
202201050415,222.0,3.1
202201050515,226.0,4.0
202201050615,224.0,2.7
202201050715,218.0,2.7
202201050815,216.0,2.2
202201050915,218.0,2.7
202201051115,227.0,3.1
202201051215,223.0,2.7
202201051315,232.0,2.7
202201051415,222.0,2.7
202201051515,244.0,3.1
202201051615,262.0,4.0
202201051715,257.0,3.6
202201051815,275.0,3.6
202201051915,274.0,3.6
202201052015,297.0,4.0
202201052115,278.0,2.7
202201052215,265.0,2.2
202201052315,,0.0
202201060015,229.0,0.4
202201060215,,0.0
202201060315,,0.0
202201060415,18.0,2.7
202201060515,15.0,1.3
202201060615,14.0,2.7
202201060715,17.0,2.2
202201060815,51.0,4.0
202201060915,30.0,3.1
202201061015,33.0,3.1
202201061115,13.0,2.7
202201061215,41.0,3.6
202201061315,52.0,2.2
202201061515,26.0,3.6
202201061615,20.0,2.2
202201061715,11.0,2.7
202201061815,352.0,3.1
202201062015,345.0,4.0
202201062115,338.0,2.7
202201062215,342.0,3.1
202201062315,324.0,2.2
202201070015,319.0,1.8
202201071515,36.0,1.8
202201071615,37.0,2.7
202201071715,38.0,3.6
202201071815,54.0,0.9
202201071915,27.0,1.8
202201072015,24.0,2.2
202201072115,43.0,3.1
202201072215,46.0,3.1
202201072315,83.0,1.3
202201080015,94.0,1.8
202201080115,94.0,1.3
202201080215,108.0,1.8
202201080315,120.0,1.3
202201080415,97.0,1.8
202201080515,107.0,1.8
202201080615,155.0,0.4
202201080715,79.0,0.9
202201080815,105.0,0.4
202201080915,96.0,1.3
202201081015,,0.0
202201081115,112.0,1.3
202201081515,167.0,0.9
202201081615,176.0,1.3
202201081715,199.0,1.3
202201081815,186.0,1.3
202201081915,197.0,2.2
202201082015,190.0,1.8
202201082115,163.0,2.2
202201082215,163.0,1.8
202201082315,167.0,1.3
202201090015,171.0,1.3
202201090115,5.0,0.9
202201090215,205.0,2.2
202201090315,185.0,2.2
202201090415,,0.0
202201090515,184.0,1.8
202201090615,205.0,2.2
202201090715,204.0,2.2
202201090815,238.0,2.2
202201091015,208.0,1.8
202201091115,211.0,2.2
202201091215,216.0,2.7
202201091315,339.0,3.6
202201091415,,0.0
202201091515,,0.0
202201091615,356.0,3.6
202201091715,0.0,3.6
202201091815,355.0,6.3
202201091915,3.0,5.4
202201092015,11.0,4.0
202201092115,19.0,4.9
202201092215,23.0,4.0
202201092315,17.0,3.6
202201100115,8.0,4.0
202201100215,6.0,3.1
202201100315,11.0,3.6
202201101415,,
202201101515,272.0,0.9
202201101615,286.0,0.9
202201101715,344.0,2.2
202201101815,283.0,1.8
202201101915,266.0,4.0
202201102015,281.0,3.1
202201102115,263.0,3.6
202201102215,264.0,3.6
202201102315,279.0,1.8
202201110015,265.0,1.8
202201110115,,0.0
202201110215,,0.0
202201110315,,0.0
202201110415,,0.0
202201110515,95.0,0.9
202201110615,,0.0
202201110715,,0.0
202201110815,,0.0
202201110915,55.0,0.9
202201111015,,0.0
202201111115,114.0,0.4
202201111215,,0.0
202201111315,,0.0
202201111415,40.0,0.9
202201111515,175.0,0.4
202201111615,162.0,0.4
202201111715,225.0,1.8
202201111815,237.0,1.8
202201111915,138.0,1.3
202201112015,254.0,1.8
202201112115,248.0,1.8
202201112215,192.0,0.9
202201112315,,0.0
202201120015,,0.0
202201120115,212.0,0.9
202201120215,,0.0
202201120315,208.0,1.3
202201120415,198.0,0.9
202201120515,195.0,1.3
202201120715,189.0,0.9
202201120815,,0.0
202201120915,188.0,0.9
202201121015,219.0,1.8
202201121115,216.0,2.2
202201121215,220.0,1.8
202201121415,222.0,2.7
202201121515,229.0,3.1
202201121615,222.0,3.1
202201121715,231.0,3.1
202201121815,243.0,4.0
202201121915,259.0,5.4
202201122015,248.0,4.5
202201122115,222.0,3.1
202201122215,225.0,3.1
202201122315,211.0,1.8
202201130015,199.0,0.9
202201130115,203.0,0.9
202201130215,,0.0
202201130315,,0.0
202201130415,212.0,1.3
202201130615,226.0,2.2
202201130715,220.0,1.8
202201130815,228.0,1.8
202201131015,245.0,1.8
202201131115,236.0,1.3
202201131215,244.0,1.3
202201131315,247.0,1.3
202201131415,258.0,1.8
202201131615,281.0,3.1
202201131815,333.0,2.2
202201131915,305.0,2.2
202201132015,277.0,1.8
202201132115,275.0,3.1
202201132215,273.0,2.2
202201132315,320.0,0.4
202201140015,,0.0
202201140215,297.0,0.9
202201140315,346.0,1.8
202201140415,326.0,1.3
202201140515,,0.0
202201140615,,0.0
202201140715,,0.0
202201140815,,0.0
202201140915,,0.0
202201141015,,0.0
202201141115,,0.0
202201141215,,0.0
202201141315,,0.0
202201141415,,0.0
202201141515,,0.0
202201141615,,0.0
202201141715,84.0,0.9
202201141815,114.0,1.8
202201141915,57.0,2.2
202201142015,61.0,2.2
202201142115,61.0,2.7
202201142215,61.0,2.2
202201142315,64.0,0.4
202201150015,57.0,1.3
202201150115,74.0,0.4
202201150215,29.0,0.4
202201150315,66.0,2.2
202201150415,71.0,0.4
202201150515,83.0,2.2
202201150715,83.0,2.2
202201150815,75.0,2.2
202201150915,102.0,2.7
202201151015,83.0,2.7
202201151115,89.0,2.2
202201151215,79.0,2.7
202201151315,81.0,2.7
202201151415,89.0,2.7
202201151515,95.0,3.1
202201151615,87.0,3.6
202201151715,89.0,3.6
202201151815,78.0,3.6
202201151915,83.0,3.6
202201152015,81.0,3.1
202201152115,69.0,4.9
202201152215,74.0,3.6
202201152315,73.0,3.6
202201160115,63.0,4.5
202201160215,63.0,4.9
202201160315,72.0,4.0
202201160415,61.0,4.5
202201160515,49.0,3.6
202201160615,45.0,3.6
202201160715,46.0,4.0
202201160815,41.0,3.6
202201160915,39.0,3.6
202201161115,26.0,3.6
202201161215,23.0,3.1
202201161315,28.0,4.0
202201161415,31.0,4.0
202201161515,14.0,3.6
202201161615,2.0,3.6
202201161715,359.0,4.0
202201161815,337.0,2.7
202201161915,351.0,3.1
202201162015,332.0,2.7
202201162115,329.0,3.1
202201162215,321.0,3.1
202201162315,331.0,3.6
202201170015,327.0,3.1
202201170115,300.0,1.3
202201170215,294.0,1.8
202201170315,282.0,2.7
202201170415,287.0,2.7
202201170515,297.0,2.7
202201170615,303.0,2.2
202201170715,261.0,2.2
202201170815,262.0,2.2
202201170915,265.0,2.7
202201171015,298.0,2.7
202201171115,303.0,3.1
202201171215,295.0,3.6
202201171315,294.0,2.7
202201171415,300.0,2.7
202201171515,300.0,2.7
202201171615,326.0,3.1
202201171715,309.0,2.2
202201171815,287.0,2.7
202201171915,328.0,4.0
202201172015,311.0,2.2
202201172115,315.0,2.7
202201172215,271.0,2.2
202201172315,286.0,0.9
202201180015,,0.0
202201180115,,0.0
202201180215,,0.0
202201180315,,0.0
202201180415,,0.0
202201180515,,0.0
202201181415,,0.0
202201181715,177.0,2.2
202201181815,196.0,2.2
202201181915,178.0,1.8
202201182015,200.0,1.8
202201182115,185.0,1.8
202201182215,174.0,1.8
202201182315,194.0,0.9
202201190015,206.0,0.9
202201190115,204.0,1.3
202201190215,196.0,1.3
202201190315,196.0,1.8
202201190515,216.0,2.2
202201190615,212.0,1.8
202201190715,211.0,1.3
202201190815,206.0,1.8
202201190915,209.0,2.2
202201191015,211.0,2.2
202201191115,211.0,1.8
202201191215,207.0,1.8
202201191315,,0.0
202201191415,128.0,0.4
202201191515,,0.0
202201191615,,0.0
202201191715,,0.0
202201191815,,0.0
202201192015,,0.0
202201192115,0.0,1.8
202201192215,8.0,5.4
202201192315,358.0,4.0
202201200015,5.0,4.9
202201200115,3.0,4.5
202201200215,357.0,3.6
202201200315,351.0,4.5
202201201715,11.0,4.5
202201201815,42.0,4.9
202201201915,5.0,4.5
202201202015,28.0,4.5
202201202115,38.0,4.5
202201202215,29.0,4.5
202201202315,24.0,4.0
202201210015,9.0,4.0
202201210115,16.0,3.6
202201210215,11.0,2.7
202201210315,13.0,2.2
202201210415,11.0,1.8
202201210515,11.0,2.2
202201210615,11.0,2.2
202201210715,5.0,0.9
202201210815,,0.0
202201210915,17.0,1.3
202201211015,30.0,1.3
202201211115,29.0,2.7
202201211215,37.0,2.7
202201211415,37.0,4.5
202201211515,46.0,4.5
202201211615,64.0,4.0
202201211715,60.0,4.5
202201211815,49.0,4.5
202201211915,51.0,2.7
202201212015,348.0,2.7
202201212115,25.0,3.6
202201212215,27.0,2.7
202201212315,24.0,2.7
202201220015,10.0,0.4
202201220115,19.0,2.2
202201220215,39.0,1.8
202201220315,,0.0
202201220415,,0.0
202201220515,,0.0
202201220715,,0.0
202201220815,,0.0
202201220915,,0.0
202201221415,,0.0
202201221515,,0.0
202201221615,,0.0
202201221715,333.0,1.8
202201221815,317.0,1.8
202201221915,301.0,2.2
202201222015,254.0,2.7
202201222115,241.0,2.2
202201222215,256.0,1.3
202201222315,244.0,1.3
202201230015,240.0,1.3
202201230115,235.0,1.3
202201230215,238.0,1.8
202201230315,228.0,1.3
202201230415,,0.0
202201230515,,0.0
202201230615,,0.0
202201230715,222.0,1.3
202201230815,208.0,0.4
202201230915,226.0,1.3
202201231015,225.0,2.2
202201231115,227.0,2.2
202201231215,223.0,2.7
202201231315,,0.0
202201231415,224.0,2.7
202201231515,223.0,2.7
202201231615,238.0,2.7
202201231715,244.0,3.6
202201231815,279.0,4.5
