timestamp string,wind direction,wind speed
202201010055,277.0,2.7
202201010155,280.0,3.1
202201010255,300.0,1.8
202201010355,296.0,1.8
202201010455,,0.0
202201010555,210.0,0.9
202201010655,,0.0
202201010755,159.0,0.4
202201010855,247.0,1.3
202201010955,27.0,0.9
202201011055,86.0,0.9
202201011155,219.0,1.3
202201011255,200.0,2.2
202201011355,37.0,2.2
202201011455,78.0,2.2
202201011555,94.0,2.2
202201011655,98.0,1.8
202201011755,82.0,1.8
202201011855,25.0,1.3
202201011955,13.0,0.9
202201012055,337.0,0.9
202201012155,268.0,1.3
202201012255,205.0,1.3
202201012355,199.0,0.9
202201020055,219.0,1.8
202201020155,254.0,3.1
202201020255,290.0,1.8
202201020355,321.0,1.3
202201020455,333.0,2.7
202201020555,20.0,2.2
202201020655,36.0,2.2
202201020755,23.0,2.7
202201020955,45.0,1.8
202201021055,31.0,3.1
202201021155,20.0,3.6
202201021255,31.0,2.2
202201021355,29.0,3.1
202201021455,26.0,2.2
202201021555,65.0,2.2
202201021655,57.0,2.7
202201021755,36.0,2.7
202201021855,33.0,3.1
202201021955,43.0,2.7
202201022055,52.0,2.2
202201022155,72.0,2.2
202201022255,74.0,2.7
202201022355,70.0,3.1
202201030055,79.0,3.6
202201030155,63.0,2.7
202201030255,66.0,3.6
202201030355,72.0,3.6
202201030455,64.0,4.5
202201030555,62.0,3.6
202201030655,73.0,3.1
202201030755,78.0,4.0
202201030855,65.0,3.6
202201030955,77.0,1.8
202201031155,92.0,1.8
202201031255,57.0,1.3
202201031355,50.0,1.3
202201031455,38.0,2.2
202201031555,39.0,2.2
202201031655,71.0,1.8
202201031755,42.0,1.8
202201031855,62.0,1.8
202201031955,3.0,0.9
202201032055,296.0,0.4
202201032155,60.0,0.4
202201032255,101.0,0.9
202201032355,255.0,1.8
202201040055,288.0,0.4
202201040155,266.0,1.3
202201040355,313.0,1.3
202201040455,,0.0
202201040555,242.0,1.3
202201040655,,0.0
202201040755,,0.0
202201040855,236.0,0.4
202201040955,226.0,0.9
202201041055,159.0,0.4
202201041155,239.0,1.3
202201041255,255.0,0.9
202201041355,243.0,1.3
202201041455,244.0,2.2
202201041755,246.0,3.1
202201041855,248.0,4.0
202201041955,253.0,3.6
202201042055,256.0,4.9
202201042155,252.0,3.6
202201042255,244.0,4.0
202201042355,249.0,4.0
202201050155,265.0,4.9
202201050355,275.0,5.4
202201050455,284.0,5.8
202201050555,289.0,4.0
202201050655,284.0,4.5
202201050755,280.0,4.0
202201050855,279.0,4.5
202201050955,279.0,4.0
202201051155,294.0,4.0
202201051255,296.0,4.0
202201051355,298.0,3.1
202201051455,316.0,2.7
202201051555,332.0,5.8
202201051655,2.0,3.1
202201051755,1.0,3.6
202201051855,346.0,3.6
202201052055,343.0,2.2
202201052155,328.0,3.6
202201052255,332.0,3.1
202201052355,357.0,1.3
202201060055,28.0,1.3
202201060155,50.0,1.8
202201060255,55.0,3.1
202201060355,43.0,2.7
202201060455,51.0,2.7
202201060555,59.0,1.3
