timestamp string,wind direction,wind speed
202201010010,169.0,0.9
202201010110,170.0,0.9
202201010210,185.0,0.4
202201010310,198.0,0.4
202201010410,,0.0
202201010610,206.0,1.3
202201010710,221.0,1.8
202201010810,217.0,2.7
202201010910,232.0,3.1
202201011010,234.0,2.7
202201011110,229.0,2.7
202201011210,216.0,1.3
202201011310,225.0,0.9
202201011410,209.0,1.8
202201011510,230.0,2.2
202201011610,220.0,3.1
202201011710,222.0,3.1
202201011810,225.0,3.6
202201011910,226.0,4.0
202201012010,228.0,4.9
202201012110,236.0,3.6
202201012210,226.0,3.6
202201012310,219.0,2.7
202201020110,226.0,4.9
202201020210,235.0,5.8
202201020310,230.0,4.9
202201020410,229.0,4.9
202201020510,232.0,4.5
202201020610,233.0,4.0
202201020710,231.0,4.0
202201020810,231.0,3.6
202201020910,273.0,1.3
202201021010,13.0,0.4
202201021110,103.0,0.4
202201021210,,0.0
202201021310,194.0,0.4
202201021410,,0.0
202201021510,221.0,0.4
202201021610,206.0,0.4
202201022010,168.0,0.9
202201022110,205.0,0.4
202201022210,,0.0
202201022310,64.0,1.3
202201030010,62.0,0.9
202201030110,65.0,1.3
202201030210,76.0,0.9
202201030310,59.0,2.2
202201030410,68.0,0.4
202201030610,327.0,1.8
202201030710,63.0,2.7
202201030810,43.0,1.8
202201030910,43.0,3.1
202201031010,45.0,2.7
202201031110,27.0,2.7
202201031210,31.0,3.1
202201031310,354.0,3.1
202201031410,61.0,1.3
202201031510,13.0,2.7
202201031610,21.0,2.7
202201031710,44.0,4.0
202201031810,43.0,2.7
202201031910,40.0,2.7
202201032010,34.0,3.1
202201032110,34.0,2.7
202201032210,20.0,2.7
202201032310,17.0,1.3
202201040010,30.0,2.2
202201040110,55.0,2.2
202201040210,328.0,0.9
202201040310,6.0,0.9
202201040410,312.0,0.9
202201040510,25.0,0.9
202201040610,25.0,1.3
202201040710,350.0,0.4
202201040810,,0.0
202201040910,,0.0
202201041010,,0.0
202201041110,,0.0
202201041210,256.0,0.4
202201041310,259.0,0.4
202201041410,248.0,1.3
202201041510,232.0,1.8
202201041610,197.0,1.3
202201041710,184.0,0.9
202201041810,242.0,1.3
202201041910,232.0,1.8
202201042010,244.0,2.2
202201042110,188.0,0.4
202201042310,,0.0
202201050010,265.0,0.9
202201050110,259.0,0.4
202201050210,250.0,0.9
202201050310,239.0,0.9
202201050410,231.0,1.8
202201050510,204.0,1.3
202201050610,218.0,1.3
202201050710,216.0,1.3
202201050910,237.0,0.9
202201051010,235.0,0.9
202201051110,188.0,0.9
202201051210,196.0,1.8
202201051310,199.0,2.2
202201051410,211.0,2.2
202201051510,228.0,2.7
202201051610,234.0,1.8
202201051710,246.0,2.7
202201051810,231.0,2.7
202201051910,220.0,2.2
202201052010,266.0,2.2
202201052110,251.0,1.8
202201052210,261.0,0.9
202201052310,,0.0
202201060010,,0.0
202201060110,,0.0
202201060210,,0.0
202201060310,,0.0
202201060410,,0.0
202201060510,270.0,0.4
202201060610,110.0,0.4
202201060710,79.0,0.4
202201060810,38.0,1.8
202201060910,25.0,0.9
202201061010,313.0,0.4
202201061110,47.0,1.3
202201061210,38.0,1.3
202201061310,43.0,1.3
202201061410,,0.0
202201061510,56.0,1.3
202201061610,235.0,1.3
202201061710,212.0,1.3
202201061810,220.0,1.3
202201061910,200.0,1.8
202201062010,236.0,1.8
202201062110,238.0,1.3
202201062310,213.0,1.3
202201070010,222.0,1.8
202201070110,231.0,1.8
202201070210,24.0,1.3
202201070310,56.0,1.3
202201070410,47.0,2.7
202201070510,21.0,1.8
202201070610,37.0,1.3
202201070710,40.0,1.3
202201070810,28.0,0.4
202201070910,27.0,1.3
202201071010,27.0,0.9
202201071110,36.0,0.9
202201071210,43.0,2.7
202201071310,81.0,0.9
202201071410,48.0,1.8
202201071510,51.0,0.9
202201071610,56.0,1.3
202201071710,59.0,1.8
202201071810,74.0,2.2
202201071910,48.0,2.2
202201072010,52.0,1.8
202201072110,34.0,0.9
202201072210,18.0,0.9
202201072310,20.0,0.4
202201080110,39.0,0.9
202201080210,63.0,0.4
202201080310,,0.0
202201080410,,0.0
202201080610,,0.0
202201080710,,0.0
202201080910,,0.0
202201081010,256.0,0.4
202201081110,271.0,0.4
202201081210,252.0,0.4
202201081310,,0.0
202201081510,241.0,1.3
202201081610,225.0,1.8
202201081710,222.0,1.8
202201081810,190.0,1.8
202201081910,230.0,2.2
202201082010,212.0,1.3
202201082110,223.0,1.3
202201082210,225.0,0.9
202201082310,215.0,0.9
202201090010,218.0,1.3
202201090110,268.0,0.4
202201090210,222.0,0.9
202201090310,221.0,0.4
202201090410,210.0,0.4
202201090510,217.0,0.9
202201090610,236.0,0.4
202201090710,207.0,0.9
202201090810,245.0,0.9
202201090910,219.0,1.3
202201091010,225.0,2.2
202201091110,226.0,2.7
202201091210,234.0,2.7
202201091310,231.0,2.7
202201091410,229.0,3.1
202201091610,237.0,3.1
202201091710,234.0,1.8
202201091810,236.0,1.3
202201091910,247.0,1.3
202201092010,224.0,2.7
202201092110,231.0,2.7
202201092210,218.0,1.3
202201092310,,0.0
202201100010,48.0,0.9
