timestamp string,wind direction,wind speed
202201010009,193.0,2.2
202201010109,212.0,2.7
202201010209,201.0,1.8
202201010309,182.0,1.8
202201010409,193.0,2.2
202201010509,205.0,2.2
202201010609,200.0,1.8
202201010709,202.0,1.3
202201010809,199.0,0.9
202201010909,227.0,0.9
202201011009,203.0,0.9
202201011109,183.0,1.3
202201011209,202.0,0.9
202201011309,245.0,0.9
202201011409,330.0,0.4
202201011509,,0.0
202201011609,33.0,0.4
202201011709,9.0,0.4
202201011809,339.0,0.9
202201011909,345.0,0.4
202201012009,132.0,1.3
202201012109,139.0,1.3
202201012309,162.0,1.8
202201020009,190.0,0.9
202201020109,273.0,0.9
202201020209,339.0,0.9
202201020309,348.0,0.4
202201020409,324.0,1.3
202201020509,358.0,0.9
202201020609,318.0,1.3
202201020709,322.0,0.9
202201020809,287.0,1.8
202201020909,332.0,1.3
202201021009,333.0,0.9
202201021109,326.0,1.8
202201021209,352.0,1.3
202201021309,336.0,1.3
202201021409,336.0,1.3
202201021509,2.0,1.3
202201021609,341.0,1.3
202201021709,329.0,1.3
202201021809,347.0,1.3
202201021909,350.0,0.9
202201022009,12.0,1.3
202201022109,22.0,1.3
202201022209,2.0,1.3
202201022309,7.0,1.8
202201030009,33.0,1.3
202201030109,10.0,1.3
202201030209,28.0,1.3
202201030309,5.0,1.3
202201030409,4.0,1.3
202201030509,356.0,1.3
202201030609,15.0,0.9
202201030709,7.0,1.3
202201030909,357.0,1.3
202201031009,3.0,0.9
202201031109,9.0,0.9
202201031209,23.0,0.4
202201031309,351.0,0.4
202201031509,311.0,0.9
202201031609,39.0,0.9
202201031709,331.0,1.3
202201031809,284.0,0.9
202201031909,291.0,1.3
202201032009,229.0,1.3
202201032109,266.0,1.3
202201032209,256.0,0.9
202201032309,250.0,0.9
202201040009,251.0,0.4
202201040109,218.0,0.4
202201040209,,0.0
202201040309,,0.0
202201040409,,0.0
202201040509,,0.0
202201040609,151.0,0.4
202201040709,167.0,0.9
202201040809,173.0,0.9
202201040909,159.0,0.9
202201041009,156.0,0.9
202201041109,157.0,0.9
202201041209,147.0,0.9
202201041309,145.0,1.3
202201041409,166.0,1.3
202201041509,168.0,1.8
202201041609,178.0,2.2
202201041709,155.0,2.2
202201041809,141.0,2.2
202201041909,172.0,1.8
202201042009,158.0,2.7
202201042109,174.0,2.2
202201042209,165.0,2.7
202201042309,160.0,1.8
202201050009,164.0,2.7
202201050109,171.0,3.6
202201050209,180.0,3.1
202201050309,183.0,3.1
202201050409,189.0,2.7
202201050509,202.0,3.6
202201050609,197.0,3.6
202201050709,207.0,3.1
202201050809,187.0,3.1
202201050909,198.0,2.7
202201051109,188.0,2.2
202201051209,201.0,2.7
202201051309,225.0,2.7
202201051409,251.0,3.1
202201051509,260.0,3.1
202201051609,280.0,3.1
202201051709,238.0,2.7
202201051809,269.0,2.7
202201051909,255.0,3.1
202201052009,247.0,2.7
202201052109,266.0,4.9
202201052209,279.0,2.2
202201052309,281.0,3.6
202201060009,297.0,2.2
202201060109,305.0,2.2
202201060209,283.0,2.2
202201060309,315.0,2.2
202201060409,316.0,2.2
202201060509,289.0,2.7
202201060609,309.0,1.3
202201060709,307.0,1.8
202201060809,289.0,1.3
202201060909,317.0,1.8
202201061009,289.0,1.8
202201061109,259.0,1.3
202201061209,305.0,0.9
202201061309,271.0,0.9
202201061409,263.0,0.9
202201061509,280.0,1.3
202201061609,224.0,1.3
202201061709,297.0,1.3
202201061909,324.0,1.8
202201062009,316.0,1.8
202201062109,291.0,2.2
202201062209,296.0,1.8
202201062309,310.0,1.8
202201070109,303.0,1.8
202201070209,299.0,1.3
202201070309,295.0,1.8
202201070409,278.0,2.2
202201070509,275.0,2.2
202201070609,298.0,1.8
202201070709,309.0,1.8
202201070809,311.0,1.8
202201070909,304.0,1.3
202201071209,302.0,0.9
202201071309,289.0,0.9
202201071409,245.0,0.9
202201071509,288.0,1.3
202201071609,276.0,1.8
202201071709,287.0,1.3
202201071809,172.0,1.8
202201071909,277.0,1.3
202201072009,257.0,1.3
202201072109,354.0,0.9
202201072209,89.0,0.4
202201072309,55.0,0.4
202201080009,135.0,0.4
202201080109,119.0,0.4
202201080209,137.0,0.9
202201080309,133.0,1.3
202201080409,115.0,1.3
202201080509,143.0,1.3
202201080609,154.0,1.3
202201080709,119.0,0.9
202201080809,132.0,0.9
202201080909,115.0,1.3
202201081009,140.0,1.3
202201081109,142.0,1.8
202201081209,126.0,1.8
202201081309,147.0,1.3
202201081409,135.0,2.2
202201081509,143.0,2.2
202201081609,138.0,2.2
202201081709,141.0,1.8
202201081809,179.0,2.2
202201081909,181.0,1.8
202201082009,169.0,2.2
202201082109,156.0,1.8
202201082209,156.0,1.3
202201082309,185.0,1.3
202201090009,173.0,2.2
202201090109,157.0,2.2
202201090209,147.0,2.2
202201090309,176.0,2.2
202201090409,176.0,2.7
202201090509,182.0,2.2
202201090609,185.0,2.7
202201090709,174.0,3.1
202201090809,185.0,2.2
202201090909,257.0,1.8
202201091109,189.0,1.3
202201091209,208.0,0.9
202201091309,268.0,0.9
202201091409,308.0,1.8
202201091509,311.0,1.8
202201091609,337.0,1.8
202201091709,333.0,2.2
202201091909,340.0,1.8
202201092009,345.0,1.3
202201092109,344.0,1.8
202201092209,326.0,1.3
202201092309,324.0,1.8
202201100009,330.0,0.9
202201100109,322.0,1.3
202201100209,301.0,1.3
202201100309,309.0,1.8
202201100409,325.0,1.3
202201100509,309.0,0.9
202201100609,293.0,1.3
202201100709,317.0,1.3
202201100809,303.0,1.3
202201100909,324.0,0.9
202201101109,303.0,1.3
202201101209,266.0,0.4
202201101309,210.0,0.4
202201101409,304.0,0.9
202201101509,192.0,0.9
202201101609,168.0,1.3
202201101709,226.0,1.8
202201101809,275.0,1.8
202201101909,258.0,2.7
202201102009,280.0,2.7
202201102109,296.0,2.7
202201102209,309.0,1.8
202201102309,308.0,1.3
202201110009,305.0,1.3
202201110109,312.0,1.8
202201110209,321.0,1.3
202201110309,318.0,1.3
202201110409,322.0,1.3
202201110509,355.0,0.4
202201110609,13.0,1.3
202201110709,4.0,0.9
202201110809,,0.0
202201110909,,0.0
202201111009,11.0,0.4
202201111109,144.0,0.4
202201111309,137.0,0.4
202201111409,145.0,1.3
202201111509,162.0,1.3
202201111609,146.0,2.2
202201111709,174.0,2.2
202201111809,181.0,2.2
202201112009,159.0,2.2
202201112109,195.0,2.2
202201112209,177.0,2.7
202201112309,171.0,2.7
202201120009,166.0,2.7
202201120109,173.0,3.1
202201120209,183.0,2.7
202201120309,188.0,2.2
202201120409,190.0,1.8
202201120509,192.0,2.2
202201120609,202.0,2.2
202201120709,200.0,2.2
202201120809,204.0,2.2
202201120909,207.0,2.2
202201121009,211.0,1.3
202201121109,209.0,1.8
202201121209,208.0,1.3
202201121309,205.0,1.3
202201121409,177.0,1.3
202201121509,196.0,1.8
202201121609,196.0,1.3
202201121709,213.0,1.8
202201121809,206.0,1.8
202201121909,226.0,1.3
202201122009,239.0,1.8
202201122109,183.0,2.2
202201122209,197.0,1.3
202201122309,197.0,1.8
202201130009,189.0,1.8
202201130209,,0.0
202201130309,173.0,0.9
202201130409,188.0,0.9
202201130509,173.0,1.3
202201130609,187.0,0.9
202201130709,157.0,0.9
202201130809,168.0,0.9
202201130909,188.0,0.9
202201131009,183.0,0.4
202201131109,185.0,0.9
202201131209,194.0,0.4
202201131309,164.0,0.4
202201131409,212.0,0.4
202201131509,243.0,0.9
202201131609,276.0,1.8
202201131709,261.0,1.8
202201131809,301.0,1.8
202201131909,312.0,1.8
202201132109,304.0,1.8
202201132209,306.0,1.3
202201132309,350.0,0.9
202201140009,322.0,0.4
202201140109,347.0,0.4
202201140209,338.0,0.4
202201140309,351.0,0.9
202201140409,1.0,0.9
202201140509,4.0,0.9
202201140609,352.0,0.9
202201140709,4.0,0.9
202201140809,10.0,0.9
202201141009,32.0,0.9
202201141109,10.0,0.4
202201141209,79.0,0.9
202201141309,347.0,0.4
202201141409,43.0,0.4
202201141509,84.0,0.9
202201141609,352.0,0.9
202201141709,147.0,1.3
202201141909,38.0,0.9
202201142009,58.0,0.9
202201142109,48.0,0.9
202201142209,75.0,1.3
202201142309,91.0,1.3
202201150009,96.0,0.9
202201150109,83.0,1.3
202201150209,104.0,0.9
202201150309,46.0,0.4
202201150409,64.0,0.9
202201150509,79.0,1.8
202201150609,95.0,1.3
202201150709,93.0,1.3
202201150809,70.0,1.3
202201150909,46.0,0.9
202201151009,35.0,0.9
202201151109,44.0,1.3
202201151209,51.0,0.9
202201151309,53.0,1.3
202201151409,48.0,1.3
202201151609,52.0,1.8
202201151709,71.0,1.8
202201151809,61.0,1.3
202201151909,39.0,2.2
202201152009,74.0,1.8
202201152109,33.0,1.3
202201152209,69.0,0.9
202201152309,48.0,0.9
202201160009,47.0,1.3
202201160109,31.0,0.9
202201160209,52.0,0.9
202201160309,51.0,1.3
202201160409,47.0,1.3
202201160509,30.0,1.3
202201160609,54.0,0.9
202201160709,33.0,0.9
202201160809,27.0,0.9
202201160909,20.0,0.9
202201161009,16.0,0.9
202201161109,23.0,1.3
202201161209,17.0,0.9
202201161309,39.0,0.9
202201161409,20.0,0.9
202201161509,30.0,1.3
202201161609,348.0,0.9
202201161709,9.0,1.3
202201161809,333.0,1.3
202201161909,349.0,1.3
202201162009,13.0,0.9
202201162109,15.0,1.3
202201162209,340.0,1.3
202201162309,328.0,1.3
202201170009,344.0,1.3
202201170109,332.0,0.9
202201170209,332.0,1.3
202201170309,323.0,1.3
202201170409,322.0,1.3
202201170509,310.0,2.2
202201170609,318.0,1.3
202201170709,318.0,2.2
202201170809,307.0,1.8
202201170909,296.0,1.3
202201171009,296.0,2.7
202201171109,301.0,1.8
202201171209,293.0,1.8
202201171509,300.0,1.8
202201171609,296.0,1.8
202201171709,289.0,2.2
202201171809,286.0,1.8
202201171909,294.0,2.7
202201172009,292.0,1.8
202201172109,285.0,2.2
202201172309,311.0,1.3
202201180009,290.0,2.7
202201180109,305.0,2.2
202201180209,287.0,1.3
202201180309,251.0,0.9
202201180409,256.0,0.9
202201180509,281.0,0.9
202201180609,168.0,0.4
202201180709,194.0,0.4
202201180809,,0.0
202201180909,124.0,0.4
202201181009,,0.0
202201181209,177.0,0.4
202201181309,180.0,0.9
202201181409,178.0,0.9
202201181509,176.0,1.3
202201181609,164.0,1.8
202201181709,174.0,1.8
202201181809,167.0,1.8
202201181909,163.0,2.7
202201182009,170.0,3.1
202201182109,177.0,2.2
202201182209,165.0,2.7
202201182309,172.0,2.7
202201190009,158.0,3.1
202201190109,169.0,3.1
202201190209,185.0,2.7
202201190309,182.0,2.7
202201190409,188.0,2.2
202201190509,194.0,2.2
202201190609,194.0,2.7
202201190709,203.0,2.2
202201190809,195.0,2.7
202201190909,204.0,2.7
202201191009,219.0,1.8
202201191109,213.0,1.3
202201191209,212.0,1.3
202201191309,222.0,1.8
202201191409,253.0,1.3
202201191509,271.0,1.8
202201191609,282.0,2.2
202201191709,289.0,1.8
202201191809,295.0,1.8
202201191909,300.0,2.2
202201192009,330.0,1.8
202201192109,318.0,1.8
202201192209,335.0,1.8
