timestamp string,wind direction,wind speed
202201010005,244.0,1.3
202201010105,225.0,1.8
202201010205,232.0,1.8
202201010305,230.0,2.2
202201010405,227.0,2.2
202201010505,220.0,2.7
202201010605,225.0,2.7
202201010705,237.0,2.7
202201010805,226.0,2.7
202201010905,227.0,3.6
202201011005,223.0,3.6
202201011105,234.0,3.6
202201011205,230.0,2.7
202201011405,233.0,2.7
202201011505,230.0,3.6
202201011605,229.0,3.6
202201011705,233.0,4.5
202201011805,229.0,3.6
202201011905,222.0,3.6
202201012005,234.0,3.1
202201012105,226.0,4.0
202201012205,227.0,4.0
202201012305,230.0,3.6
202201020105,219.0,3.1
202201020205,216.0,3.6
202201020305,226.0,4.9
202201020405,223.0,3.6
202201020605,231.0,4.9
202201020705,228.0,4.0
202201020805,224.0,4.0
202201020905,316.0,2.2
202201021005,315.0,3.1
202201021105,311.0,2.2
202201021205,312.0,1.8
202201021305,322.0,1.3
202201021405,333.0,1.3
202201021505,214.0,0.9
202201021605,125.0,0.9
202201021705,187.0,1.8
202201021805,180.0,1.8
202201021905,161.0,1.3
202201022005,241.0,0.9
202201022105,310.0,0.4
202201022305,42.0,1.3
202201030005,118.0,1.8
202201030105,336.0,1.3
202201030205,128.0,2.7
202201030305,133.0,3.6
202201030405,169.0,1.8
202201030505,100.0,4.0
202201030605,359.0,1.3
202201030705,342.0,2.2
202201030805,353.0,4.0
202201030905,340.0,4.5
202201031005,330.0,4.0
202201031105,324.0,4.0
202201031205,324.0,3.6
202201031305,327.0,4.0
202201031405,328.0,2.7
202201031505,335.0,2.2
202201031605,336.0,2.2
202201031705,335.0,1.8
202201031805,330.0,1.3
202201031905,321.0,0.9
202201032005,342.0,1.8
202201032105,329.0,1.8
202201032305,338.0,1.8
202201040005,349.0,2.2
202201040105,349.0,2.2
202201040205,21.0,1.3
202201040305,,2.7
202201040405,328.0,1.3
202201040505,159.0,1.3
202201040605,95.0,0.9
202201040705,,0.0
202201040805,196.0,1.3
202201041005,196.0,1.8
202201041105,188.0,1.8
202201041205,190.0,1.8
202201041305,187.0,1.8
202201041405,187.0,1.8
202201041505,185.0,2.7
202201041605,181.0,2.2
202201041705,196.0,2.2
202201041805,188.0,2.2
202201041905,193.0,2.7
202201042005,178.0,2.7
202201042105,197.0,2.7
202201042205,186.0,2.7
202201042305,186.0,3.1
202201050005,175.0,3.1
202201050105,191.0,3.1
202201050205,190.0,2.7
202201050305,194.0,3.1
202201050405,197.0,2.7
202201050505,196.0,2.7
202201050605,205.0,2.7
202201050705,211.0,2.7
202201050805,206.0,2.7
202201050905,196.0,1.3
202201051005,221.0,2.2
202201051105,191.0,1.3
202201051205,214.0,0.9
202201051305,211.0,1.3
202201051405,63.0,1.3
202201051505,309.0,0.9
202201051605,328.0,1.3
202201051705,329.0,1.8
202201051805,329.0,1.3
202201051905,313.0,1.8
202201052005,284.0,1.3
202201052105,313.0,2.2
202201052205,316.0,1.8
202201060005,330.0,2.2
202201060105,337.0,2.7
202201060205,329.0,2.2
202201060305,330.0,2.7
202201060405,333.0,2.7
202201060505,334.0,2.2
202201060605,341.0,3.1
202201060705,332.0,3.1
202201060805,331.0,3.1
202201060905,326.0,2.7
202201061005,340.0,2.2
202201061105,339.0,2.2
202201061205,357.0,2.2
202201061305,74.0,2.7
202201061405,189.0,1.8
202201061505,192.0,1.8
202201061605,212.0,2.7
202201061705,220.0,2.2
202201061805,216.0,1.8
202201061905,209.0,2.2
202201062005,198.0,2.2
202201062105,195.0,2.7
202201062205,205.0,3.1
202201062305,218.0,2.7
202201070005,234.0,3.1
202201070105,271.0,2.2
202201070205,317.0,2.7
202201070305,322.0,4.5
202201070405,320.0,3.6
202201070505,312.0,2.7
202201070605,315.0,2.7
202201070705,315.0,3.1
202201070905,316.0,2.2
202201071005,327.0,2.2
202201071105,321.0,2.2
202201071205,317.0,1.8
202201071305,329.0,2.2
202201071405,324.0,1.8
202201071505,322.0,1.8
202201071605,315.0,1.8
202201071805,315.0,1.3
202201071905,298.0,1.3
202201072005,312.0,1.3
202201072105,297.0,0.9
202201072205,345.0,1.3
202201072305,345.0,1.8
202201080005,337.0,1.8
202201080105,339.0,1.8
202201080205,308.0,0.9
202201080305,182.0,1.3
202201080405,183.0,1.8
202201080505,185.0,2.7
202201080705,185.0,2.7
202201080805,191.0,2.7
202201080905,193.0,2.2
202201081005,186.0,1.3
202201081105,186.0,2.7
202201081205,190.0,1.8
202201081305,191.0,1.8
202201081405,196.0,1.3
202201081505,197.0,2.2
202201081605,197.0,2.7
202201081705,203.0,2.7
202201081805,204.0,1.8
202201081905,213.0,2.2
202201082005,212.0,1.8
202201082105,194.0,2.2
202201082205,195.0,2.2
202201082305,197.0,3.1
202201090005,204.0,3.1
202201090105,195.0,2.7
202201090205,197.0,2.7
202201090305,207.0,3.6
202201090405,186.0,4.0
202201090505,196.0,3.1
202201090605,202.0,3.1
202201090705,207.0,3.6
202201090805,204.0,3.1
202201090905,199.0,3.1
202201091005,208.0,3.1
202201091105,203.0,3.1
202201091305,196.0,2.2
202201091405,202.0,1.8
202201091505,208.0,2.2
202201091605,219.0,4.0
202201091705,218.0,4.0
202201091805,218.0,4.0
202201091905,217.0,4.0
202201092005,222.0,3.1
202201092105,226.0,3.6
202201092205,259.0,0.9
202201092305,317.0,1.3
202201100005,322.0,1.3
202201100105,347.0,1.8
202201100205,320.0,2.2
202201100305,327.0,2.7
202201100405,329.0,2.7
202201100505,330.0,2.7
202201100605,326.0,2.2
202201100705,328.0,3.1
202201100805,326.0,2.2
202201100905,318.0,2.2
202201101005,318.0,2.2
202201101105,329.0,3.6
202201101205,341.0,3.1
202201101305,337.0,3.1
202201101405,343.0,3.6
202201101505,347.0,3.1
202201101605,339.0,3.6
202201101705,331.0,2.7
202201101805,320.0,2.2
202201101905,315.0,2.2
202201102005,320.0,3.1
202201102105,314.0,2.2
202201102205,311.0,2.2
202201102305,315.0,2.7
202201110005,315.0,3.1
202201110105,322.0,3.6
202201110205,320.0,3.6
202201110305,319.0,3.1
202201110405,327.0,3.6
202201110505,324.0,3.6
202201110605,317.0,3.1
202201110705,324.0,3.1
202201110805,325.0,3.1
202201110905,329.0,2.7
202201111005,346.0,3.1
202201111105,330.0,2.7
202201111205,351.0,2.2
202201111305,153.0,0.4
202201111405,101.0,3.1
202201111505,190.0,2.2
202201111705,206.0,2.2
202201111805,215.0,1.8
202201111905,293.0,1.3
202201112005,311.0,1.3
202201112105,312.0,0.9
202201112205,197.0,1.8
202201112305,188.0,1.8
202201120005,185.0,1.8
202201120105,185.0,1.8
202201120205,233.0,0.4
202201120305,194.0,0.9
202201120405,197.0,0.9
202201120605,207.0,0.9
202201120705,229.0,0.4
202201120805,33.0,1.3
202201120905,356.0,2.2
202201121005,22.0,0.9
202201121105,4.0,1.3
202201121205,345.0,1.8
202201121305,340.0,1.8
202201121405,342.0,1.3
202201121505,338.0,1.3
202201121605,345.0,1.3
202201121705,350.0,1.3
202201121805,317.0,1.3
202201121905,291.0,1.3
202201122005,334.0,0.9
202201122105,316.0,0.9
202201122205,279.0,0.9
202201122305,202.0,0.9
202201130005,243.0,0.4
202201130105,325.0,0.9
202201130205,3.0,1.3
202201130305,7.0,1.3
202201130405,5.0,1.8
202201130505,354.0,1.8
202201130605,358.0,2.2
202201130705,356.0,1.8
202201130805,335.0,0.9
202201130905,344.0,1.3
202201131005,336.0,1.3
202201131105,329.0,1.3
202201131205,349.0,1.8
202201131305,351.0,1.8
202201131405,330.0,0.9
202201131505,325.0,1.3
202201131605,341.0,1.3
202201131705,300.0,1.3
202201131805,280.0,0.9
202201131905,263.0,2.2
202201132105,302.0,1.3
202201132205,318.0,1.3
202201132305,306.0,1.3
202201140005,315.0,2.2
202201140105,322.0,2.7
202201140205,324.0,3.1
202201140305,322.0,3.1
202201140405,321.0,3.1
202201140505,325.0,3.1
202201140605,314.0,2.7
202201140705,329.0,2.7
202201140805,330.0,2.7
202201140905,318.0,2.2
202201141005,356.0,2.7
202201141105,333.0,2.2
202201141205,338.0,2.2
202201141305,343.0,2.2
202201141405,333.0,1.8
202201141505,329.0,1.3
202201141605,321.0,1.8
202201141705,295.0,1.3
202201141805,295.0,1.3
202201141905,314.0,1.3
202201142005,304.0,1.3
202201142105,316.0,1.3
202201142205,342.0,1.3
202201142305,352.0,1.3
202201150005,12.0,0.9
202201150105,177.0,0.9
202201150205,144.0,0.9
202201150305,155.0,0.9
202201150405,183.0,1.3
202201150605,204.0,1.8
202201150705,197.0,1.8
202201150805,201.0,1.8
202201150905,191.0,2.2
202201151005,170.0,2.2
202201151105,180.0,2.2
202201151205,191.0,2.2
202201151305,176.0,2.7
202201151405,178.0,2.7
202201151505,177.0,2.2
202201151605,189.0,2.2
202201151705,182.0,1.8
202201151905,179.0,1.8
202201152005,181.0,1.3
202201152105,173.0,1.8
202201152205,180.0,1.8
202201152305,171.0,1.8
202201160005,143.0,3.1
202201160105,153.0,2.7
202201160305,168.0,2.7
202201160405,184.0,3.1
202201160505,157.0,4.0
