timestamp string,wind direction,wind speed
202201010003,188.0,1.3
202201010103,179.0,0.9
202201010203,,0.0
202201010303,178.0,1.3
202201010403,185.0,1.3
202201010503,190.0,0.9
202201010603,192.0,1.3
202201010703,198.0,1.3
202201010803,202.0,2.2
202201010903,206.0,2.2
202201011003,201.0,2.2
202201011103,207.0,2.2
202201011203,209.0,2.7
202201011303,205.0,2.2
202201011403,205.0,2.7
202201011503,207.0,2.7
202201011603,199.0,3.1
202201011703,198.0,4.0
202201011803,205.0,4.5
202201011903,209.0,3.6
202201012003,219.0,5.4
202201012103,208.0,5.8
202201012203,200.0,3.6
202201012303,194.0,2.2
202201020003,193.0,3.1
202201020103,198.0,3.1
202201020203,193.0,4.0
202201020303,195.0,3.6
202201020403,199.0,4.0
202201020503,205.0,4.0
202201020603,209.0,4.5
202201020703,211.0,3.1
202201020803,210.0,4.0
202201020903,211.0,2.7
202201021103,207.0,3.1
202201021203,204.0,3.1
202201021303,197.0,2.2
202201021403,334.0,5.4
202201021503,342.0,0.9
202201021603,14.0,0.4
202201021703,348.0,0.9
202201021803,21.0,0.9
202201021903,338.0,1.3
202201022003,18.0,1.8
202201022103,108.0,0.4
202201022203,337.0,1.3
202201022303,77.0,0.9
202201030003,139.0,1.3
202201030103,112.0,0.9
202201030203,101.0,1.3
202201030303,104.0,1.8
202201030403,130.0,2.2
202201030603,205.0,2.7
202201030803,259.0,6.7
202201030903,265.0,5.8
202201031003,270.0,5.8
202201031103,287.0,4.9
202201031203,286.0,3.6
202201031303,295.0,4.5
202201031403,289.0,3.6
202201031503,297.0,3.6
202201031603,314.0,5.4
202201031703,313.0,3.6
202201031803,314.0,3.6
202201031903,324.0,3.1
202201032003,313.0,3.6
202201032103,295.0,2.7
202201032203,297.0,2.7
202201032303,294.0,1.8
202201040003,316.0,1.8
202201040203,307.0,0.9
202201040303,315.0,1.8
202201040403,339.0,1.3
202201040503,347.0,0.4
202201040603,,0.0
202201040703,,0.0
202201040803,297.0,0.4
202201040903,330.0,1.3
202201041003,337.0,0.9
202201041103,341.0,0.4
202201041203,,0.0
202201041303,57.0,0.4
202201041403,98.0,1.3
202201041503,83.0,1.8
202201041603,68.0,1.8
202201041703,75.0,1.3
202201041803,88.0,1.8
202201041903,121.0,2.2
202201042003,115.0,2.2
202201042103,118.0,1.8
202201042203,92.0,1.3
202201042303,86.0,0.4
202201050003,96.0,0.4
202201050103,63.0,0.4
202201050203,72.0,0.4
202201050303,76.0,0.9
202201050403,73.0,0.4
202201050503,,0.0
202201050603,110.0,0.4
202201050703,69.0,0.4
202201050803,70.0,0.9
202201050903,299.0,0.4
202201051003,338.0,0.4
202201051103,,0.0
202201051203,324.0,0.4
202201051303,,0.0
202201051403,188.0,0.9
202201051503,220.0,0.9
202201051603,252.0,2.2
202201051703,255.0,3.1
202201051803,250.0,2.7
202201051903,254.0,2.7
202201052003,264.0,2.7
202201052103,281.0,2.7
202201052203,297.0,1.8
202201052303,307.0,0.4
202201060003,,0.0
202201060103,,0.0
202201060203,,0.0
202201060303,,0.0
202201060403,,0.0
202201060503,,0.0
202201060603,304.0,0.4
202201060703,,0.0
202201060803,,0.0
202201061003,307.0,1.8
202201061103,104.0,0.4
202201061203,,0.0
202201061303,,0.0
202201061403,108.0,0.4
202201061603,140.0,1.8
202201061703,189.0,2.7
202201061803,192.0,3.1
202201061903,185.0,3.6
202201062003,202.0,4.0
202201062103,187.0,3.1
202201062203,190.0,2.7
202201062303,194.0,2.7
202201070003,198.0,2.7
202201070103,297.0,1.8
202201070203,247.0,0.9
202201070303,299.0,2.7
202201070403,317.0,4.5
202201070503,305.0,4.5
202201070603,290.0,2.2
202201070703,306.0,2.7
202201070803,304.0,2.2
202201070903,301.0,2.7
202201071003,310.0,2.2
202201071103,299.0,1.8
202201071203,306.0,1.8
202201071303,308.0,1.8
202201071403,295.0,2.2
202201071503,269.0,1.8
202201071603,335.0,2.7
202201071703,332.0,2.2
202201071803,344.0,2.7
202201071903,319.0,2.7
202201072003,340.0,2.7
202201072103,345.0,1.3
202201072203,308.0,1.3
202201072303,256.0,0.4
202201080003,,0.0
202201080103,,0.0
202201080203,301.0,0.4
202201080303,329.0,0.4
202201080403,,0.0
202201080503,,0.0
202201080603,,0.0
202201080703,352.0,0.4
202201080803,357.0,0.4
202201080903,357.0,1.3
202201081003,359.0,1.3
202201081103,24.0,1.3
202201081203,48.0,1.3
202201081303,73.0,0.9
202201081403,75.0,1.8
202201081503,73.0,2.2
202201081603,78.0,1.8
202201081703,113.0,2.2
202201081803,85.0,1.8
202201081903,85.0,1.8
202201082003,123.0,2.2
202201082103,110.0,2.7
202201082203,102.0,1.8
202201082303,60.0,0.9
202201090103,88.0,0.9
202201090203,113.0,1.8
202201090303,102.0,1.8
202201090403,87.0,1.3
202201090503,75.0,1.3
202201090603,63.0,1.3
202201090703,85.0,1.3
202201090803,65.0,0.4
202201090903,47.0,0.9
202201091003,79.0,0.4
202201091103,15.0,0.4
202201091203,349.0,0.4
202201091303,41.0,0.4
202201091403,86.0,0.9
202201091503,35.0,0.9
202201091603,148.0,1.3
202201091703,188.0,1.3
202201091803,173.0,1.8
202201091903,195.0,2.7
202201092003,205.0,3.6
202201092103,209.0,3.1
202201092203,187.0,1.8
202201092303,193.0,2.2
202201100003,254.0,1.8
202201100103,225.0,1.3
202201100203,169.0,0.4
202201100303,180.0,1.8
202201100403,218.0,1.3
202201100503,272.0,0.9
202201100603,250.0,0.9
202201100703,284.0,0.4
202201100803,314.0,2.2
202201100903,325.0,1.8
202201101003,308.0,2.2
202201101103,316.0,2.7
202201101203,304.0,1.8
202201101303,312.0,2.2
202201101403,324.0,3.1
202201101503,324.0,2.2
202201101603,330.0,1.8
202201101703,332.0,1.8
202201101803,322.0,2.2
202201102003,295.0,1.8
202201102103,315.0,2.2
202201102203,302.0,1.8
202201102303,297.0,0.9
202201110003,310.0,1.8
202201110103,302.0,1.8
202201110203,309.0,1.8
202201110303,309.0,1.8
202201110403,314.0,2.2
202201110503,322.0,1.8
202201110603,313.0,1.3
202201110703,307.0,2.7
202201110803,332.0,0.9
202201110903,318.0,0.9
202201111003,326.0,1.3
202201111103,320.0,1.3
202201111203,325.0,0.9
202201111303,348.0,0.4
202201111403,2.0,1.8
202201111603,70.0,2.2
202201111703,116.0,2.7
202201111803,82.0,2.2
202201111903,90.0,1.3
202201112003,131.0,0.9
202201112103,80.0,1.3
202201112203,91.0,0.9
202201112303,88.0,0.4
202201120003,,0.0
202201120103,41.0,0.9
202201120203,,0.0
202201120303,,0.0
202201120403,,0.0
202201120503,25.0,0.4
202201120603,,0.0
202201120703,36.0,0.9
202201121003,,0.0
202201121103,297.0,0.4
202201121203,1.0,0.4
202201121303,,0.0
202201121403,,0.0
202201121503,63.0,0.4
202201121603,180.0,0.9
202201121803,177.0,0.9
202201121903,311.0,0.9
202201122003,237.0,1.3
202201122103,297.0,0.4
202201122203,,0.0
202201122303,28.0,0.4
202201130003,,0.0
202201130103,,0.0
202201130203,,0.0
202201130303,,0.0
202201130403,,0.0
202201130503,331.0,0.4
202201130603,294.0,0.4
202201130703,289.0,0.4
202201130803,304.0,0.4
202201130903,,0.0
202201131003,,0.0
202201131103,342.0,0.4
202201131203,330.0,0.9
202201131303,,0.0
202201131403,,0.0
202201131503,,0.0
202201131603,246.0,1.8
202201131703,283.0,2.2
202201131803,240.0,3.1
202201131903,239.0,2.7
202201132003,230.0,1.8
202201132103,242.0,2.2
202201132203,234.0,0.4
202201132303,265.0,0.4
202201140003,274.0,0.9
202201140103,286.0,1.3
202201140203,295.0,2.7
202201140303,309.0,2.2
202201140503,306.0,2.2
202201140603,302.0,2.2
202201140703,301.0,2.2
202201140803,303.0,1.8
202201140903,285.0,1.3
202201141103,306.0,1.8
202201141203,312.0,2.2
202201141303,314.0,1.3
202201141403,331.0,2.2
202201141503,319.0,2.7
202201141603,351.0,1.8
202201141703,282.0,1.3
202201141803,337.0,0.9
202201141903,356.0,1.3
202201142003,283.0,1.8
202201142103,260.0,1.3
202201142203,308.0,0.9
202201142303,327.0,0.4
202201150003,277.0,0.4
202201150103,,0.0
202201150203,,0.0
202201150303,,0.0
202201150403,316.0,0.4
202201150503,,0.0
202201150603,,0.0
202201150703,325.0,0.4
202201150803,,0.0
202201150903,,0.0
202201151003,,0.0
202201151103,,0.0
202201151203,,0.0
202201151303,,0.0
202201151403,71.0,0.4
202201151503,100.0,0.9
202201151603,91.0,1.8
202201151703,80.0,1.3
202201151803,64.0,1.3
202201151903,57.0,1.8
202201152003,59.0,1.3
202201152103,62.0,1.8
202201152203,72.0,1.3
202201152303,51.0,2.2
202201160003,63.0,1.8
202201160103,61.0,2.2
202201160203,79.0,1.8
202201160303,67.0,1.3
202201160403,59.0,2.2
202201160603,78.0,2.2
202201160703,90.0,2.2
202201160803,72.0,3.1
202201160903,77.0,3.6
202201161003,79.0,3.1
202201161103,70.0,3.1
202201161203,66.0,3.1
202201161303,81.0,3.6
202201161403,85.0,3.1
202201161503,173.0,2.2
202201161603,40.0,1.3
202201161703,105.0,1.3
202201161803,219.0,5.4
202201161903,225.0,4.5
202201162003,234.0,3.1
202201162103,248.0,2.7
202201162203,246.0,2.2
202201162303,231.0,2.7
202201170003,239.0,2.2
202201170103,236.0,2.2
202201170203,240.0,2.2
202201170303,249.0,2.2
202201170403,248.0,2.7
202201170503,264.0,3.6
202201170603,262.0,3.1
202201170703,275.0,3.6
202201170803,285.0,2.7
202201170903,291.0,2.7
202201171003,273.0,2.7
202201171103,285.0,3.1
202201171203,278.0,2.2
202201171303,267.0,3.1
202201171403,268.0,2.7
202201171503,280.0,4.5
202201171603,296.0,4.0
202201171703,279.0,4.5
