timestamp string,wind direction,wind speed
202201010009,202.0,3.6
202201010109,192.0,4.0
202201010209,200.0,4.0
202201010309,215.0,3.1
202201010409,205.0,3.6
202201010509,214.0,2.7
202201010609,227.0,1.8
202201010809,118.0,0.4
202201010909,,0.0
202201011009,83.0,1.3
202201011109,203.0,0.4
202201011209,322.0,3.1
202201011309,86.0,1.8
202201011409,183.0,1.3
202201011609,119.0,2.2
202201011709,123.0,2.2
202201011809,185.0,3.6
202201011909,189.0,5.4
202201012009,298.0,5.8
202201012109,322.0,2.2
202201012209,15.0,2.7
202201012309,320.0,0.4
202201020009,125.0,1.3
202201020109,192.0,1.8
202201020209,132.0,2.2
202201020309,191.0,0.9
202201020409,140.0,3.1
202201020509,160.0,4.5
202201020609,194.0,2.7
202201020809,225.0,2.7
202201020909,245.0,2.7
202201021009,220.0,2.7
202201021109,237.0,3.6
202201021209,241.0,3.1
202201021309,286.0,5.4
202201021409,281.0,3.1
202201021509,270.0,3.6
202201021609,277.0,3.6
202201021709,331.0,3.6
202201021809,308.0,3.1
202201021909,323.0,2.7
202201022109,324.0,2.7
202201022309,37.0,2.2
202201030009,37.0,2.2
202201030109,33.0,2.7
202201030209,18.0,2.7
202201030309,43.0,3.6
202201030409,47.0,2.7
202201030509,46.0,2.7
202201030609,46.0,3.6
202201030709,28.0,4.5
202201030809,11.0,3.6
202201030909,,4.5
202201031009,1.0,4.0
202201031109,350.0,4.0
202201031209,358.0,4.5
202201031309,320.0,4.9
202201031409,338.0,4.5
202201031509,32.0,2.7
202201031609,35.0,1.8
202201031709,11.0,1.8
202201031809,299.0,2.7
202201031909,269.0,3.1
202201032009,321.0,2.2
202201032109,257.0,2.2
202201032309,271.0,1.8
202201040009,238.0,1.8
202201040109,253.0,1.3
202201040209,233.0,1.8
202201040309,215.0,1.8
202201040409,180.0,1.8
202201040509,184.0,1.8
202201040609,189.0,1.8
202201040709,206.0,2.2
202201040809,200.0,1.8
202201040909,173.0,1.3
202201041009,165.0,1.8
202201041109,150.0,1.8
202201041209,138.0,2.2
202201041309,136.0,2.2
202201041409,131.0,1.8
202201041509,164.0,2.7
202201041709,183.0,3.1
202201041809,188.0,3.6
202201041909,198.0,3.1
202201042009,198.0,3.6
202201042109,204.0,4.5
202201042209,202.0,4.0
202201042309,199.0,3.1
202201050009,186.0,2.7
202201050109,190.0,3.6
202201050209,186.0,3.6
202201050309,185.0,3.6
202201050409,191.0,4.9
202201050509,202.0,4.0
202201050609,199.0,4.0
202201050709,203.0,4.9
202201050809,216.0,4.5
202201050909,214.0,5.8
202201051009,211.0,5.4
202201051109,219.0,6.3
202201051209,215.0,6.3
202201051309,220.0,4.9
202201051409,216.0,5.4
202201051509,223.0,6.3
202201051609,226.0,5.8
202201051709,224.0,6.7
202201051809,233.0,5.8
202201051909,237.0,5.4
202201052009,247.0,5.8
202201052109,229.0,5.4
202201052209,246.0,4.0
202201052309,253.0,4.5
202201060009,251.0,5.4
202201060109,246.0,4.5
202201060209,252.0,3.6
202201060309,264.0,4.5
202201060409,275.0,4.5
202201060509,280.0,4.9
202201060609,276.0,2.7
202201060709,289.0,2.2
202201060809,291.0,2.7
202201060909,291.0,2.7
202201061109,289.0,1.3
202201061209,338.0,0.9
202201061309,113.0,1.3
202201061409,5.0,0.9
202201061509,288.0,1.3
202201061609,11.0,0.4
202201061709,262.0,0.4
202201061809,309.0,0.9
202201061909,3.0,1.8
202201062009,343.0,1.8
202201062109,320.0,2.2
202201062209,305.0,3.1
202201062309,302.0,3.1
202201070009,294.0,3.1
202201070109,290.0,3.6
202201070209,279.0,4.0
202201070309,278.0,2.7
202201070409,273.0,2.7
202201070509,281.0,4.9
202201070609,278.0,3.6
202201070809,281.0,4.0
202201070909,294.0,4.0
202201071009,278.0,2.2
202201071209,281.0,2.7
202201071309,278.0,2.2
202201071409,267.0,1.8
202201071509,259.0,2.7
202201071609,258.0,2.2
202201071709,244.0,2.2
202201071809,245.0,2.7
202201071909,251.0,2.7
202201072009,267.0,2.2
202201072109,81.0,0.4
202201072209,306.0,0.9
202201072309,34.0,0.9
202201080009,57.0,2.2
202201080109,83.0,1.3
202201080209,98.0,1.8
202201080409,95.0,2.7
202201080509,89.0,2.7
202201080609,108.0,2.2
202201080809,103.0,2.7
202201080909,78.0,2.7
202201081009,88.0,3.1
202201081109,89.0,3.6
202201081209,90.0,3.1
202201081309,110.0,2.2
202201081409,130.0,2.2
202201081509,139.0,2.7
202201081609,162.0,2.2
202201081709,189.0,3.1
202201081809,189.0,3.6
202201081909,194.0,3.1
202201082009,188.0,3.6
202201082109,155.0,2.7
202201082209,156.0,2.7
202201082309,156.0,2.2
202201090009,181.0,4.0
202201090109,199.0,4.0
202201090209,189.0,4.0
202201090309,200.0,3.6
202201090409,245.0,3.6
202201090509,231.0,2.7
202201090609,215.0,2.7
202201090709,185.0,4.0
202201090809,194.0,5.4
202201090909,200.0,5.4
202201091009,208.0,2.7
202201091109,200.0,4.0
202201091209,200.0,4.0
202201091309,196.0,5.4
202201091409,268.0,4.0
202201091509,287.0,2.2
202201091609,284.0,3.6
202201091709,222.0,2.7
202201091809,241.0,3.1
202201091909,272.0,3.1
202201092009,302.0,3.6
202201092109,320.0,4.5
202201092209,341.0,4.5
202201092309,331.0,3.1
202201100009,321.0,3.1
202201100109,295.0,2.2
202201100209,323.0,3.6
202201100309,311.0,3.1
202201100409,312.0,2.7
202201100509,325.0,3.6
202201100609,302.0,3.6
202201100709,312.0,3.1
202201100809,317.0,2.2
202201100909,288.0,2.2
202201101009,278.0,2.2
202201101109,288.0,2.7
202201101209,290.0,2.7
202201101309,290.0,2.2
202201101409,274.0,1.8
202201101509,284.0,4.5
202201101609,276.0,3.1
202201101709,273.0,3.1
202201101809,258.0,1.8
202201101909,250.0,2.7
202201102009,245.0,3.1
202201102109,260.0,4.0
202201102209,273.0,3.1
202201102309,272.0,3.1
202201110009,264.0,4.5
202201110109,278.0,3.1
202201110209,301.0,2.7
202201110309,310.0,2.7
202201110409,297.0,3.1
202201110509,296.0,3.1
202201110609,302.0,2.7
202201110709,311.0,3.1
202201110909,331.0,1.8
202201111009,30.0,1.3
202201111109,7.0,1.3
202201111209,334.0,1.8
202201111309,298.0,1.3
202201111409,78.0,1.8
202201111509,126.0,2.2
202201111609,136.0,1.8
202201111709,172.0,2.7
202201111909,223.0,2.2
202201112009,176.0,2.2
202201112109,192.0,2.2
202201112209,184.0,2.2
202201112309,184.0,1.8
202201120009,192.0,2.7
202201120109,206.0,3.6
202201120209,192.0,4.0
202201120309,194.0,4.0
202201120409,203.0,4.5
202201120509,204.0,4.9
202201120609,210.0,4.9
202201120709,216.0,3.1
202201120809,198.0,4.5
202201120909,207.0,4.0
202201121009,207.0,4.5
202201121109,206.0,3.6
202201121209,206.0,3.6
202201121309,199.0,3.6
202201121409,202.0,3.6
202201121509,209.0,4.0
202201121609,228.0,4.9
202201121709,227.0,6.3
202201121809,240.0,3.1
202201121909,229.0,3.6
202201122009,207.0,4.9
202201122109,202.0,5.4
202201122209,209.0,4.5
202201122309,214.0,4.0
202201130009,229.0,2.7
202201130109,234.0,2.7
202201130209,220.0,3.1
202201130309,218.0,3.1
202201130409,210.0,2.7
202201130509,210.0,3.1
202201130609,193.0,3.1
202201130709,195.0,4.5
202201130809,204.0,3.6
202201130909,208.0,3.1
202201131009,202.0,4.0
202201131109,195.0,3.1
202201131209,207.0,3.6
202201131309,210.0,2.7
202201131409,209.0,2.7
202201131509,219.0,2.7
202201131609,223.0,4.0
202201131809,224.0,4.0
202201131909,235.0,4.0
202201132009,252.0,2.7
202201132109,257.0,4.5
202201132209,262.0,3.1
202201132309,267.0,3.6
202201140009,278.0,1.8
202201140109,306.0,2.2
202201140209,310.0,2.7
202201140409,301.0,2.7
202201140509,301.0,3.1
202201140709,329.0,2.2
202201140809,305.0,1.8
202201140909,309.0,2.7
202201141009,328.0,3.1
202201141109,313.0,3.1
202201141209,309.0,3.1
202201141309,9.0,2.2
202201141409,330.0,1.8
202201141609,31.0,1.8
202201141709,69.0,1.3
202201141809,350.0,1.3
202201141909,301.0,2.2
202201142009,30.0,0.9
202201142109,321.0,0.9
202201142209,343.0,1.3
202201142309,350.0,2.2
202201150009,345.0,2.2
202201150109,56.0,2.2
202201150209,57.0,2.2
202201150309,67.0,3.6
202201150509,82.0,3.6
202201150609,111.0,3.1
202201150809,71.0,2.7
202201150909,71.0,2.2
202201151009,63.0,4.0
202201151109,69.0,4.0
202201151209,66.0,3.6
202201151309,68.0,4.0
202201151409,75.0,4.0
202201151509,98.0,1.8
202201151609,102.0,3.1
202201151709,75.0,2.7
202201151809,76.0,2.2
202201151909,57.0,3.1
202201152009,80.0,4.5
202201152109,69.0,3.6
202201152209,67.0,3.6
202201160009,80.0,3.6
202201160109,71.0,4.0
202201160209,69.0,4.0
202201160309,74.0,4.5
202201160409,69.0,5.8
202201160509,66.0,5.4
202201160609,72.0,4.9
202201160709,70.0,4.9
202201160809,72.0,4.5
202201160909,72.0,3.6
202201161009,73.0,3.6
202201161109,73.0,3.6
202201161209,67.0,4.0
202201161309,70.0,4.0
202201161409,73.0,4.0
202201161509,85.0,3.1
202201161609,76.0,3.6
202201161709,71.0,4.9
202201161809,71.0,4.0
202201161909,70.0,3.1
202201162009,65.0,4.0
202201162109,70.0,3.1
202201162209,66.0,4.0
202201170009,69.0,2.7
202201170209,280.0,1.8
202201170309,303.0,3.1
202201170409,302.0,2.7
202201170509,276.0,2.7
202201170609,272.0,3.6
202201170709,270.0,3.6
202201170809,271.0,3.6
202201170909,267.0,3.6
202201171009,260.0,4.0
202201171109,257.0,4.0
202201171209,258.0,3.1
202201171309,260.0,3.1
202201171409,258.0,3.1
202201171509,261.0,4.0
202201171609,256.0,3.6
202201171709,262.0,3.1
202201171809,260.0,3.6
202201171909,255.0,3.6
202201172009,261.0,3.6
202201172109,265.0,3.1
202201172209,260.0,3.6
202201172309,267.0,2.7
202201180009,260.0,3.6
202201180109,260.0,3.1
202201180209,264.0,3.1
202201180309,261.0,3.1
202201180409,271.0,2.7
202201180509,237.0,1.8
202201180609,247.0,2.2
202201180709,235.0,1.8
202201180809,246.0,1.8
202201180909,260.0,1.3
202201181009,262.0,1.8
202201181109,250.0,0.9
202201181209,217.0,1.8
202201181309,206.0,1.3
202201181409,191.0,1.8
202201181509,184.0,1.3
202201181609,188.0,1.8
202201181709,190.0,2.2
202201181909,187.0,1.8
202201182009,193.0,2.2
202201182109,177.0,2.2
202201182209,189.0,2.2
202201182309,186.0,2.7
202201190009,199.0,3.6
202201190109,197.0,3.6
202201190209,189.0,3.6
202201190309,194.0,4.0
202201190409,193.0,4.0
202201190509,200.0,4.5
202201190609,213.0,3.6
202201190709,224.0,4.5
202201190809,214.0,4.5
202201190909,216.0,4.9
202201191009,211.0,5.4
202201191109,208.0,4.9
202201191209,206.0,4.9
202201191309,210.0,5.4
202201191409,212.0,4.9
202201191509,217.0,4.9
202201191609,207.0,4.0
202201191709,208.0,4.0
202201191809,192.0,4.0
202201191909,202.0,4.0
202201192009,206.0,3.6
202201192109,200.0,3.1
202201192209,215.0,2.7
202201192309,219.0,2.2
202201200009,248.0,1.8
202201200109,259.0,1.8
202201200209,311.0,1.3
202201200309,339.0,2.7
202201200409,15.0,3.1
202201200509,344.0,2.7
202201200609,352.0,3.1
202201200709,15.0,3.1
202201200809,0.0,3.6
202201200909,7.0,3.1
202201201009,,3.6
202201201109,347.0,4.5
202201201209,13.0,3.1
202201201409,350.0,4.5
202201201509,5.0,3.1
202201201709,20.0,2.7
202201201809,3.0,3.1
202201201909,16.0,1.8
202201202009,51.0,1.8
202201202209,23.0,1.8
202201202309,38.0,0.9
202201210009,83.0,0.9
202201210109,64.0,2.7
202201210209,64.0,3.1
202201210309,65.0,3.1
202201210409,56.0,2.7
202201210509,59.0,3.1
202201210609,51.0,2.7
202201210809,58.0,2.7
202201210909,63.0,2.7
202201211109,59.0,3.1
202201211209,59.0,3.6
202201211309,65.0,4.0
202201211409,73.0,4.5
202201211509,77.0,3.1
202201211609,72.0,4.9
202201211709,73.0,4.0
202201211809,76.0,3.1
202201211909,69.0,3.1
202201212009,78.0,3.6
202201212109,83.0,1.8
202201212209,66.0,3.1
202201212309,85.0,1.3
202201220009,92.0,1.8
202201220109,102.0,1.8
202201220209,102.0,1.8
202201220309,102.0,2.7
202201220409,102.0,2.2
202201220509,102.0,2.2
202201220609,135.0,2.2
202201220709,135.0,2.7
202201220809,135.0,0.9
202201220909,135.0,0.4
202201221009,135.0,0.9
202201221109,135.0,1.3
202201221209,135.0,1.8
202201221309,135.0,1.8
202201221409,135.0,1.8
202201221509,242.0,1.8
202201221609,256.0,1.3
202201221709,181.0,1.8
202201221809,216.0,1.8
202201221909,184.0,2.2
202201222009,226.0,2.2
202201222109,234.0,2.7
202201222209,242.0,2.2
202201222309,217.0,2.2
202201230009,259.0,2.2
202201230109,243.0,1.8
202201230209,226.0,2.2
202201230309,257.0,1.8
202201230409,262.0,2.7
202201230509,240.0,2.2
202201230609,222.0,1.8
202201230709,212.0,1.3
202201230809,177.0,1.8
202201230909,196.0,1.3
202201231009,202.0,2.2
202201231109,198.0,3.6
202201231209,204.0,3.6
202201231309,215.0,4.0
202201231409,213.0,4.9
202201231509,208.0,4.0
202201231609,207.0,4.5
202201231709,207.0,4.0
202201231809,228.0,5.4
202201231909,251.0,4.5
202201232109,256.0,3.6
202201232209,258.0,4.0
202201232309,248.0,3.1
202201240009,242.0,3.1
202201240109,325.0,4.5
202201240209,306.0,3.1
202201240309,348.0,3.1
202201240409,282.0,2.2
202201240509,287.0,1.8
202201240609,266.0,1.3
202201240709,280.0,1.8
202201240809,236.0,1.8
202201240909,239.0,2.2
202201241009,218.0,1.8
202201241109,199.0,2.2
202201241209,164.0,1.8
202201241309,174.0,2.2
202201241409,191.0,3.6
202201241509,206.0,4.5
202201241609,203.0,4.5
202201241709,201.0,4.0
202201241809,215.0,3.1
