timestamp string,wind direction,wind speed
202201010021,215.0,0.9
202201010121,224.0,1.8
202201010221,201.0,0.9
202201010321,163.0,1.3
202201010421,198.0,1.3
202201010521,164.0,0.4
202201010721,222.0,0.4
202201010921,320.0,0.9
202201011021,,0.4
202201011221,107.0,2.7
202201011321,118.0,3.1
202201011421,24.0,0.9
202201011521,326.0,2.2
202201011621,328.0,1.3
202201011721,238.0,1.8
202201011821,334.0,0.9
202201011921,36.0,1.3
202201012021,252.0,0.4
202201012121,117.0,1.8
202201012221,150.0,0.9
202201012321,123.0,1.8
202201020021,141.0,0.9
202201020121,155.0,1.3
202201020221,181.0,1.8
202201020321,242.0,1.3
202201020421,213.0,1.3
202201020521,227.0,1.3
202201020621,310.0,2.2
202201020721,288.0,1.8
202201020821,325.0,1.8
202201020921,303.0,1.8
202201021021,302.0,1.8
202201021121,301.0,1.8
202201021221,313.0,1.3
202201021321,312.0,1.3
202201021521,332.0,1.3
202201021621,35.0,1.3
202201021721,286.0,1.3
202201021821,44.0,1.3
202201021921,344.0,1.3
202201022021,7.0,1.3
202201022121,353.0,1.8
202201022221,3.0,1.8
202201022321,327.0,1.8
202201030021,9.0,1.3
202201030121,351.0,1.8
202201030221,354.0,1.8
202201030321,334.0,1.3
202201030421,325.0,1.8
202201030521,338.0,1.3
202201030621,314.0,1.8
202201030721,309.0,1.8
202201030821,321.0,1.8
202201030921,338.0,1.3
202201031021,329.0,1.8
202201031121,344.0,1.3
202201031221,327.0,1.3
202201031321,319.0,1.3
202201031421,350.0,0.9
202201031521,295.0,0.9
202201031621,32.0,1.3
202201031721,161.0,0.9
202201031821,70.0,0.9
202201031921,22.0,0.9
202201032021,202.0,0.9
202201032121,101.0,1.3
202201032221,184.0,0.4
202201032321,92.0,0.4
202201040021,82.0,0.4
202201040121,,0.0
202201040221,308.0,0.4
202201040321,189.0,0.4
202201040421,132.0,0.9
202201040521,123.0,1.3
202201040621,114.0,1.8
202201040721,125.0,1.8
202201040821,105.0,1.8
202201040921,124.0,1.8
202201041021,129.0,3.1
202201041121,129.0,1.8
202201041221,146.0,1.8
202201041321,147.0,1.3
202201041421,149.0,1.3
202201041521,148.0,2.2
202201041621,193.0,2.2
202201041721,141.0,3.1
202201041821,189.0,3.1
202201042021,166.0,2.2
202201042121,168.0,3.1
202201042221,172.0,2.2
202201042321,159.0,3.6
202201050021,167.0,4.0
202201050121,188.0,3.6
202201050221,182.0,3.6
202201050321,191.0,4.0
202201050421,199.0,4.0
202201050521,203.0,3.1
202201050621,203.0,3.1
202201050721,199.0,3.1
202201050821,197.0,3.1
202201050921,211.0,2.2
202201051021,224.0,3.1
202201051121,218.0,3.1
202201051221,223.0,2.7
202201051321,220.0,2.2
202201051421,232.0,2.2
202201051521,250.0,3.1
202201051721,251.0,2.2
202201051821,251.0,3.1
202201051921,263.0,3.1
202201052021,270.0,3.1
202201052121,276.0,2.2
202201052221,255.0,2.2
202201052321,246.0,0.9
202201060021,257.0,1.3
202201060121,249.0,0.4
202201060221,267.0,0.9
202201060421,27.0,0.9
202201060521,17.0,0.9
202201060621,28.0,1.3
202201060721,18.0,2.2
202201060821,33.0,2.2
202201060921,41.0,2.2
202201061021,24.0,2.2
202201061121,35.0,2.7
202201061221,20.0,1.3
202201061321,23.0,1.3
202201061421,31.0,1.8
202201061521,19.0,1.8
202201061621,28.0,0.9
202201061721,5.0,1.3
202201061821,345.0,1.3
202201061921,325.0,1.3
202201062021,326.0,1.3
202201062121,354.0,1.3
202201062221,327.0,1.3
202201062321,322.0,0.9
202201070021,329.0,0.9
202201070121,316.0,0.9
202201070221,354.0,1.3
202201070321,208.0,0.4
202201070421,341.0,0.9
202201070521,6.0,0.9
202201070721,19.0,0.4
202201070821,31.0,0.4
202201070921,53.0,0.4
202201071021,,0.0
202201071121,,0.0
202201071221,41.0,0.4
202201071321,247.0,0.9
202201071421,30.0,0.9
202201071521,30.0,0.9
202201071621,47.0,1.8
202201071721,45.0,2.2
202201071821,121.0,1.3
202201071921,89.0,1.3
202201072021,114.0,1.3
202201072121,37.0,1.3
202201072221,58.0,0.9
202201072321,81.0,1.8
202201080021,94.0,1.3
202201080121,100.0,2.2
202201080221,92.0,2.2
202201080321,97.0,2.2
202201080421,94.0,2.2
202201080521,104.0,2.2
202201080621,107.0,2.7
202201080721,112.0,1.8
202201080821,120.0,1.3
202201080921,116.0,0.9
202201081021,121.0,1.3
202201081121,115.0,1.8
202201081221,114.0,2.2
202201081321,131.0,1.8
202201081421,176.0,1.3
202201081621,149.0,2.7
202201081721,153.0,2.7
202201081821,168.0,3.1
202201081921,173.0,3.1
202201082021,150.0,3.1
202201082121,150.0,3.1
202201082221,183.0,1.8
202201082321,154.0,1.3
202201090021,12.0,1.3
202201090121,88.0,0.9
202201090221,203.0,1.3
202201090321,161.0,2.7
202201090421,171.0,4.5
202201090521,164.0,2.7
202201090621,176.0,3.1
202201090721,169.0,3.1
202201090821,166.0,3.1
202201090921,167.0,3.6
202201091021,189.0,3.1
202201091221,325.0,1.3
202201091321,39.0,0.9
202201091421,353.0,0.4
202201091521,338.0,1.3
202201091621,33.0,2.2
202201091721,24.0,2.2
202201091821,6.0,2.2
202201091921,358.0,1.8
202201092021,24.0,3.6
202201092221,6.0,1.8
202201100021,33.0,1.3
202201100121,26.0,1.3
202201100321,2.0,1.3
202201100521,29.0,2.2
202201100721,,0.0
202201100821,,0.0
202201100921,,0.0
202201101021,,0.0
202201101121,,0.0
202201101221,,0.0
202201101321,15.0,0.4
202201101421,49.0,0.4
202201101521,265.0,1.3
202201101621,213.0,1.3
202201101721,254.0,2.2
202201101821,248.0,1.8
202201101921,260.0,2.7
202201102021,234.0,1.8
202201102121,252.0,2.7
202201102221,267.0,2.2
202201102321,261.0,1.3
202201110021,257.0,1.3
202201110121,,0.0
202201110221,,0.0
202201110321,,0.0
202201110421,66.0,0.4
202201110521,58.0,0.4
202201110621,38.0,0.9
202201110721,46.0,0.4
202201110821,43.0,0.9
202201110921,30.0,0.9
202201111021,79.0,0.9
202201111121,52.0,0.9
202201111221,85.0,1.3
202201111321,,0.0
202201111521,107.0,1.8
202201111621,130.0,1.3
202201111721,236.0,1.8
202201111821,189.0,2.2
202201111921,154.0,1.8
202201112121,184.0,1.3
202201112221,166.0,1.3
202201112321,157.0,0.9
202201120021,164.0,1.3
202201120121,173.0,1.3
202201120421,192.0,2.7
202201120521,203.0,2.2
202201120721,207.0,1.8
202201120921,208.0,2.2
202201121021,203.0,2.7
202201121121,210.0,2.7
202201121221,201.0,2.2
202201121321,209.0,2.2
202201121421,206.0,2.7
202201121521,208.0,2.7
202201121621,229.0,2.7
202201121721,199.0,3.1
202201121821,219.0,3.1
202201122021,235.0,3.1
202201122221,213.0,2.7
202201122321,190.0,1.8
202201130021,218.0,1.3
202201130121,242.0,1.3
202201130221,216.0,1.3
202201130321,205.0,1.8
202201130421,206.0,1.8
202201130521,217.0,2.2
202201130621,213.0,1.3
202201130721,222.0,1.3
202201130921,222.0,1.3
202201131021,237.0,1.3
202201131221,223.0,0.9
202201131321,241.0,1.3
202201131421,241.0,1.3
202201131521,251.0,1.8
202201131621,252.0,2.2
202201131921,254.0,1.3
202201132021,261.0,1.8
202201132121,277.0,1.3
202201132221,277.0,1.3
202201140021,,0.0
202201140121,,0.0
202201140221,272.0,0.4
202201140321,254.0,0.9
202201140421,,0.0
202201140521,,0.0
202201140621,,0.0
202201140821,,0.0
202201141121,,0.0
202201141221,,0.0
202201141321,,0.0
202201141421,59.0,0.4
202201141521,104.0,1.8
202201141621,143.0,1.3
202201141821,133.0,1.8
202201141921,134.0,2.2
202201142021,27.0,1.3
202201142121,78.0,0.9
202201142221,56.0,0.9
202201142321,51.0,0.4
202201150121,56.0,0.4
202201150221,60.0,1.3
202201150321,59.0,1.3
202201150421,70.0,1.3
202201150521,82.0,2.2
202201150621,85.0,1.3
202201150721,60.0,0.9
202201150821,85.0,1.3
202201150921,67.0,1.3
202201151021,80.0,1.8
202201151121,77.0,1.8
202201151221,77.0,2.2
202201151321,78.0,2.2
202201151421,87.0,2.7
202201151521,90.0,2.2
202201151621,80.0,2.2
202201151721,86.0,2.7
202201151821,66.0,2.7
202201151921,65.0,2.7
202201152021,66.0,2.7
202201152121,54.0,2.2
202201152221,59.0,2.2
202201152321,55.0,2.7
202201160021,47.0,2.2
202201160121,46.0,1.8
202201160221,56.0,3.1
202201160321,54.0,2.2
202201160421,52.0,2.2
202201160521,44.0,2.7
202201160721,28.0,2.7
202201160821,35.0,2.2
202201160921,39.0,2.7
202201161021,31.0,2.7
202201161121,33.0,2.7
202201161221,32.0,2.2
202201161321,18.0,2.2
202201161421,22.0,2.2
202201161521,13.0,1.8
202201161621,322.0,1.3
202201161721,318.0,1.3
202201161821,342.0,1.3
202201161921,354.0,1.8
202201162021,324.0,2.2
202201162121,292.0,2.2
202201162221,286.0,2.2
202201162321,294.0,1.3
202201170021,273.0,1.8
202201170121,272.0,1.8
202201170321,275.0,2.2
202201170421,271.0,2.2
202201170721,270.0,2.2
