timestamp string,wind direction,wind speed
202201010005,344.0,0.4
202201010105,253.0,1.3
202201010205,244.0,1.8
202201010305,254.0,1.3
202201010405,260.0,0.9
202201010505,258.0,1.3
202201010605,259.0,1.8
202201010705,245.0,2.2
202201010805,255.0,2.2
202201010905,264.0,2.2
202201011005,252.0,1.8
202201011105,255.0,2.2
202201011205,250.0,2.2
202201011405,248.0,2.2
202201011505,250.0,1.8
202201011605,258.0,2.2
202201011705,293.0,2.7
202201011805,251.0,3.1
202201011905,258.0,3.1
202201012005,257.0,3.1
202201012105,257.0,1.8
202201012205,257.0,2.2
202201012305,241.0,2.2
202201020005,246.0,2.2
202201020105,247.0,2.2
202201020205,254.0,2.7
202201020305,18.0,2.7
202201020405,12.0,2.7
202201020505,6.0,2.2
202201020605,229.0,0.4
202201020705,217.0,1.8
202201020805,201.0,1.8
202201020905,331.0,0.9
202201021005,359.0,1.8
202201021105,340.0,0.9
202201021205,243.0,1.3
202201021305,328.0,0.9
202201021405,270.0,0.4
202201021505,342.0,1.3
202201021605,358.0,1.3
202201021705,349.0,1.8
202201021805,346.0,0.9
202201021905,4.0,1.8
202201022005,25.0,4.9
202201022105,32.0,4.9
202201022205,27.0,2.2
202201022305,27.0,0.9
202201030005,,0.0
202201030105,79.0,1.3
202201030205,130.0,1.3
202201030305,84.0,2.2
202201030405,66.0,2.2
202201030505,61.0,1.8
202201030605,66.0,3.1
202201030705,45.0,4.0
202201030805,32.0,4.0
202201030905,31.0,3.1
202201031005,26.0,3.1
202201031105,32.0,4.0
202201031205,27.0,2.7
202201031305,27.0,3.6
202201031405,32.0,2.7
202201031505,56.0,0.4
202201031605,65.0,0.4
202201031805,106.0,0.9
202201031905,193.0,0.4
202201032005,181.0,0.4
202201032105,180.0,0.4
202201032205,,0.0
202201032305,132.0,0.4
202201040005,119.0,0.4
202201040105,126.0,0.4
202201040205,105.0,0.4
202201040305,85.0,1.3
202201040405,72.0,1.8
202201040505,74.0,1.3
202201040605,90.0,1.3
202201040705,89.0,1.8
202201040905,112.0,0.4
202201041005,172.0,0.9
202201041105,137.0,1.3
202201041205,161.0,0.9
202201041405,,0.0
202201041505,,0.0
202201041705,226.0,0.9
202201041805,232.0,0.9
202201041905,232.0,1.3
202201042005,236.0,0.4
202201042105,234.0,0.9
202201042205,200.0,1.3
202201042305,215.0,0.9
202201050005,189.0,1.3
202201050105,242.0,1.3
202201050205,251.0,2.2
202201050305,244.0,3.1
202201050405,244.0,2.7
202201050505,247.0,2.2
202201050605,257.0,2.2
202201050705,256.0,1.8
202201050805,270.0,1.3
202201050905,299.0,1.3
202201051005,259.0,1.3
202201051105,261.0,0.9
202201051205,261.0,1.3
202201051305,263.0,1.3
202201051405,264.0,1.8
202201051505,249.0,1.8
202201051605,255.0,1.3
202201051705,269.0,0.9
202201051805,265.0,1.3
202201051905,246.0,1.8
202201052005,263.0,1.3
202201052105,256.0,1.3
202201052205,246.0,1.8
202201052305,243.0,1.8
202201060005,258.0,1.3
202201060105,285.0,0.9
202201060205,293.0,1.3
202201060305,259.0,1.3
202201060405,272.0,0.4
202201060505,293.0,0.4
202201060605,334.0,2.2
202201060705,20.0,3.1
202201060805,6.0,1.8
202201060905,17.0,1.3
202201061005,46.0,0.4
202201061105,146.0,1.8
202201061205,112.0,0.9
202201061305,51.0,1.8
202201061405,48.0,1.8
