timestamp string,wind direction,wind speed
202201010046,206.0,1.3
202201010146,198.0,1.8
202201010246,213.0,1.3
202201010346,227.0,1.3
202201010446,214.0,1.8
202201010546,215.0,2.2
202201010646,221.0,1.8
202201010746,218.0,1.8
202201010846,226.0,1.8
202201010946,240.0,1.8
202201011046,194.0,1.8
202201011146,193.0,1.8
202201011246,231.0,1.3
202201011346,190.0,1.8
202201011446,224.0,2.2
202201011546,240.0,2.2
202201011646,218.0,2.2
202201011746,251.0,2.7
202201011846,210.0,2.7
202201011946,225.0,2.7
202201012046,215.0,2.2
202201012146,198.0,1.8
202201012246,169.0,2.2
202201012346,168.0,2.7
202201020046,208.0,2.2
202201020146,199.0,2.2
202201020246,205.0,2.2
202201020346,213.0,2.2
202201020446,232.0,2.7
202201020546,219.0,2.7
202201020646,242.0,2.7
202201020746,225.0,1.8
202201020846,250.0,1.8
202201020946,,0.0
202201021046,,0.0
202201021146,336.0,0.4
202201021246,306.0,1.3
202201021346,359.0,0.4
202201021446,88.0,0.9
202201021546,,0.0
202201021646,267.0,0.4
202201021746,338.0,0.4
202201021846,17.0,0.9
202201021946,303.0,1.3
202201022046,18.0,1.3
202201022146,348.0,1.3
202201022246,311.0,1.8
202201022346,355.0,1.3
202201030046,240.0,0.9
202201030146,306.0,2.2
202201030246,290.0,2.7
202201030346,290.0,2.7
202201030446,290.0,4.0
202201030546,287.0,2.7
202201030646,281.0,2.2
202201030746,288.0,3.1
202201030846,285.0,2.2
202201030946,271.0,2.2
202201031046,290.0,2.7
202201031146,306.0,4.5
202201031246,302.0,3.1
202201031346,304.0,2.2
202201031446,305.0,2.7
202201031546,288.0,2.2
202201031646,293.0,1.8
202201031746,309.0,1.8
202201031846,315.0,2.2
202201031946,298.0,1.8
202201032046,328.0,1.8
202201032146,324.0,1.8
202201032246,231.0,0.4
202201032346,271.0,0.4
202201040046,,0.0
202201040146,,0.0
202201040246,,0.0
202201040446,,0.0
202201040546,144.0,0.4
202201040646,,0.0
202201040746,38.0,0.9
202201040846,,0.0
202201040946,,0.0
202201041046,101.0,1.8
202201041146,93.0,4.0
202201041246,116.0,2.2
202201041346,153.0,1.8
202201041446,127.0,2.2
202201041546,112.0,2.7
202201041646,135.0,1.8
202201041746,142.0,1.8
202201041846,172.0,1.8
202201041946,171.0,1.3
202201042046,144.0,2.2
202201042146,145.0,1.3
202201042246,116.0,1.3
202201042346,117.0,1.3
202201050046,83.0,1.3
202201050146,122.0,1.8
202201050246,142.0,1.8
202201050346,167.0,0.9
202201050446,149.0,1.8
202201050546,146.0,1.8
202201050646,133.0,1.3
202201050746,202.0,0.9
202201050846,278.0,0.4
202201050946,208.0,0.4
202201051046,114.0,0.9
202201051246,111.0,0.9
202201051346,159.0,0.9
202201051446,149.0,0.4
202201051546,235.0,0.9
202201051646,272.0,0.9
202201051746,274.0,1.3
202201051846,302.0,1.8
202201051946,286.0,1.3
202201052046,275.0,1.8
202201052146,292.0,1.3
202201052246,68.0,0.4
202201052346,70.0,1.3
202201060046,69.0,1.8
202201060146,73.0,1.8
202201060246,71.0,1.8
202201060446,69.0,1.3
202201060546,66.0,1.3
202201060646,68.0,0.9
202201060746,66.0,1.3
202201060846,66.0,1.3
202201060946,67.0,1.3
202201061046,103.0,1.3
202201061246,106.0,2.2
202201061346,120.0,2.2
202201061446,128.0,2.7
202201061546,147.0,2.7
202201061646,156.0,2.7
202201061746,156.0,3.1
202201061846,289.0,1.8
202201061946,,0.0
202201062046,301.0,1.8
202201062146,295.0,2.7
202201062246,310.0,3.6
202201062346,281.0,1.8
202201070046,307.0,2.7
202201070146,297.0,2.7
202201070246,297.0,2.2
202201070346,308.0,3.1
202201070446,293.0,2.2
202201070546,294.0,1.8
202201070646,301.0,1.8
202201070746,292.0,1.3
202201070846,290.0,1.8
202201070946,304.0,1.8
202201071046,301.0,0.9
202201071146,315.0,2.2
202201071246,272.0,1.3
202201071346,303.0,1.8
202201071446,309.0,1.8
202201071546,337.0,2.2
202201071646,13.0,1.8
202201071746,312.0,1.8
202201071846,284.0,1.3
202201071946,289.0,1.3
202201072046,203.0,0.9
202201072146,290.0,1.3
202201072246,15.0,0.9
202201080046,120.0,0.4
202201080146,86.0,1.3
202201080246,,0.0
202201080346,96.0,1.3
202201080446,96.0,1.3
202201080546,106.0,0.9
202201080646,90.0,1.3
202201080746,357.0,0.9
202201080846,100.0,1.8
202201080946,126.0,3.1
202201081046,121.0,2.2
202201081146,87.0,2.2
202201081246,96.0,1.8
202201081346,170.0,1.8
202201081446,114.0,2.7
202201081546,298.0,1.8
202201081646,142.0,1.8
202201081746,143.0,2.2
202201081846,121.0,2.7
202201081946,134.0,2.2
202201082046,133.0,2.2
202201082146,133.0,2.2
202201082246,152.0,1.8
202201082346,140.0,3.1
202201090046,133.0,3.1
202201090246,109.0,4.5
202201090346,128.0,3.1
202201090446,137.0,2.2
202201090546,229.0,2.2
202201090646,124.0,2.7
202201090746,146.0,2.2
202201090846,129.0,2.7
202201090946,117.0,4.0
202201091046,128.0,3.1
202201091146,144.0,3.1
202201091246,139.0,3.6
202201091346,139.0,3.6
202201091446,141.0,4.0
202201091546,142.0,3.6
202201091646,151.0,3.6
202201091746,145.0,3.1
202201091846,156.0,3.1
202201091946,154.0,2.2
202201092046,261.0,0.9
202201092146,220.0,0.9
202201092246,254.0,0.4
202201092346,,0.0
202201100046,306.0,0.4
202201100146,1.0,2.2
202201100246,338.0,2.2
202201100346,343.0,1.8
202201100446,356.0,1.3
202201100546,11.0,2.7
202201100746,5.0,1.3
202201100846,273.0,0.9
202201100946,266.0,0.9
202201101046,295.0,1.3
202201101146,315.0,1.8
202201101246,318.0,1.8
202201101346,291.0,1.3
202201101446,351.0,1.3
202201101546,324.0,1.8
202201101646,331.0,1.8
202201101746,327.0,2.2
202201101846,344.0,2.7
202201101946,317.0,3.1
202201102046,317.0,3.1
202201102146,318.0,2.2
202201102246,294.0,0.9
202201102346,,0.0
202201110046,310.0,0.9
202201110146,297.0,0.9
202201110246,319.0,1.8
202201110346,342.0,0.9
202201110446,12.0,1.3
202201110546,322.0,0.9
202201110646,11.0,1.3
202201110746,330.0,0.9
202201110946,47.0,0.4
202201111046,,0.0
202201111146,62.0,0.9
202201111246,260.0,0.4
202201111346,78.0,0.9
202201111446,23.0,2.7
202201111546,67.0,1.8
202201111646,0.0,2.2
202201111746,307.0,1.3
202201111846,311.0,1.8
202201111946,311.0,1.3
202201112046,350.0,1.3
202201112146,319.0,1.8
202201112246,25.0,0.4
202201112346,78.0,1.3
202201120046,68.0,1.8
202201120146,65.0,1.3
202201120246,84.0,0.9
202201120346,73.0,1.3
202201120446,85.0,1.3
