timestamp string,wind direction,wind speed
202201010014,206.0,2.7
202201010114,206.0,2.7
202201010214,207.0,3.1
202201010314,205.0,2.2
202201010514,221.0,2.2
202201010614,239.0,1.3
202201010714,217.0,0.4
202201010814,0.0,2.2
202201010914,83.0,1.3
202201011014,188.0,1.3
202201011114,307.0,0.4
202201011214,247.0,1.3
202201011314,318.0,1.3
202201011414,191.0,1.3
202201011514,223.0,0.4
202201011614,192.0,1.8
202201011714,204.0,1.8
202201011814,198.0,3.1
202201011914,222.0,3.1
202201012014,208.0,4.5
202201012114,217.0,4.5
202201012214,248.0,3.6
202201012314,287.0,2.2
202201020014,1.0,3.6
202201020114,36.0,2.2
202201020214,39.0,1.3
202201020314,101.0,0.4
202201020414,342.0,2.2
202201020614,211.0,1.8
202201020714,199.0,3.6
202201020814,193.0,3.1
202201020914,254.0,2.2
202201021014,224.0,1.8
202201021114,248.0,1.8
202201021414,264.0,2.2
202201021514,262.0,2.2
202201021614,234.0,1.3
202201021714,350.0,3.1
202201021814,349.0,2.2
202201021914,8.0,4.5
202201022014,6.0,3.6
202201022114,25.0,2.2
202201022214,25.0,4.0
202201022314,23.0,3.1
202201030014,22.0,2.2
202201030114,27.0,3.6
202201030214,37.0,2.2
202201030314,34.0,3.6
202201030414,48.0,3.1
202201030514,53.0,2.7
202201030614,27.0,3.6
202201030714,28.0,4.5
202201030814,32.0,4.0
202201030914,17.0,4.0
202201031014,23.0,5.4
202201031114,33.0,5.4
202201031214,21.0,5.4
202201031314,13.0,4.9
202201031414,15.0,5.4
202201031514,19.0,3.6
202201031614,10.0,3.1
202201031714,2.0,3.1
202201031814,21.0,2.7
202201031914,345.0,2.7
202201032014,359.0,1.3
202201032114,345.0,1.8
202201032214,288.0,1.8
202201032314,297.0,0.9
202201040014,267.0,0.9
202201040114,224.0,0.9
202201040214,247.0,0.9
202201040414,232.0,0.9
202201040514,234.0,0.9
202201040614,202.0,0.4
202201040714,90.0,0.4
202201040814,64.0,1.8
202201040914,,0.0
202201041014,281.0,0.4
202201041114,183.0,1.3
202201041314,123.0,1.8
202201041414,225.0,1.3
202201041714,200.0,4.0
202201041814,205.0,3.6
202201041914,205.0,3.1
202201042014,208.0,2.7
202201042114,201.0,3.6
202201042214,200.0,3.1
202201042314,207.0,2.7
202201050014,205.0,4.9
202201050114,202.0,4.9
202201050214,206.0,4.0
202201050314,207.0,5.4
202201050414,208.0,5.4
202201050514,198.0,4.5
202201050614,204.0,4.0
202201050714,204.0,4.0
202201050814,202.0,3.6
202201050914,204.0,3.6
202201051014,213.0,4.0
202201051214,205.0,4.0
202201051314,221.0,3.6
202201051414,214.0,4.0
202201051514,214.0,4.0
202201051614,218.0,3.1
202201051714,218.0,3.6
202201051814,207.0,4.5
202201051914,226.0,4.0
202201052014,223.0,3.6
202201052114,235.0,3.1
202201052214,260.0,3.1
202201052314,248.0,3.1
202201060014,258.0,4.0
202201060114,280.0,7.6
202201060214,282.0,5.4
202201060314,278.0,4.9
202201060414,278.0,5.4
202201060514,296.0,3.6
202201060614,292.0,2.7
202201060714,290.0,3.6
202201060814,279.0,2.2
202201060914,276.0,3.6
202201061014,266.0,1.8
202201061114,286.0,2.7
202201061314,273.0,0.9
202201061414,266.0,0.4
202201061514,181.0,1.8
202201061614,350.0,1.8
202201061714,291.0,0.4
202201061814,347.0,1.3
202201061914,4.0,1.8
202201062014,11.0,1.3
202201062114,93.0,1.8
202201062214,344.0,1.3
202201062314,356.0,2.2
202201070014,340.0,3.1
202201070114,291.0,1.3
202201070214,309.0,1.8
202201070414,293.0,1.3
202201070614,290.0,3.1
202201070714,300.0,1.8
202201070814,277.0,1.3
202201070914,265.0,2.2
202201071014,274.0,2.2
202201071114,285.0,1.8
202201071214,304.0,1.3
202201071314,304.0,1.3
202201071414,274.0,1.8
202201071514,284.0,2.7
202201071614,290.0,2.2
202201071714,287.0,3.1
202201071814,275.0,1.8
202201071914,290.0,1.8
202201072014,312.0,1.8
202201072114,289.0,1.8
202201072214,270.0,1.8
202201072314,314.0,0.9
202201080014,303.0,0.4
202201080114,99.0,1.3
202201080214,90.0,1.3
202201080314,81.0,1.8
202201080414,71.0,2.2
202201080514,232.0,0.4
202201080614,173.0,1.3
202201080714,146.0,0.9
202201080814,156.0,1.8
