timestamp string,wind direction,wind speed
202201010016,1.0,1.3
202201010216,1.0,0.4
202201010316,1.0,0.4
202201010416,1.0,2.2
202201010516,0.0,4.0
202201010616,0.0,5.4
202201010716,0.0,4.5
202201010816,0.0,2.2
202201010916,0.0,1.8
202201011016,0.0,1.3
202201011116,1.0,1.3
202201011216,1.0,1.8
202201011316,1.0,1.8
202201011416,1.0,1.8
202201011516,8.0,2.2
202201011616,7.0,1.8
202201011716,6.0,1.3
202201011816,5.0,1.3
202201011916,6.0,2.7
202201012016,6.0,4.5
202201012116,7.0,1.3
202201012216,7.0,1.8
202201012316,7.0,1.3
202201020016,6.0,2.7
202201020116,4.0,2.2
202201020216,2.0,3.1
202201020316,2.0,1.8
202201020416,3.0,1.8
202201020516,5.0,2.2
202201020616,8.0,1.8
202201020716,9.0,1.8
202201020816,5.0,1.3
202201020916,5.0,1.8
202201021016,5.0,1.3
202201021116,7.0,2.2
202201021216,15.0,2.2
202201021316,28.0,2.7
202201021416,27.0,3.1
202201021516,26.0,3.1
202201021616,27.0,3.6
202201021816,24.0,4.0
202201021916,26.0,3.6
202201022016,27.0,2.7
202201022116,27.0,2.7
202201022216,28.0,3.6
202201022316,28.0,2.7
202201030016,29.0,3.1
202201030116,29.0,4.0
202201030216,29.0,4.9
202201030316,30.0,4.9
202201030416,30.0,4.5
202201030516,30.0,4.5
202201030616,31.0,4.5
202201030716,31.0,4.5
202201030816,31.0,4.5
202201030916,31.0,4.9
202201031016,31.0,4.0
202201031116,32.0,4.5
202201031216,32.0,4.9
202201031316,32.0,5.4
202201031416,33.0,4.5
202201031516,33.0,4.5
202201031616,35.0,3.6
202201031716,36.0,2.7
202201031816,37.0,2.7
202201031916,36.0,2.7
202201032016,41.0,2.7
202201032116,39.0,2.2
202201032216,37.0,2.7
202201032316,36.0,2.7
202201040016,36.0,2.7
202201040116,35.0,0.9
202201040216,36.0,2.2
202201040316,35.0,0.9
202201040416,,0.0
202201040516,7.0,1.3
202201040616,6.0,0.9
202201040716,6.0,1.3
202201040816,5.0,1.3
202201040916,5.0,1.3
202201041016,5.0,1.3
202201041116,5.0,0.9
202201041216,5.0,1.3
202201041416,8.0,1.3
202201041516,6.0,1.8
202201041616,5.0,2.2
202201041716,4.0,2.2
202201041816,3.0,1.8
202201041916,3.0,1.3
202201042016,2.0,4.0
202201042116,2.0,4.5
202201042216,2.0,2.2
202201050016,3.0,0.9
202201050116,4.0,0.9
202201050216,4.0,0.9
202201050316,4.0,0.9
202201050416,4.0,1.3
202201050516,4.0,1.8
202201050616,3.0,2.2
202201050716,3.0,2.7
202201050816,3.0,1.8
202201050916,3.0,1.8
202201051016,3.0,3.1
202201051116,3.0,4.5
202201051216,3.0,5.4
202201051316,3.0,5.4
202201051416,3.0,5.8
202201051516,2.0,6.3
202201051616,2.0,8.9
202201051716,2.0,8.0
202201051816,2.0,7.6
202201051916,1.0,7.2
202201052016,2.0,7.6
202201052116,2.0,5.8
202201052216,2.0,5.4
202201052316,2.0,5.8
202201060016,2.0,6.3
202201060116,2.0,6.7
202201060216,2.0,5.4
202201060316,2.0,5.8
202201060416,3.0,4.9
202201060516,3.0,6.3
202201060616,3.0,3.6
202201060716,4.0,2.7
202201060916,4.0,2.7
202201061016,4.0,1.8
202201061116,4.0,2.2
202201061216,4.0,1.8
202201061316,4.0,0.9
202201061416,4.0,1.3
202201061516,3.0,1.8
202201061616,3.0,1.8
202201061716,3.0,1.3
202201061916,3.0,2.2
202201062016,3.0,1.8
202201062116,4.0,1.3
202201062216,10.0,1.8
202201062316,7.0,3.1
202201070016,6.0,1.3
202201070116,6.0,2.7
202201070216,5.0,3.1
202201070316,5.0,2.2
202201070416,5.0,3.6
202201070516,5.0,2.7
202201070716,4.0,3.1
202201070816,4.0,2.2
202201070916,4.0,3.6
202201071016,4.0,3.6
202201071116,4.0,2.7
202201071216,4.0,3.1
202201071316,4.0,2.2
202201071416,5.0,3.6
202201071616,5.0,4.9
202201071716,4.0,4.9
202201071816,4.0,4.9
202201071916,4.0,4.9
202201072016,4.0,4.5
202201072116,4.0,4.5
202201072216,4.0,4.5
202201072316,4.0,4.0
202201080016,4.0,4.0
202201080216,3.0,1.8
202201080316,3.0,0.9
202201080416,4.0,1.3
202201080516,4.0,1.8
202201080616,4.0,1.3
202201080716,4.0,1.3
202201080816,4.0,0.9
202201080916,4.0,0.9
202201081016,4.0,1.3
202201081116,4.0,1.8
202201081216,4.0,1.8
202201081416,4.0,1.8
202201081516,4.0,3.1
202201081616,3.0,1.3
202201081716,2.0,1.3
202201081816,2.0,1.3
202201081916,2.0,2.7
202201082016,2.0,0.9
202201082116,2.0,2.2
202201082216,2.0,0.9
202201082316,2.0,1.8
202201090016,3.0,1.3
202201090116,3.0,1.3
202201090216,3.0,0.9
202201090316,2.0,0.9
202201090416,2.0,0.9
202201090516,2.0,1.8
202201090616,2.0,1.3
202201090716,2.0,0.9
202201090816,2.0,2.2
202201090916,2.0,1.3
202201091016,2.0,1.8
202201091116,2.0,0.9
202201091216,2.0,3.6
202201091316,2.0,2.7
202201091416,2.0,3.1
202201091516,2.0,1.8
202201091616,2.0,2.2
202201091716,2.0,1.3
202201091816,1.0,1.8
202201091916,25.0,1.8
202201092016,17.0,5.4
202201092116,7.0,4.5
202201092216,3.0,3.6
202201092316,3.0,4.0
202201100116,2.0,5.4
202201100216,2.0,3.1
202201100316,2.0,4.5
202201100416,2.0,3.1
202201100516,3.0,3.6
202201100616,3.0,2.7
202201100716,3.0,1.3
202201100916,4.0,1.8
202201101016,4.0,2.2
202201101116,4.0,2.7
