timestamp string,wind direction,wind speed
202201010122,105.0,1.3
202201010222,106.0,1.8
202201010322,104.0,1.8
202201010422,106.0,1.8
202201010522,110.0,1.8
202201010622,120.0,1.8
202201010722,119.0,1.8
202201010822,127.0,1.8
202201010922,136.0,2.2
202201011022,137.0,1.3
202201011122,136.0,1.3
202201011222,128.0,1.3
202201011322,127.0,1.3
202201011422,121.0,2.2
202201011522,125.0,2.2
202201011722,135.0,2.7
202201011822,136.0,2.7
202201011922,141.0,3.1
202201012022,257.0,2.7
202201012122,273.0,2.2
202201012222,288.0,2.2
202201020022,311.0,1.3
202201020122,19.0,1.3
202201020222,68.0,1.3
202201020322,75.0,0.9
202201020422,81.0,1.3
202201020522,,0.0
202201020622,,0.0
202201020722,,0.0
202201020822,217.0,0.4
202201020922,229.0,1.3
202201021022,216.0,0.4
202201021122,259.0,3.6
202201021222,256.0,2.2
202201021422,254.0,2.2
202201021522,260.0,3.1
202201021622,255.0,2.7
202201021722,246.0,3.6
202201021822,238.0,2.7
202201021922,253.0,2.2
202201022022,267.0,3.1
202201022122,271.0,3.1
202201022222,270.0,2.7
202201022322,273.0,2.7
202201030022,269.0,3.6
202201030122,260.0,4.0
202201030222,252.0,3.1
202201030322,253.0,3.6
202201030422,251.0,3.1
202201030522,249.0,4.0
202201030622,251.0,4.9
202201030722,247.0,4.9
202201030822,253.0,4.0
202201030922,252.0,3.6
202201031022,246.0,3.6
202201031122,268.0,3.6
202201031222,262.0,2.7
202201031322,253.0,3.1
202201031422,260.0,1.8
202201031522,266.0,1.8
202201031622,254.0,2.2
202201031722,266.0,1.3
202201031822,268.0,1.3
202201031922,257.0,1.3
202201032022,241.0,2.7
202201032122,291.0,1.3
202201032222,37.0,0.9
202201032322,41.0,0.4
202201040022,350.0,0.4
202201040122,320.0,0.4
202201040222,270.0,0.9
202201040322,168.0,0.4
202201040422,326.0,0.9
202201040522,341.0,0.9
202201040622,21.0,0.9
202201040722,66.0,1.3
202201040822,37.0,0.9
202201040922,34.0,0.4
202201041022,,0.0
202201041122,,0.0
202201041222,,0.0
202201041322,,0.0
202201041422,87.0,0.9
202201041522,91.0,1.8
202201041622,85.0,2.7
202201041722,109.0,1.8
202201041822,103.0,2.7
202201041922,99.0,2.2
202201042022,97.0,2.7
202201042122,106.0,2.7
202201042222,101.0,1.8
202201042322,104.0,1.8
202201050022,101.0,3.1
202201050122,103.0,3.1
202201050322,112.0,2.7
202201050422,115.0,2.7
202201050622,119.0,1.8
202201050722,114.0,1.8
202201050822,120.0,1.8
202201050922,116.0,2.2
202201051022,111.0,1.8
202201051122,113.0,1.8
202201051222,122.0,1.3
202201051322,125.0,1.3
202201051422,129.0,0.9
202201051522,149.0,1.3
202201051722,189.0,1.3
202201051822,188.0,1.3
202201052022,160.0,0.9
202201052122,237.0,3.1
202201052322,232.0,0.4
202201060022,,0.0
202201060122,,0.0
202201060222,,0.0
202201060322,256.0,0.9
202201060422,265.0,1.8
202201060522,278.0,0.4
202201060622,254.0,0.4
202201060722,,0.0
202201060822,294.0,0.4
202201060922,308.0,0.4
202201061022,314.0,0.9
202201061122,318.0,1.8
202201061222,305.0,1.8
202201061322,302.0,1.3
202201061422,328.0,1.8
202201061522,298.0,2.2
202201061622,276.0,2.7
202201061722,289.0,2.7
202201061822,265.0,2.2
202201062022,265.0,2.7
202201062122,268.0,2.7
202201062222,262.0,3.6
202201062322,251.0,3.6
202201070022,268.0,1.8
202201070122,262.0,1.8
202201070222,255.0,3.1
202201070322,242.0,2.2
202201070422,241.0,2.7
202201070522,262.0,3.1
202201070622,238.0,2.2
202201070722,274.0,2.2
202201070822,249.0,2.2
202201070922,253.0,1.8
202201071022,261.0,1.3
202201071122,226.0,0.9
202201071222,309.0,0.9
202201071322,282.0,0.4
202201071422,317.0,1.3
202201071522,345.0,1.8
202201071622,329.0,2.2
202201071722,24.0,1.3
202201071822,310.0,0.9
202201072022,27.0,1.3
202201072122,16.0,1.3
202201072222,42.0,1.3
202201072322,357.0,0.9
202201080022,352.0,0.4
202201080122,2.0,0.9
202201080222,10.0,1.3
202201080322,1.0,1.8
202201080422,23.0,1.3
202201080522,52.0,1.8
202201080622,56.0,1.3
202201080722,60.0,0.9
202201080822,84.0,1.3
202201080922,94.0,0.4
202201081022,90.0,1.3
202201081122,105.0,1.8
202201081222,105.0,2.2
202201081322,93.0,2.7
202201081422,87.0,2.7
202201081522,116.0,1.3
202201081622,107.0,2.7
202201081722,107.0,3.1
