timestamp string,wind direction,wind speed
202201010014,210.0,0.9
202201010114,198.0,0.9
202201010214,204.0,3.1
202201010314,209.0,3.1
202201010514,217.0,3.1
202201010614,218.0,3.6
202201010714,216.0,4.0
202201010814,221.0,3.6
202201010914,218.0,2.7
202201011014,215.0,1.8
202201011114,218.0,3.1
202201011214,217.0,4.0
202201011314,215.0,4.0
202201011414,222.0,4.0
202201011514,226.0,4.9
202201011614,234.0,6.3
202201011714,240.0,8.5
202201011814,238.0,7.2
202201011914,235.0,6.7
202201012014,228.0,5.4
202201012114,229.0,6.3
202201012214,229.0,7.2
202201012314,220.0,5.8
202201020014,231.0,4.9
202201020114,236.0,4.9
202201020214,241.0,4.5
202201020314,293.0,4.0
202201020414,10.0,2.7
202201020514,348.0,0.9
202201020614,353.0,2.2
202201020714,14.0,1.8
202201020814,0.0,2.2
202201020914,2.0,1.3
202201021014,1.0,1.8
202201021114,1.0,1.3
202201021214,29.0,4.9
202201021314,38.0,5.4
202201021414,50.0,3.6
202201021514,9.0,4.9
202201021614,11.0,4.5
202201021714,2.0,5.4
202201021814,41.0,5.8
202201021914,39.0,4.5
202201022014,19.0,3.6
202201022114,10.0,4.5
202201022214,26.0,4.5
202201022314,4.0,4.9
202201030214,2.0,4.5
202201030314,2.0,4.0
202201030414,356.0,3.6
202201030514,359.0,5.4
202201030614,3.0,4.5
202201030714,19.0,4.9
202201030814,10.0,4.0
202201030914,16.0,4.5
202201031014,14.0,5.4
202201031114,18.0,4.0
202201031214,15.0,3.6
202201031314,21.0,4.5
202201031414,33.0,4.9
202201031514,30.0,4.5
202201031614,18.0,2.7
202201031714,42.0,4.0
202201031814,30.0,3.1
202201031914,37.0,3.1
202201032014,42.0,2.7
202201032114,20.0,1.8
202201032214,10.0,1.8
202201032314,25.0,1.8
202201040114,41.0,2.7
202201040214,85.0,2.2
202201040314,91.0,1.8
202201040414,108.0,1.8
202201040514,82.0,1.3
202201040614,74.0,1.8
202201040714,97.0,1.3
202201040814,100.0,1.8
202201040914,91.0,2.2
202201041014,131.0,0.4
202201041114,,0.0
202201041214,,0.0
202201041314,,0.0
202201041514,179.0,4.0
202201041614,235.0,3.1
202201041714,224.0,3.1
202201041814,204.0,3.6
202201041914,205.0,4.0
202201042014,212.0,4.0
202201042114,215.0,4.5
202201042214,217.0,3.6
202201042314,212.0,1.8
202201050014,203.0,2.2
202201050114,208.0,3.1
202201050214,207.0,3.1
202201050314,217.0,2.7
202201050414,206.0,2.7
202201050514,220.0,1.8
202201050614,207.0,1.8
202201050714,216.0,2.2
202201050814,204.0,1.8
202201050914,212.0,2.7
202201051014,209.0,1.8
202201051114,205.0,2.2
202201051214,205.0,1.8
202201051314,203.0,1.8
202201051414,209.0,1.8
202201051514,220.0,1.8
202201051614,231.0,0.9
202201051714,307.0,1.8
202201051814,344.0,2.2
202201051914,21.0,1.3
202201052014,59.0,1.3
202201052114,21.0,0.9
202201052214,4.0,0.9
202201052314,4.0,0.4
202201060014,,0.0
202201060114,,0.0
202201060214,,0.0
202201060314,34.0,1.3
202201060414,,0.0
202201060514,85.0,0.9
202201060614,92.0,0.9
202201060714,12.0,1.8
202201060814,75.0,2.7
202201060914,88.0,2.2
202201061014,84.0,1.3
202201061114,66.0,1.3
202201061214,38.0,2.7
202201061314,49.0,4.5
202201061414,43.0,3.6
202201061514,47.0,4.0
202201061614,46.0,4.9
202201061714,32.0,5.4
202201061814,30.0,5.4
202201061914,24.0,4.5
202201062014,35.0,4.9
202201062114,38.0,4.0
202201062214,39.0,4.0
202201062314,32.0,4.5
202201070014,19.0,4.9
202201070114,50.0,6.7
202201070214,41.0,6.3
202201070314,33.0,3.1
202201070414,31.0,4.0
202201070514,23.0,4.0
202201070714,36.0,3.6
202201070814,27.0,4.5
202201070914,32.0,3.1
202201071014,50.0,3.6
202201071114,79.0,2.7
202201071214,76.0,2.7
202201071314,81.0,3.1
202201071414,66.0,3.6
202201071514,65.0,3.1
202201071614,71.0,3.6
202201071714,49.0,2.7
202201071814,74.0,2.2
202201071914,60.0,1.3
202201072014,44.0,1.3
202201072114,9.0,0.9
202201072214,29.0,1.3
202201072314,24.0,0.4
202201080014,,0.0
202201080114,,0.0
202201080214,,0.0
202201080314,,0.0
202201080414,147.0,0.4
202201080514,,0.0
202201080614,,0.0
202201080714,,0.0
202201080814,,0.0
202201080914,,0.0
202201081014,200.0,1.3
202201081114,190.0,1.8
202201081314,192.0,1.8
202201081514,189.0,3.6
202201081614,194.0,4.5
202201081714,198.0,4.5
202201081814,206.0,4.9
202201081914,184.0,5.4
202201082014,193.0,4.9
202201082114,181.0,3.6
202201082214,185.0,3.6
202201082314,190.0,4.0
202201090014,203.0,4.5
202201090114,196.0,4.0
202201090214,196.0,4.0
202201090314,198.0,4.9
202201090414,203.0,5.4
202201090514,200.0,4.5
202201090614,206.0,4.9
202201090714,204.0,4.5
202201090814,206.0,4.5
202201090914,210.0,4.9
202201091014,214.0,4.5
202201091114,198.0,4.5
202201091214,211.0,4.0
202201091314,218.0,5.4
202201091414,214.0,4.9
202201091514,217.0,5.4
202201091614,224.0,4.9
202201091714,220.0,4.5
202201091814,224.0,2.2
