timestamp string,wind direction,wind speed
202201010016,335.0,0.9
202201010116,,0.0
202201010216,345.0,0.9
202201010316,,0.0
202201010416,,0.0
202201010516,,0.0
202201010616,340.0,0.4
202201010716,184.0,0.4
202201010816,236.0,0.4
202201010916,220.0,1.3
202201011016,216.0,0.4
202201011116,223.0,0.4
202201011216,235.0,0.4
202201011316,243.0,0.9
202201011416,241.0,0.9
202201011516,227.0,1.3
202201011616,231.0,2.2
202201011716,231.0,1.8
202201011816,234.0,1.8
202201011916,224.0,1.8
202201012016,220.0,2.2
202201012116,200.0,1.8
202201012216,205.0,1.8
202201012316,217.0,1.3
202201020016,224.0,0.9
202201020116,192.0,1.3
202201020216,230.0,1.3
202201020316,246.0,0.9
202201020416,209.0,2.2
202201020516,224.0,1.3
202201020616,198.0,1.3
202201020716,224.0,1.3
202201020816,317.0,3.6
202201020916,314.0,3.6
202201021116,314.0,3.6
202201021216,305.0,0.4
202201021316,288.0,0.9
202201021416,278.0,0.4
202201021616,,0.0
202201021716,318.0,0.4
202201021816,321.0,0.9
202201021916,322.0,0.4
202201022016,100.0,0.4
202201022116,316.0,0.9
202201022216,322.0,2.2
202201022316,319.0,2.2
202201030016,335.0,1.3
202201030116,347.0,1.8
202201030216,339.0,0.9
202201030316,,0.0
202201030416,103.0,0.4
202201030516,36.0,0.9
202201030616,43.0,0.9
202201030716,42.0,1.3
202201030816,19.0,1.3
202201030916,339.0,3.6
202201031016,322.0,5.4
202201031116,319.0,6.7
202201031216,318.0,5.4
202201031316,323.0,4.9
202201031416,326.0,5.4
202201031516,329.0,3.6
202201031616,320.0,4.0
202201031716,318.0,4.9
202201031816,318.0,6.7
202201031916,327.0,5.4
202201032016,326.0,4.5
202201032116,342.0,3.6
202201032216,334.0,4.0
202201032316,320.0,6.3
202201040016,322.0,5.8
202201040116,332.0,5.4
202201040216,331.0,5.4
202201040316,339.0,4.9
202201040416,330.0,3.6
202201040516,315.0,1.3
202201040616,349.0,1.3
202201040716,2.0,0.9
202201040816,,0.0
202201040916,,0.0
202201041016,,0.0
202201041116,,0.0
202201041216,128.0,0.4
202201041316,131.0,0.4
202201041416,,0.0
202201041516,175.0,0.4
202201041616,236.0,0.4
202201041716,143.0,0.9
202201041816,266.0,0.4
202201041916,225.0,0.4
202201042016,233.0,0.9
202201042116,,0.0
202201042216,,0.0
202201042316,,0.0
202201050016,222.0,0.4
202201050116,,0.0
202201050216,190.0,0.9
202201050316,174.0,0.9
202201050416,164.0,0.4
202201050516,177.0,0.9
202201050616,179.0,0.9
202201050716,157.0,0.4
202201050816,161.0,0.4
202201050916,176.0,0.4
202201051016,332.0,0.4
202201051116,333.0,0.9
202201051216,347.0,0.4
202201051316,326.0,0.4
202201051516,240.0,0.9
202201051616,279.0,0.4
202201051716,270.0,1.3
202201051816,249.0,1.3
202201051916,252.0,0.9
202201052016,294.0,1.3
202201052116,320.0,1.8
202201052216,317.0,1.3
202201052316,21.0,0.4
202201060016,302.0,1.3
202201060116,327.0,0.4
202201060216,300.0,1.8
202201060316,311.0,3.1
202201060416,319.0,5.4
202201060516,329.0,4.5
202201060616,335.0,3.1
202201060716,304.0,2.7
202201060916,310.0,5.4
202201061016,324.0,3.6
202201061116,323.0,4.9
202201061216,319.0,4.9
202201061316,350.0,2.2
202201061416,315.0,1.8
202201061516,325.0,2.2
202201061616,200.0,0.9
202201061716,220.0,0.4
202201061816,,0.0
202201061916,,0.0
202201062016,123.0,0.4
202201062116,206.0,1.8
202201062216,186.0,0.9
202201062316,211.0,1.3
202201070016,247.0,1.3
202201070116,286.0,2.2
202201070216,318.0,5.8
202201070316,321.0,5.8
202201070616,311.0,3.6
202201070716,323.0,4.5
202201070816,317.0,4.5
202201070916,326.0,4.5
202201071016,321.0,4.0
202201071116,320.0,4.0
202201071216,318.0,4.9
202201071316,315.0,3.6
202201071416,312.0,4.0
202201071516,318.0,5.4
202201071716,321.0,4.9
202201071816,317.0,4.5
202201071916,321.0,4.5
202201072016,323.0,4.5
202201072116,313.0,4.0
202201072216,308.0,4.0
202201072316,312.0,4.0
202201080016,316.0,3.1
202201080116,313.0,1.8
202201080216,336.0,1.8
202201080316,350.0,2.7
202201080416,,0.0
202201080516,345.0,1.3
202201080616,109.0,0.9
202201080716,,0.0
202201080816,,0.0
202201080916,124.0,0.4
202201081016,,0.0
202201081116,,0.0
202201081216,,0.0
202201081316,130.0,0.4
202201081416,,0.0
202201081516,196.0,0.4
202201081716,261.0,0.9
202201081816,186.0,0.9
202201081916,193.0,0.9
202201082016,50.0,0.4
202201082216,,0.0
202201082316,,0.0
202201090016,,0.0
202201090116,,0.0
202201090216,176.0,0.4
202201090316,174.0,0.9
202201090416,186.0,0.4
202201090516,254.0,0.4
202201090616,285.0,0.4
202201090816,,0.0
202201090916,205.0,1.8
202201091016,220.0,1.3
202201091116,232.0,0.9
202201091216,222.0,0.9
202201091316,214.0,0.9
202201091516,258.0,0.4
202201091616,239.0,0.9
202201091716,236.0,0.9
202201091816,230.0,0.9
202201091916,262.0,0.9
202201092116,301.0,0.9
202201092216,317.0,4.0
202201092316,311.0,3.6
202201100016,316.0,2.7
202201100116,323.0,2.7
202201100216,328.0,4.0
202201100316,322.0,3.6
202201100516,322.0,4.5
202201100616,318.0,5.4
202201100716,330.0,3.6
202201100816,326.0,4.0
202201100916,323.0,4.0
202201101016,324.0,3.1
202201101116,338.0,3.6
202201101216,327.0,4.5
202201101316,325.0,4.9
202201101416,321.0,4.5
202201101516,319.0,4.5
202201101616,319.0,4.0
202201101716,320.0,4.9
202201101816,314.0,4.5
202201101916,317.0,4.0
202201102016,313.0,4.9
202201102116,326.0,4.9
202201102216,321.0,4.0
202201102316,319.0,4.5
202201110116,305.0,4.5
202201110216,313.0,2.2
202201110316,326.0,2.7
202201110416,325.0,3.1
202201110516,328.0,4.9
202201110616,314.0,5.4
202201110716,320.0,4.9
202201110816,319.0,6.3
202201110916,322.0,4.0
202201111016,315.0,2.7
202201111116,318.0,3.6
202201111216,336.0,2.7
202201111316,328.0,2.7
202201111416,324.0,3.6
202201111516,344.0,1.8
202201111616,343.0,1.3
202201111716,220.0,0.9
202201111816,313.0,0.9
202201111916,250.0,0.9
202201112016,239.0,0.9
202201112116,197.0,0.9
202201112216,,0.0
202201112316,,0.0
202201120016,164.0,0.4
202201120116,,0.0
202201120216,220.0,0.9
