timestamp string,wind direction,wind speed
202201010002,196.0,0.9
202201010102,204.0,0.9
202201010202,192.0,0.4
202201010302,,0.0
202201010402,206.0,0.9
202201010502,204.0,1.3
202201010602,210.0,1.3
202201010702,212.0,0.9
202201010802,211.0,0.9
202201010902,209.0,1.3
202201011002,219.0,1.3
202201011102,216.0,0.9
202201011202,222.0,0.9
202201011302,211.0,1.3
202201011402,222.0,0.9
202201011502,224.0,0.9
202201011702,213.0,1.3
202201011802,236.0,1.8
202201011902,236.0,1.8
202201012002,214.0,1.8
202201012102,233.0,1.3
202201012202,217.0,1.3
202201012302,205.0,1.8
202201020002,196.0,2.2
202201020102,210.0,1.8
202201020202,211.0,2.2
202201020302,214.0,2.7
202201020402,218.0,2.2
202201020502,224.0,1.8
202201020602,224.0,1.3
202201020702,221.0,2.2
202201020802,219.0,1.8
202201020902,224.0,2.2
202201021002,227.0,1.8
202201021102,225.0,1.3
202201021202,285.0,0.9
202201021302,112.0,0.4
202201021402,212.0,0.4
202201021502,225.0,0.4
202201021602,187.0,1.3
202201021702,,0.0
202201021802,223.0,0.4
202201021902,183.0,1.8
202201022002,194.0,0.4
202201022102,,0.0
202201022202,324.0,0.4
202201022302,359.0,0.4
202201030002,154.0,0.4
202201030102,,0.0
202201030202,119.0,0.4
202201030302,109.0,0.4
202201030402,,0.0
202201030502,305.0,1.8
202201030602,304.0,1.8
202201030702,287.0,2.2
202201030802,290.0,2.7
202201030902,286.0,2.7
202201031002,295.0,2.7
202201031102,296.0,3.1
202201031202,300.0,2.7
202201031302,304.0,3.1
202201031402,304.0,2.7
202201031502,317.0,2.7
202201031602,315.0,1.3
202201031702,330.0,1.8
202201031802,323.0,1.8
202201031902,319.0,2.7
202201032002,306.0,1.8
202201032102,315.0,1.8
202201032202,341.0,1.3
202201032302,323.0,1.3
202201040002,338.0,0.9
202201040202,22.0,1.3
202201040302,347.0,0.4
202201040402,358.0,0.4
202201040502,13.0,0.4
202201040602,,0.0
202201040702,,0.0
202201040802,324.0,0.4
202201040902,37.0,1.3
202201041002,23.0,1.3
202201041102,24.0,0.4
202201041202,31.0,0.4
202201041302,,0.0
202201041402,57.0,0.9
202201041502,98.0,1.3
202201041602,135.0,0.9
202201041702,155.0,2.2
202201041802,139.0,1.3
202201041902,139.0,1.8
202201042002,129.0,1.8
202201042102,155.0,1.3
202201042202,177.0,1.3
202201042302,157.0,0.9
202201050102,117.0,0.4
202201050202,,0.0
202201050302,117.0,0.4
202201050402,118.0,0.9
202201050502,136.0,0.4
202201050602,,0.0
202201050702,174.0,0.4
202201050802,157.0,0.4
202201050902,,0.0
202201051002,,0.0
202201051102,,0.0
202201051202,,0.0
202201051302,,0.0
202201051402,,0.0
202201051502,,0.0
202201051602,,0.0
202201051702,,0.0
202201051802,297.0,0.9
202201051902,280.0,0.4
202201052002,260.0,0.4
202201052102,297.0,0.9
202201052202,265.0,0.4
202201052302,328.0,0.4
202201060002,,0.0
202201060102,,0.0
202201060202,,0.0
202201060302,,0.0
202201060402,,0.0
202201060602,,0.0
202201060802,,0.0
202201060902,,0.0
202201061002,,0.0
202201061102,,0.0
202201061202,,0.0
202201061302,106.0,0.4
202201061402,63.0,0.4
202201061502,,0.0
202201061602,163.0,0.4
202201061702,172.0,0.9
202201061802,193.0,1.3
202201061902,204.0,3.1
202201062002,211.0,2.2
202201062202,251.0,0.9
202201062302,,0.0
202201070002,291.0,1.3
202201070102,297.0,1.8
202201070202,295.0,1.3
202201070302,298.0,1.8
202201070402,304.0,1.8
202201070602,335.0,1.8
202201070702,320.0,1.3
202201070802,7.0,1.3
202201070902,,0.0
202201071002,305.0,0.4
202201071102,302.0,0.9
202201071202,332.0,0.4
202201071302,323.0,0.4
202201071402,310.0,0.9
202201071502,332.0,1.3
202201071602,1.0,1.3
202201071702,338.0,1.3
202201071802,16.0,1.8
202201071902,23.0,1.8
202201072002,15.0,1.8
202201072102,336.0,0.4
202201072202,42.0,0.9
202201080002,,0.0
202201080102,,0.0
202201080202,21.0,1.3
202201080302,27.0,1.3
202201080402,35.0,1.8
202201080502,43.0,1.3
202201080602,14.0,0.4
202201080702,23.0,0.9
202201080802,23.0,0.9
202201080902,18.0,0.9
