timestamp string,wind direction,wind speed
202201010006,1.0,1.3
202201010106,10.0,1.3
202201010206,11.0,1.3
202201010306,7.0,1.8
202201010406,5.0,1.8
202201010506,359.0,1.8
202201010606,12.0,2.2
202201010706,3.0,3.6
202201010806,3.0,3.6
202201010906,16.0,2.2
202201011006,24.0,2.7
202201011106,24.0,2.7
202201011206,13.0,2.7
202201011306,11.0,2.2
202201011406,,3.1
202201011506,12.0,2.7
202201011606,6.0,3.1
202201011706,16.0,3.1
202201011806,18.0,2.7
202201011906,18.0,2.7
202201012006,33.0,2.2
202201012106,19.0,2.2
202201012206,20.0,2.7
202201012306,356.0,3.1
202201020006,356.0,4.0
202201020106,355.0,3.1
202201020206,52.0,3.1
202201020306,153.0,2.7
202201020406,149.0,1.3
202201020506,156.0,2.2
202201020706,,0.0
202201020806,320.0,1.8
202201020906,92.0,0.4
202201021006,116.0,2.2
202201021106,175.0,0.4
202201021206,120.0,0.4
202201021306,108.0,0.4
202201021406,104.0,0.4
202201021506,119.0,0.9
202201021606,54.0,0.4
202201021706,39.0,0.4
202201021806,99.0,2.2
202201021906,142.0,2.7
202201022006,152.0,3.1
202201022106,150.0,3.1
202201022206,167.0,1.8
202201022306,147.0,0.9
202201030006,158.0,2.7
202201030106,237.0,0.9
202201030206,159.0,1.3
202201030306,147.0,2.7
202201030406,145.0,3.1
202201030506,139.0,4.0
202201030606,143.0,4.0
202201030706,144.0,4.5
202201030806,148.0,4.5
202201030906,143.0,3.1
202201031006,145.0,4.0
202201031106,142.0,4.5
202201031206,147.0,3.6
202201031306,149.0,4.5
202201031406,148.0,3.6
202201031506,152.0,2.2
202201031606,164.0,1.8
202201031706,156.0,1.8
202201031806,150.0,1.3
202201031906,154.0,1.8
202201032006,151.0,0.9
202201032106,162.0,0.4
202201032206,158.0,0.9
202201032306,164.0,0.9
202201040006,172.0,0.4
202201040206,169.0,0.4
202201040306,141.0,0.9
202201040406,146.0,0.9
202201040506,,0.0
202201040606,238.0,1.3
202201040706,180.0,0.4
202201040806,240.0,1.3
202201040906,243.0,1.8
202201041006,280.0,2.2
202201041106,266.0,1.8
202201041206,302.0,1.8
202201041306,293.0,1.8
202201041406,310.0,1.8
202201041506,318.0,2.7
202201041606,304.0,2.7
202201041706,313.0,1.8
202201041806,334.0,2.2
202201041906,331.0,3.1
202201042006,339.0,3.1
202201042106,334.0,2.7
202201042206,334.0,3.1
202201042306,335.0,2.2
202201050006,330.0,2.7
202201050106,336.0,3.1
202201050206,337.0,3.1
202201050306,332.0,3.6
202201050506,340.0,2.7
202201050606,330.0,2.7
202201050706,321.0,2.2
202201050806,342.0,1.8
202201050906,1.0,2.2
202201051006,1.0,2.2
202201051106,357.0,1.8
202201051206,,2.2
202201051306,3.0,1.3
202201051406,10.0,0.9
202201051506,357.0,1.8
202201051606,32.0,0.9
202201051706,31.0,1.3
202201051806,72.0,1.8
202201051906,37.0,1.3
202201052006,28.0,1.3
202201052106,66.0,0.9
202201052206,16.0,0.9
202201052306,,0.0
202201060006,,0.0
202201060106,63.0,0.9
202201060206,86.0,1.3
202201060306,87.0,0.4
202201060406,143.0,0.4
202201060506,137.0,1.3
202201060606,146.0,1.8
202201060706,157.0,0.9
202201060806,164.0,0.4
202201060906,,0.0
202201061006,245.0,1.3
202201061106,250.0,1.3
202201061206,228.0,1.3
202201061306,216.0,0.9
202201061406,166.0,1.3
202201061506,195.0,1.3
202201061606,293.0,1.3
202201061706,284.0,2.2
202201061806,288.0,1.3
202201061906,162.0,1.3
202201062006,148.0,2.2
202201062106,153.0,1.8
202201062206,148.0,1.3
202201062306,154.0,1.3
202201070006,153.0,1.8
202201070106,164.0,1.3
202201070206,196.0,0.4
202201070306,137.0,0.9
202201070406,163.0,0.9
202201070506,141.0,1.8
202201070606,145.0,1.8
202201070806,140.0,1.8
202201070906,143.0,1.3
202201071006,152.0,1.8
202201071106,121.0,1.3
202201071206,138.0,0.9
202201071306,143.0,0.9
202201071406,142.0,0.9
202201071506,147.0,1.8
202201071606,161.0,1.8
202201071706,172.0,0.9
202201071806,232.0,0.9
202201071906,189.0,0.9
202201072006,332.0,1.3
202201072106,101.0,0.4
202201072206,311.0,0.9
202201072306,303.0,0.4
202201080006,251.0,0.9
202201080106,261.0,0.9
202201080206,204.0,0.9
202201080306,238.0,0.9
202201080406,253.0,0.9
202201080506,265.0,1.8
202201080606,256.0,2.2
202201080706,272.0,1.8
202201080806,246.0,1.8
202201080906,267.0,1.8
202201081006,280.0,2.2
202201081106,279.0,1.8
202201081206,299.0,2.7
202201081306,304.0,2.2
202201081406,300.0,2.7
202201081506,304.0,2.7
202201081606,304.0,3.6
202201081706,297.0,3.1
202201081906,309.0,3.1
202201082006,319.0,3.1
202201082106,318.0,3.6
202201082206,329.0,2.7
202201082306,318.0,4.0
202201090006,317.0,3.6
202201090106,314.0,4.5
202201090206,320.0,3.6
202201090306,318.0,4.5
202201090406,323.0,4.0
202201090506,321.0,4.5
202201090606,322.0,3.6
202201090706,320.0,4.0
202201090806,325.0,4.0
202201090906,325.0,3.6
202201091006,310.0,4.0
202201091106,306.0,3.6
202201091206,309.0,3.6
202201091306,304.0,3.1
202201091406,296.0,3.6
202201091506,300.0,3.6
202201091606,305.0,2.2
202201091706,308.0,2.2
202201091806,319.0,1.8
202201091906,1.0,1.3
202201092006,106.0,2.2
