timestamp string,wind direction,wind speed
202201010012,201.0,2.7
202201010112,208.0,2.7
202201010212,219.0,2.2
202201010312,234.0,1.8
202201010412,220.0,2.2
202201010512,238.0,2.2
202201010612,248.0,2.2
202201010712,226.0,1.8
202201010812,204.0,2.2
202201010912,209.0,1.3
202201011112,193.0,0.9
202201011312,207.0,0.9
202201011412,179.0,0.9
202201011512,118.0,0.9
202201011612,217.0,0.9
202201011712,176.0,0.9
202201011812,105.0,0.9
202201011912,14.0,1.3
202201012012,38.0,1.8
202201012112,24.0,1.3
202201012212,354.0,1.3
202201012312,75.0,0.9
202201020012,179.0,0.9
202201020112,213.0,0.9
202201020212,194.0,2.2
202201020412,179.0,2.2
202201020512,227.0,1.8
202201020612,225.0,0.4
202201020712,237.0,0.9
202201020812,257.0,0.9
202201020912,239.0,1.8
202201021012,241.0,1.3
202201021112,236.0,1.3
202201021212,15.0,0.4
202201021312,344.0,0.9
202201021412,342.0,1.3
202201021512,9.0,1.3
202201021612,319.0,1.8
202201021712,322.0,1.3
202201021912,303.0,1.3
202201022012,330.0,2.7
202201022112,348.0,2.7
202201022212,352.0,1.3
202201022312,9.0,0.9
202201030012,16.0,0.9
202201030112,6.0,1.3
202201030212,20.0,1.3
202201030312,38.0,1.3
202201030412,32.0,1.8
202201030512,41.0,2.2
202201030612,46.0,2.7
202201030712,40.0,2.2
202201030812,48.0,2.2
202201030912,42.0,1.8
202201031012,29.0,1.8
202201031112,26.0,2.2
202201031212,8.0,1.8
202201031312,15.0,2.2
202201031412,350.0,2.2
202201031512,356.0,1.8
202201031612,348.0,1.3
202201031712,326.0,1.3
202201031812,356.0,1.3
202201031912,320.0,1.3
202201032012,337.0,1.3
202201032312,,0.0
202201040012,,0.0
202201040112,,0.0
202201040212,,0.0
202201040312,,0.0
202201040412,,0.0
202201040512,,0.0
202201040612,,0.0
202201040712,125.0,0.9
202201040812,,0.0
202201040912,,0.0
202201041012,,0.0
202201041212,163.0,0.4
202201041312,183.0,1.3
202201041512,177.0,1.8
202201041612,193.0,2.2
202201041712,120.0,1.3
202201041812,128.0,1.3
202201041912,143.0,1.3
202201042112,173.0,1.3
202201042212,190.0,1.8
202201042312,189.0,1.3
202201050012,191.0,1.8
202201050112,186.0,1.8
202201050212,185.0,1.8
202201050312,202.0,2.2
202201050412,196.0,2.2
202201050512,203.0,2.2
202201050612,206.0,2.7
202201050812,210.0,3.1
202201050912,216.0,2.7
202201051012,217.0,2.7
202201051112,236.0,3.6
202201051212,231.0,3.1
202201051312,233.0,3.1
202201051412,229.0,3.1
202201051512,236.0,3.1
202201051612,245.0,4.0
202201051712,245.0,4.0
202201051812,241.0,3.1
202201052012,251.0,3.1
202201052112,252.0,3.6
202201052212,253.0,3.1
202201052312,248.0,3.1
202201060012,256.0,3.1
202201060112,254.0,3.6
202201060212,257.0,3.6
202201060312,259.0,2.2
202201060512,274.0,2.2
202201060612,278.0,1.8
202201060712,267.0,1.3
202201060812,295.0,0.9
202201060912,276.0,0.9
202201061012,273.0,0.9
202201061212,325.0,0.4
202201061312,,0.0
202201061412,358.0,0.4
202201061512,348.0,1.3
202201061612,,0.0
202201061712,27.0,0.4
202201061812,249.0,0.9
202201061912,272.0,0.9
202201062012,,0.0
202201062212,336.0,0.9
202201070012,304.0,0.9
202201070112,277.0,1.3
202201070212,277.0,1.3
202201070312,287.0,0.9
202201070412,282.0,1.3
202201070512,282.0,1.3
202201070612,276.0,0.9
202201070712,290.0,0.9
202201070812,293.0,1.3
202201070912,287.0,1.3
202201071012,280.0,1.8
202201071112,257.0,1.3
202201071212,267.0,1.3
202201071312,267.0,0.9
202201071412,299.0,1.3
202201071512,264.0,1.3
202201071612,255.0,2.2
202201071712,246.0,2.2
202201071812,245.0,2.2
202201071912,250.0,2.2
202201072012,245.0,1.3
202201072112,235.0,1.8
202201072212,258.0,1.8
202201072312,263.0,1.3
202201080012,252.0,0.9
202201080112,275.0,0.4
202201080212,,0.0
202201080312,,0.0
202201080412,,0.0
202201080512,111.0,0.9
202201080612,177.0,0.4
202201080712,,0.0
202201080812,120.0,0.9
202201080912,100.0,1.3
202201081012,107.0,1.3
202201081112,80.0,1.8
202201081212,86.0,1.3
202201081312,90.0,1.8
202201081412,94.0,1.8
202201081512,112.0,1.8
202201081612,122.0,1.3
202201081712,174.0,1.8
202201081812,192.0,1.8
202201081912,146.0,1.3
202201082012,194.0,2.2
202201082112,187.0,1.8
202201082212,135.0,0.9
202201082312,104.0,0.4
202201090012,135.0,0.9
202201090112,156.0,1.3
202201090212,184.0,1.8
202201090312,202.0,2.2
202201090412,241.0,1.8
202201090512,218.0,2.2
202201090612,206.0,3.1
202201090712,201.0,2.7
202201090812,215.0,2.7
202201090912,209.0,2.7
202201091012,220.0,2.2
202201091112,221.0,2.2
202201091212,210.0,2.7
202201091312,285.0,0.9
202201091412,219.0,1.8
202201091612,207.0,1.3
202201091712,239.0,1.3
202201092012,316.0,2.2
202201092112,317.0,2.2
202201092212,330.0,3.1
202201092312,279.0,1.8
202201100012,318.0,2.2
202201100112,320.0,1.8
202201100212,331.0,1.3
202201100312,327.0,1.3
202201100412,310.0,1.3
202201100512,315.0,1.3
202201100612,333.0,1.3
202201100712,266.0,0.9
202201100812,257.0,0.9
202201100912,256.0,1.3
202201101012,260.0,1.3
202201101112,266.0,1.3
202201101212,269.0,1.8
202201101312,282.0,0.9
202201101412,266.0,1.3
202201101512,258.0,2.2
202201101612,266.0,2.2
202201101712,275.0,1.8
202201101812,273.0,1.8
202201101912,238.0,1.8
202201102012,255.0,2.2
202201102112,255.0,1.8
202201102212,272.0,1.8
202201110012,280.0,1.3
202201110112,321.0,1.8
202201110212,270.0,1.3
202201110312,309.0,1.3
202201110412,273.0,0.9
202201110512,276.0,0.9
202201110712,344.0,2.2
202201110912,8.0,0.9
202201111012,32.0,0.9
202201111112,12.0,0.4
202201111212,,0.0
202201111312,,0.0
202201111412,58.0,1.8
202201111512,41.0,0.9
202201111612,179.0,1.8
202201111812,242.0,2.2
202201111912,209.0,2.2
202201112012,239.0,1.8
202201112112,204.0,1.8
202201112212,213.0,0.9
202201112312,185.0,0.9
202201120112,210.0,1.8
202201120212,204.0,2.2
202201120312,208.0,2.7
202201120412,210.0,2.7
202201120512,213.0,2.7
202201120612,243.0,1.8
202201120712,227.0,2.7
202201120812,223.0,1.8
202201120912,238.0,1.8
202201121112,216.0,2.2
202201121212,234.0,2.2
202201121312,233.0,1.8
202201121412,236.0,2.2
202201121512,236.0,2.2
202201121612,231.0,2.2
202201121712,250.0,2.7
202201121812,249.0,2.7
202201121912,249.0,2.2
202201122012,244.0,2.2
202201122112,248.0,1.8
202201122212,264.0,1.8
202201122312,,0.0
202201130012,,0.0
202201130212,243.0,1.3
202201130312,245.0,1.8
202201130412,216.0,1.3
202201130512,227.0,1.3
202201130612,216.0,1.3
202201130712,210.0,1.8
202201130812,199.0,1.8
202201130912,201.0,2.2
202201131012,203.0,1.8
202201131112,192.0,1.8
202201131212,210.0,1.8
202201131312,202.0,1.8
202201131412,190.0,1.8
202201131512,197.0,1.8
202201131612,216.0,1.8
202201131712,247.0,2.2
202201131812,252.0,1.8
202201131912,234.0,1.8
202201132012,253.0,1.3
202201132112,304.0,0.9
202201132212,279.0,1.3
202201132312,334.0,1.3
202201140012,346.0,1.3
202201140112,358.0,1.3
202201140212,2.0,1.3
202201140412,2.0,1.3
202201140512,342.0,1.3
202201140612,340.0,1.3
202201140712,26.0,0.9
202201140812,348.0,1.3
202201140912,349.0,1.3
202201141012,352.0,1.3
202201141112,18.0,1.3
202201141212,36.0,1.3
202201141312,29.0,1.3
202201141412,356.0,1.3
202201141512,29.0,1.3
202201141612,359.0,1.3
202201141712,15.0,0.9
202201141812,4.0,1.3
202201141912,33.0,0.9
202201142012,324.0,1.3
202201142112,20.0,0.9
202201142212,6.0,0.9
202201142312,47.0,0.9
202201150012,52.0,1.3
202201150112,56.0,0.9
202201150212,,0.0
202201150312,1.0,0.4
202201150412,56.0,0.9
202201150512,352.0,0.9
202201150612,30.0,0.9
202201150712,41.0,1.3
202201150812,54.0,1.8
202201150912,58.0,2.2
202201151012,59.0,1.8
202201151112,55.0,2.2
202201151212,44.0,1.3
202201151312,48.0,1.8
202201151412,41.0,1.3
202201151512,65.0,2.2
202201151612,70.0,2.7
