timestamp string,wind direction,wind speed
202201010014,86.0,0.9
202201010114,81.0,1.3
202201010214,69.0,1.3
202201010314,76.0,1.3
202201010414,74.0,1.3
202201010514,87.0,1.3
202201010614,129.0,1.3
202201010714,124.0,1.3
202201010914,205.0,0.9
202201011014,358.0,0.9
202201011114,79.0,1.3
202201011214,245.0,1.8
202201011314,289.0,1.3
202201011414,272.0,2.2
202201011514,275.0,2.7
202201011614,259.0,2.7
202201011814,241.0,3.6
202201011914,236.0,3.6
202201012014,243.0,3.1
202201012114,269.0,2.7
202201012214,258.0,2.2
202201012314,10.0,2.2
202201020014,331.0,1.8
202201020114,330.0,2.7
202201020214,287.0,2.7
202201020314,260.0,3.1
202201020414,269.0,3.1
202201020514,246.0,4.5
202201020614,260.0,3.6
202201020714,261.0,3.6
202201020814,288.0,3.1
202201020914,292.0,3.6
202201021014,293.0,1.8
202201021114,301.0,1.3
202201021214,241.0,0.4
202201021414,324.0,0.9
202201021514,282.0,1.8
202201021614,199.0,0.9
202201021714,130.0,1.8
202201021814,134.0,2.2
202201021914,305.0,1.3
202201022014,312.0,1.3
202201022114,303.0,1.3
202201022214,58.0,0.4
202201022314,311.0,2.2
202201030014,321.0,1.3
202201030114,276.0,2.2
202201030214,289.0,3.6
202201030314,290.0,5.8
202201030414,290.0,4.5
202201030514,290.0,5.4
202201030614,294.0,5.8
202201030714,287.0,6.7
202201030814,292.0,5.8
202201031014,291.0,4.5
202201031114,294.0,4.0
202201031214,292.0,6.3
202201031314,290.0,5.8
202201031514,294.0,4.0
202201031614,294.0,4.5
202201031714,307.0,3.1
202201031814,307.0,2.7
202201032014,311.0,2.7
202201032114,300.0,2.7
202201032214,305.0,2.7
202201032314,317.0,1.8
202201040014,326.0,1.3
202201040114,293.0,1.3
202201040214,265.0,1.8
202201040314,266.0,2.2
202201040414,275.0,2.2
202201040514,276.0,2.2
202201040614,270.0,1.8
202201040714,271.0,0.4
202201040814,268.0,0.4
202201040914,65.0,0.4
202201041014,102.0,0.9
202201041114,98.0,2.7
202201041214,104.0,3.1
202201041314,100.0,3.1
202201041414,102.0,3.1
202201041514,103.0,2.7
202201041614,101.0,3.6
202201041714,103.0,4.0
202201041814,110.0,4.0
202201041914,103.0,2.7
202201042014,113.0,2.2
202201042114,104.0,3.1
202201042214,105.0,2.7
202201042314,90.0,1.3
202201050014,88.0,1.8
202201050114,104.0,1.3
202201050214,81.0,2.7
202201050314,87.0,2.2
202201050514,73.0,0.9
202201050614,80.0,1.8
202201050714,240.0,0.4
202201050814,128.0,0.4
202201050914,195.0,0.4
202201051014,68.0,0.4
202201051114,102.0,0.9
202201051214,112.0,1.3
202201051314,97.0,0.9
202201051414,81.0,1.3
202201051514,103.0,1.3
202201051614,305.0,1.3
202201051714,289.0,1.8
202201051814,280.0,1.8
202201051914,259.0,2.2
202201052014,282.0,1.8
202201052114,251.0,1.8
202201052214,272.0,1.3
202201052314,100.0,0.4
202201060014,104.0,0.9
202201060114,104.0,0.9
202201060214,98.0,1.3
202201060314,94.0,1.3
202201060514,93.0,1.3
202201060614,102.0,1.3
202201060714,93.0,1.3
202201060814,98.0,1.3
202201060914,95.0,1.8
202201061014,91.0,2.2
202201061114,101.0,3.6
202201061214,266.0,0.9
202201061314,81.0,2.2
202201061414,104.0,3.1
202201061514,89.0,2.7
202201061614,332.0,0.4
202201061714,11.0,1.3
202201061814,151.0,2.2
202201061914,299.0,2.7
202201062014,269.0,1.3
202201062114,283.0,4.0
202201062214,284.0,3.6
202201062314,296.0,4.9
202201070014,296.0,3.1
202201070114,290.0,3.1
202201070214,272.0,2.7
202201070314,292.0,4.0
202201070414,306.0,3.6
202201070514,298.0,2.7
202201070614,299.0,2.7
202201070714,284.0,3.6
202201070814,288.0,2.7
202201070914,286.0,2.7
202201071014,289.0,2.7
202201071114,298.0,2.7
202201071214,294.0,2.7
202201071314,300.0,2.7
202201071414,315.0,2.2
202201071514,309.0,2.2
202201071614,300.0,3.1
202201071714,311.0,2.7
202201071814,301.0,1.3
202201071914,251.0,1.8
202201072014,305.0,1.8
202201072114,281.0,2.2
202201072214,270.0,0.9
202201072314,,0.0
202201080114,130.0,0.9
202201080214,114.0,2.2
202201080314,114.0,1.8
202201080414,115.0,2.2
202201080514,115.0,1.8
202201080614,108.0,2.2
202201080714,108.0,2.2
202201080814,112.0,2.7
202201080914,110.0,2.2
202201081114,107.0,2.7
202201081214,109.0,2.7
202201081314,106.0,3.1
202201081414,106.0,3.6
202201081514,107.0,4.9
202201081714,100.0,4.0
202201081814,98.0,3.1
202201081914,115.0,4.9
202201082014,107.0,3.6
202201082114,100.0,3.6
202201082214,105.0,4.0
202201082314,99.0,3.1
202201090014,97.0,2.7
202201090114,103.0,3.1
202201090214,96.0,3.6
202201090314,93.0,4.5
202201090414,100.0,4.9
202201090514,101.0,4.9
202201090614,101.0,4.5
202201090714,101.0,3.6
202201090814,90.0,2.7
202201090914,100.0,1.8
202201091014,105.0,1.8
202201091114,105.0,3.1
202201091214,94.0,4.5
202201091314,96.0,4.5
202201091414,96.0,3.1
202201091514,93.0,4.0
202201091714,91.0,2.7
202201091814,84.0,2.7
202201091914,56.0,1.8
202201092014,320.0,1.3
202201092114,282.0,1.3
202201092214,299.0,0.9
202201092314,326.0,0.9
202201100014,316.0,0.4
202201100114,300.0,0.9
202201100214,320.0,1.8
202201100314,295.0,3.6
202201100414,12.0,1.8
202201100514,321.0,1.8
202201100614,312.0,2.2
202201100714,306.0,1.8
202201100814,315.0,1.8
202201100914,269.0,2.2
202201101014,270.0,2.2
202201101114,258.0,2.2
202201101214,275.0,2.7
202201101314,268.0,1.3
202201101414,314.0,2.2
202201101514,308.0,2.2
202201101614,332.0,1.8
202201101714,312.0,2.2
202201101814,301.0,4.0
202201101914,318.0,3.1
202201102014,294.0,4.0
202201102114,289.0,4.9
202201102214,301.0,3.6
202201102314,285.0,2.2
202201110014,260.0,1.3
202201110114,213.0,0.9
202201110214,297.0,1.8
202201110314,299.0,1.8
202201110414,327.0,1.8
202201110514,69.0,1.3
202201110614,318.0,1.3
202201110714,309.0,3.1
202201110814,174.0,0.9
202201110914,311.0,1.3
202201111014,93.0,0.4
202201111114,133.0,0.4
202201111214,261.0,0.9
202201111314,288.0,0.4
202201111414,301.0,1.8
202201111514,,1.8
202201111614,313.0,1.8
202201111714,312.0,2.2
202201111814,242.0,1.8
202201111914,263.0,2.2
202201112014,306.0,1.3
202201112114,296.0,2.2
202201112214,301.0,2.7
202201112314,257.0,0.4
202201120014,98.0,0.4
202201120114,176.0,0.4
202201120214,100.0,1.3
202201120314,93.0,1.3
202201120414,89.0,1.3
202201120514,106.0,2.2
202201120614,96.0,1.3
202201120714,101.0,1.3
202201120814,94.0,1.3
202201120914,94.0,1.3
202201121014,96.0,1.3
202201121114,97.0,2.2
202201121314,102.0,0.9
202201121414,101.0,1.3
202201121514,92.0,2.7
202201121614,115.0,2.2
202201121714,241.0,1.8
202201121814,127.0,2.2
202201121914,116.0,1.8
202201122014,242.0,1.3
202201122114,293.0,0.9
202201122214,143.0,0.9
