timestamp string,wind direction,wind speed
202201010007,,0.0
202201010107,191.0,0.4
202201010207,191.0,0.4
202201010307,205.0,0.9
202201010407,193.0,1.3
202201010507,198.0,1.8
202201010607,209.0,2.2
202201010707,209.0,3.1
202201010807,215.0,2.7
202201010907,218.0,2.2
202201011107,203.0,2.2
202201011207,201.0,1.8
202201011307,209.0,3.1
202201011407,207.0,2.7
202201011507,208.0,4.0
202201011607,214.0,4.5
202201011707,213.0,4.5
202201011807,222.0,3.6
202201011907,232.0,2.7
202201012007,43.0,0.9
202201012107,217.0,0.9
202201012207,15.0,1.3
202201012307,100.0,1.3
202201020007,38.0,0.9
202201020107,302.0,0.4
202201020307,,0.0
202201020407,221.0,0.9
202201020507,,0.0
202201020607,295.0,0.4
202201020707,316.0,0.4
202201020807,331.0,0.9
202201020907,331.0,2.7
202201021007,332.0,1.8
202201021107,343.0,1.8
202201021207,341.0,1.3
202201021307,350.0,1.8
202201021407,356.0,1.3
202201021507,1.0,1.3
202201021607,357.0,1.8
202201021707,355.0,1.3
202201021807,1.0,1.3
202201021907,338.0,1.3
202201022007,359.0,1.3
202201022107,7.0,0.9
202201022207,0.0,1.8
202201022307,7.0,0.9
202201030007,345.0,1.8
202201030107,357.0,1.8
202201030207,343.0,1.8
202201030307,351.0,1.8
202201030407,343.0,2.2
202201030507,342.0,2.2
202201030607,346.0,2.2
202201030707,345.0,1.8
202201030807,347.0,1.8
202201030907,353.0,1.8
202201031107,342.0,2.2
202201031207,351.0,1.3
202201031307,354.0,0.9
202201031407,354.0,0.9
202201031507,332.0,0.9
202201031607,353.0,0.4
202201031707,342.0,1.3
202201031807,13.0,0.4
202201031907,45.0,0.9
202201032007,9.0,0.4
202201032107,359.0,0.4
202201032207,,0.0
202201032307,,0.0
202201040007,,0.0
202201040107,,0.0
202201040207,,0.0
202201040307,128.0,0.4
202201040407,153.0,0.4
202201040507,147.0,0.4
202201040607,137.0,0.4
202201040707,108.0,0.4
202201040807,87.0,0.4
202201040907,,0.0
202201041007,,0.0
202201041107,,0.0
202201041307,,0.0
202201041407,,0.0
202201041507,219.0,1.8
202201041607,199.0,1.8
202201041707,175.0,0.9
202201041807,190.0,2.2
202201041907,176.0,1.3
202201042007,182.0,1.3
202201042207,216.0,1.8
202201042307,204.0,1.3
202201050007,196.0,1.8
202201050307,212.0,2.7
202201050407,206.0,2.7
202201050507,219.0,2.7
202201050607,201.0,2.2
202201050707,205.0,2.2
202201050807,207.0,1.8
202201050907,204.0,2.2
202201051007,207.0,1.8
202201051107,205.0,1.3
202201051207,212.0,1.3
202201051307,214.0,0.9
202201051407,226.0,1.3
202201051507,227.0,1.3
202201051807,350.0,1.3
202201051907,250.0,0.9
202201052007,289.0,0.9
202201052107,348.0,0.9
202201052207,352.0,0.9
202201052307,357.0,0.9
202201060007,353.0,0.4
202201060107,,0.0
202201060207,,0.0
202201060307,,0.0
202201060407,,0.0
202201060507,,0.0
202201060607,,0.0
202201060707,40.0,0.4
202201060807,14.0,0.4
202201060907,52.0,0.9
202201061007,57.0,0.9
202201061107,37.0,1.3
202201061207,67.0,1.3
202201061307,36.0,1.3
202201061407,39.0,1.8
202201061507,44.0,1.3
202201061607,36.0,0.9
202201061707,22.0,0.9
202201061807,12.0,1.3
202201061907,12.0,1.3
202201062007,15.0,0.9
202201062107,8.0,0.9
202201062207,352.0,1.3
202201062307,14.0,1.3
202201070007,3.0,0.9
202201070107,38.0,0.4
202201070207,42.0,0.4
202201070307,27.0,0.9
202201070407,25.0,0.4
202201070507,7.0,0.9
202201070607,12.0,0.9
202201070707,10.0,0.9
202201070807,356.0,0.4
202201070907,,0.0
202201071007,5.0,0.9
202201071107,17.0,0.4
202201071207,49.0,0.4
