timestamp string,wind direction,wind speed
202201010026,201.0,1.8
202201010126,214.0,1.3
202201010226,197.0,0.4
202201010326,,0.0
202201010426,147.0,0.4
202201010526,156.0,0.9
202201010626,214.0,0.9
202201010726,140.0,1.3
202201010826,348.0,1.3
202201010926,240.0,1.3
202201011126,35.0,0.9
202201011226,121.0,1.8
202201011326,160.0,2.2
202201011426,182.0,3.6
202201011526,188.0,4.9
202201011626,313.0,3.6
202201011726,299.0,2.7
202201011826,293.0,2.2
202201011926,314.0,1.3
202201012026,205.0,0.4
202201012126,158.0,1.3
202201012226,107.0,1.8
202201012326,126.0,2.2
202201020026,148.0,1.3
202201020126,139.0,1.3
202201020226,144.0,1.3
202201020426,234.0,1.3
202201020526,251.0,1.3
202201020626,257.0,1.3
202201020726,294.0,3.1
202201020826,325.0,2.2
202201020926,313.0,1.8
202201021026,314.0,3.1
202201021126,320.0,3.1
202201021226,302.0,2.2
202201021326,327.0,2.7
202201021426,304.0,2.7
202201021526,345.0,2.2
202201021626,344.0,2.2
202201021726,339.0,2.2
202201021826,316.0,2.2
202201022026,33.0,1.8
202201022126,12.0,2.2
202201022226,350.0,3.6
202201022326,352.0,2.7
202201030026,341.0,2.7
202201030226,326.0,3.6
202201030426,330.0,3.1
202201030526,346.0,3.1
202201030626,335.0,2.7
202201030826,325.0,2.7
202201030926,326.0,2.7
202201031026,325.0,2.7
202201031126,343.0,1.8
202201031226,313.0,2.2
202201031326,311.0,2.7
202201031426,327.0,1.3
202201031526,346.0,1.8
202201031626,333.0,1.3
202201031726,7.0,1.3
202201031826,53.0,1.3
202201032026,240.0,1.3
202201032226,145.0,1.3
202201032326,120.0,0.9
202201040026,,0.0
202201040126,73.0,0.4
202201040226,68.0,0.9
202201040326,63.0,0.9
202201040426,156.0,1.8
202201040526,152.0,1.3
202201040626,170.0,1.8
202201040726,151.0,1.8
202201040826,154.0,1.8
202201040926,203.0,1.3
202201041026,158.0,1.3
202201041126,182.0,1.8
202201041226,143.0,1.3
202201041326,129.0,1.8
202201041426,180.0,2.2
202201041526,172.0,2.2
202201041726,174.0,3.6
202201041826,165.0,3.1
202201041926,165.0,4.5
202201042026,167.0,4.0
202201042126,175.0,3.6
202201042226,169.0,2.7
202201042326,150.0,2.7
202201050026,164.0,3.1
202201050126,164.0,2.7
202201050226,182.0,4.0
202201050326,196.0,4.9
202201050426,189.0,4.5
202201050526,185.0,4.0
202201050626,204.0,3.6
202201050726,198.0,3.1
202201050826,186.0,3.1
202201050926,193.0,2.7
202201051026,210.0,2.7
202201051126,216.0,3.1
202201051226,219.0,3.1
202201051326,217.0,2.7
202201051426,229.0,3.1
202201051526,242.0,3.1
202201051626,256.0,2.7
202201051726,259.0,3.1
202201051826,267.0,2.7
