timestamp string,wind direction,wind speed
202201010010,259.0,2.7
202201010110,236.0,1.3
202201010210,247.0,1.8
202201010310,240.0,1.8
202201010410,259.0,2.7
202201010510,256.0,2.7
202201010610,253.0,2.7
202201010710,227.0,1.8
202201010810,261.0,2.7
202201010910,275.0,2.2
202201011010,280.0,1.8
202201011110,350.0,2.2
202201011210,8.0,2.2
202201011410,18.0,1.8
202201011510,67.0,0.9
202201011810,70.0,0.9
202201011910,150.0,1.8
202201012010,351.0,0.9
202201012110,17.0,1.3
202201012210,327.0,1.8
202201012310,2.0,2.7
202201020010,47.0,1.8
202201020110,98.0,1.3
202201020210,354.0,3.6
202201020310,57.0,1.3
202201020410,5.0,2.7
202201020510,355.0,2.2
202201020610,7.0,2.2
202201020710,351.0,3.6
202201020810,348.0,2.7
202201020910,356.0,3.1
202201021010,353.0,2.7
202201021110,7.0,2.7
202201021210,,3.6
202201021310,355.0,3.1
202201021410,1.0,3.6
202201021510,11.0,2.7
202201021610,46.0,1.8
202201021710,35.0,2.2
202201021810,14.0,3.1
202201021910,19.0,1.8
202201022010,26.0,2.2
202201022110,7.0,3.1
202201022210,1.0,2.7
202201022310,359.0,2.7
202201030010,18.0,1.8
202201030110,65.0,2.7
202201030210,62.0,2.7
202201030310,51.0,1.3
202201030410,22.0,1.8
202201030510,12.0,2.2
202201030610,16.0,2.2
202201030710,12.0,2.7
202201030810,,3.1
202201030910,350.0,2.7
202201031010,356.0,2.7
202201031110,352.0,2.7
202201031210,2.0,2.7
202201031410,0.0,2.2
202201031510,335.0,1.3
202201031610,330.0,2.2
202201031710,184.0,0.9
202201031810,284.0,1.8
202201031910,253.0,0.4
202201032010,285.0,2.2
202201032110,276.0,1.3
202201032210,281.0,1.8
202201032310,262.0,0.4
202201040010,,0.0
202201040110,225.0,0.4
202201040210,225.0,0.4
202201040410,206.0,0.9
202201040510,214.0,1.3
202201040710,210.0,1.3
202201040810,211.0,1.3
202201040910,213.0,1.8
202201041010,207.0,0.9
202201041110,193.0,1.3
202201041210,199.0,2.2
202201041310,217.0,1.3
202201041410,195.0,2.2
202201041510,205.0,3.6
202201041610,191.0,4.0
202201041710,199.0,4.5
202201041810,195.0,4.0
202201042010,213.0,3.1
202201042110,198.0,4.5
202201042210,201.0,3.1
202201042310,190.0,3.1
202201050010,191.0,4.5
202201050110,208.0,4.9
202201050210,206.0,4.5
202201050310,237.0,3.6
202201050410,239.0,4.5
202201050510,242.0,3.6
202201050610,248.0,3.1
202201050710,250.0,4.0
202201050810,246.0,3.6
202201050910,260.0,2.7
202201051010,264.0,3.1
202201051110,263.0,3.1
202201051210,280.0,4.5
202201051310,293.0,4.9
202201051410,316.0,4.0
202201051510,310.0,6.3
202201051610,310.0,6.3
202201051710,304.0,7.6
202201051910,300.0,7.2
202201052010,303.0,7.2
202201052110,302.0,7.2
202201052210,317.0,4.9
202201052310,325.0,4.5
202201060010,322.0,4.9
202201060110,339.0,2.7
202201060210,329.0,3.6
202201060310,325.0,4.5
202201060410,333.0,4.5
202201060510,337.0,3.6
202201060610,340.0,3.1
202201060710,335.0,2.7
202201060810,336.0,2.7
202201060910,345.0,3.1
202201061010,347.0,2.2
202201061110,342.0,1.8
202201061210,326.0,1.8
202201061310,358.0,2.2
202201061410,338.0,2.7
202201061510,335.0,2.7
202201061610,345.0,2.2
202201061810,329.0,3.1
202201061910,325.0,4.0
202201062010,340.0,4.0
202201062110,329.0,4.0
202201062210,348.0,3.6
202201062310,328.0,2.7
202201070010,324.0,2.7
202201070110,348.0,3.1
202201070210,341.0,2.7
202201070410,350.0,3.6
202201070510,346.0,3.6
202201070610,357.0,3.1
202201070710,349.0,2.7
202201070810,353.0,2.7
202201070910,355.0,2.7
202201071010,339.0,2.2
202201071110,352.0,1.8
202201071210,343.0,1.3
202201071310,340.0,1.8
202201071410,311.0,2.7
202201071510,295.0,3.6
202201071710,293.0,2.2
202201071810,295.0,1.8
202201071910,314.0,2.2
202201072010,297.0,0.9
202201072110,,0.0
202201072210,38.0,0.4
202201072310,133.0,0.9
202201080010,,0.0
202201080110,141.0,1.3
202201080210,141.0,1.3
202201080310,156.0,2.2
202201080410,147.0,1.8
202201080510,162.0,3.1
202201080610,155.0,2.2
202201080710,164.0,3.1
202201080810,170.0,3.6
202201080910,160.0,3.6
202201081010,166.0,4.0
202201081110,168.0,4.5
202201081210,183.0,3.6
202201081310,173.0,4.9
202201081410,179.0,4.5
202201081510,188.0,4.5
202201081610,188.0,3.6
202201081710,188.0,4.5
202201081810,195.0,4.0
202201081910,195.0,4.5
202201082210,189.0,3.6
202201082310,199.0,3.6
202201090010,196.0,4.9
202201090110,195.0,4.5
202201090210,198.0,3.1
202201090310,200.0,3.1
202201090410,208.0,2.2
202201090510,217.0,2.7
202201090610,235.0,2.2
202201090710,264.0,2.2
202201090810,314.0,1.3
202201090910,209.0,1.3
202201091010,200.0,1.8
202201091110,302.0,1.3
202201091210,311.0,2.7
202201091310,347.0,3.1
202201091410,1.0,4.5
202201091510,4.0,4.0
202201091610,354.0,2.7
202201091710,355.0,3.6
202201091810,355.0,3.6
202201091910,7.0,3.6
202201092110,4.0,4.0
202201092210,355.0,4.5
202201092310,0.0,2.7
202201100010,355.0,2.2
202201100210,357.0,2.7
202201100310,348.0,2.7
202201100410,339.0,1.8
202201100510,332.0,1.8
202201100610,4.0,1.8
202201100710,349.0,1.3
202201100910,338.0,0.4
202201101010,329.0,1.8
202201101110,321.0,1.3
202201101210,,0.0
202201101310,,0.0
202201101410,288.0,2.7
202201101510,273.0,2.2
202201101610,275.0,2.7
202201101710,281.0,4.0
202201101810,305.0,5.4
202201101910,312.0,4.9
202201102010,321.0,4.9
202201102110,333.0,4.0
202201102210,341.0,3.1
202201110010,354.0,2.2
202201110110,356.0,2.2
202201110210,359.0,2.2
202201110310,2.0,1.8
202201110410,23.0,0.9
202201110510,6.0,0.9
202201110610,353.0,1.8
202201110710,9.0,0.4
202201110810,65.0,0.9
202201110910,105.0,0.4
202201111010,88.0,0.4
202201111110,81.0,0.4
202201111210,,0.0
202201111310,,0.0
202201111410,176.0,2.2
202201111510,187.0,3.1
202201111610,198.0,3.1
202201111710,198.0,3.6
202201111810,201.0,3.6
202201111910,222.0,2.7
202201112010,212.0,3.6
202201112110,205.0,4.0
202201112210,209.0,3.6
202201112310,204.0,3.1
202201120010,213.0,3.6
202201120110,211.0,2.7
202201120210,214.0,2.2
202201120310,234.0,1.8
202201120410,248.0,2.2
202201120510,227.0,1.8
202201120610,247.0,2.7
202201120710,239.0,2.2
202201120810,246.0,2.2
202201120910,225.0,1.8
202201121010,223.0,1.3
202201121110,208.0,1.3
202201121210,216.0,1.3
202201121310,247.0,1.3
202201121410,243.0,1.3
202201121510,249.0,1.8
202201121610,256.0,2.2
202201121710,243.0,2.7
202201121810,220.0,3.1
202201121910,233.0,2.2
202201122010,242.0,2.7
202201122110,245.0,1.8
202201122210,231.0,1.3
202201122310,203.0,1.3
202201130010,170.0,1.3
202201130110,59.0,0.4
202201130210,167.0,0.4
202201130310,,0.0
202201130410,146.0,0.4
202201130510,,0.0
202201130610,,0.0
202201130710,153.0,0.4
202201130810,150.0,0.4
202201130910,,0.0
202201131010,,0.0
202201131110,,0.0
202201131210,,0.0
202201131310,316.0,0.9
202201131410,300.0,1.3
202201131510,305.0,1.3
202201131710,356.0,2.7
202201131810,349.0,2.7
202201131910,350.0,2.7
202201132010,354.0,2.7
202201132110,354.0,3.1
202201132210,336.0,2.2
202201132310,339.0,1.8
202201140010,339.0,1.3
202201140110,356.0,3.1
202201140210,352.0,1.8
202201140310,345.0,0.9
202201140410,1.0,0.4
202201140510,314.0,0.4
202201140610,,0.0
202201140710,,0.0
202201140810,,0.0
202201141010,69.0,1.3
202201141110,98.0,1.3
202201141210,76.0,1.3
202201141310,25.0,1.3
202201141410,81.0,1.8
202201141510,119.0,2.7
202201141610,132.0,1.8
202201141710,202.0,1.8
202201141810,149.0,1.3
202201141910,142.0,0.9
202201142010,133.0,1.3
