timestamp string,wind direction,wind speed
202201010117,,0.0
202201010217,,0.0
202201010317,,0.0
202201010417,,0.0
202201010517,,0.0
202201010617,,0.0
202201010717,,0.0
202201010817,218.0,1.3
202201010917,229.0,1.8
202201011017,247.0,1.8
202201011117,239.0,2.2
202201011217,243.0,1.8
202201011317,238.0,2.7
202201011417,242.0,3.6
202201011517,239.0,3.1
202201011617,245.0,3.1
202201011717,224.0,4.0
202201011817,230.0,4.0
202201011917,269.0,2.7
202201012017,232.0,3.6
202201012117,247.0,4.0
202201012217,245.0,2.2
202201012317,240.0,2.7
202201020017,228.0,1.8
202201020117,221.0,2.2
202201020217,220.0,2.7
202201020317,216.0,3.1
202201020417,210.0,3.6
202201020517,232.0,2.7
202201020617,219.0,2.7
202201020717,254.0,1.8
202201020817,254.0,0.9
202201020917,238.0,2.2
202201021017,210.0,1.3
202201021317,166.0,0.4
202201021417,224.0,1.8
202201021517,201.0,1.8
202201021617,202.0,1.3
202201021717,246.0,1.8
202201021817,232.0,1.8
202201021917,223.0,1.8
202201022017,,0.0
202201022117,258.0,0.4
202201022217,,0.0
202201022317,,0.0
202201030117,4.0,0.4
202201030217,,0.0
202201030317,,0.0
202201030417,126.0,0.4
202201030517,35.0,0.4
202201030617,12.0,2.2
202201030717,24.0,1.3
202201030817,18.0,2.7
202201030917,351.0,6.7
202201031017,330.0,8.9
202201031117,336.0,5.8
202201031217,257.0,3.6
202201031317,120.0,2.2
202201031417,95.0,0.9
202201031517,57.0,1.8
202201031617,330.0,2.7
202201031717,4.0,3.1
202201031817,67.0,0.9
202201031917,346.0,2.2
202201032017,300.0,1.3
202201032117,1.0,3.1
202201032217,46.0,0.4
202201032317,34.0,0.4
202201040017,129.0,0.4
202201040117,330.0,0.9
202201040217,319.0,0.4
202201040317,333.0,0.4
202201040417,,0.0
202201040517,,0.0
202201040617,,0.0
202201040717,,0.0
202201040817,,0.0
202201040917,,0.0
202201041017,,0.0
202201041117,,0.0
202201041217,,0.0
202201041317,,0.0
202201041417,,0.0
202201041517,40.0,0.4
202201041617,79.0,0.4
202201041717,195.0,1.3
202201041817,327.0,0.4
202201041917,160.0,0.4
202201042017,89.0,0.4
202201042117,86.0,0.4
202201042217,,0.0
202201042317,,0.0
202201050017,29.0,0.4
202201050117,,0.0
202201050217,,0.0
202201050317,,0.0
202201050417,,0.0
202201050517,,0.0
202201050617,,0.0
202201050717,,0.0
202201050817,,0.0
202201050917,,0.0
202201051017,,0.0
202201051117,,0.0
202201051217,,0.0
202201051317,,0.0
202201051417,153.0,0.4
202201051517,235.0,1.8
202201051717,214.0,1.8
202201051817,203.0,1.8
202201051917,235.0,2.2
202201052017,226.0,2.7
202201052117,228.0,1.8
202201052217,199.0,0.9
202201052317,,0.0
202201060017,226.0,1.3
202201060117,212.0,2.7
202201060217,238.0,1.3
202201060317,204.0,1.3
202201060417,177.0,0.4
202201060517,39.0,0.4
202201060617,296.0,0.4
202201060717,336.0,0.4
202201060817,,0.0
202201060917,108.0,0.9
202201061017,151.0,0.9
202201061117,192.0,0.9
202201061217,121.0,0.4
202201061317,36.0,0.4
202201061417,90.0,0.4
202201061517,187.0,1.3
202201061617,142.0,0.4
202201061717,195.0,0.9
202201061817,194.0,1.3
202201061917,234.0,0.9
202201062017,196.0,0.9
202201062117,322.0,0.4
202201062217,313.0,0.9
202201062317,249.0,0.4
202201070017,175.0,0.4
202201070117,230.0,1.3
202201070217,239.0,2.2
202201070317,308.0,3.6
202201070417,290.0,1.8
202201070517,115.0,0.4
202201070617,229.0,0.4
202201070817,,0.0
202201070917,,0.0
202201071017,,0.0
202201071117,,0.0
202201071217,295.0,0.4
202201071317,,0.0
202201071417,,0.0
202201071517,226.0,0.4
202201071617,198.0,0.9
202201071717,236.0,0.4
202201071817,130.0,0.9
202201071917,161.0,0.4
202201072017,101.0,0.4
202201072117,139.0,0.4
202201072217,,0.0
202201072317,,0.0
202201080017,,0.0
202201080117,,0.0
202201080217,,0.0
202201080317,,0.0
202201080417,,0.0
202201080517,,0.0
202201080617,,0.0
202201080717,,0.0
202201080817,,0.0
202201080917,17.0,0.4
202201081017,,0.0
202201081117,27.0,0.4
202201081217,,0.0
