timestamp string,wind direction,wind speed
202201010014,313.0,2.2
202201010214,307.0,3.1
202201010314,326.0,4.0
202201010514,319.0,4.5
202201010614,327.0,4.9
202201010814,344.0,5.8
202201010914,349.0,4.9
202201011014,345.0,4.9
202201011114,337.0,4.0
202201011214,343.0,4.5
202201011314,341.0,4.9
202201011414,334.0,5.8
202201011514,334.0,6.7
202201011614,343.0,7.6
202201011714,345.0,7.2
202201011814,12.0,7.2
202201011914,354.0,5.4
202201012014,15.0,1.8
202201012214,117.0,3.1
202201012314,157.0,2.7
202201020014,178.0,2.2
202201020214,196.0,3.1
202201020314,214.0,2.2
202201020414,227.0,1.8
202201020614,35.0,2.7
202201020714,47.0,3.1
202201020814,65.0,3.1
202201020914,57.0,3.6
202201021014,82.0,6.7
202201021214,78.0,4.9
202201021314,89.0,3.1
202201021414,105.0,4.5
202201021514,81.0,4.9
202201021614,85.0,5.4
202201021814,105.0,4.0
202201021914,94.0,4.5
202201022014,81.0,4.5
202201022114,110.0,4.5
202201022214,102.0,4.5
202201022314,102.0,5.8
202201030014,89.0,6.3
202201030114,94.0,7.2
202201030214,98.0,6.3
202201030314,86.0,5.4
202201030414,75.0,6.3
202201030514,79.0,6.3
202201030614,80.0,5.4
202201030714,84.0,6.7
202201030814,94.0,5.8
202201030914,96.0,6.3
202201031014,92.0,5.4
202201031114,101.0,5.4
202201031214,103.0,5.4
202201031314,95.0,4.0
202201031414,73.0,3.1
202201031514,90.0,3.1
202201031614,105.0,2.2
202201031714,157.0,4.0
202201031814,146.0,2.2
202201031914,121.0,1.8
202201032014,136.0,1.3
202201032114,157.0,2.2
202201032214,176.0,1.3
202201032314,77.0,2.2
202201040014,66.0,0.9
202201040114,97.0,1.8
202201040214,136.0,1.8
202201040314,144.0,0.9
202201040414,224.0,2.2
202201040514,240.0,3.1
202201040614,217.0,2.2
202201040714,244.0,2.2
202201040814,266.0,1.8
202201040914,257.0,3.6
202201041014,254.0,2.2
202201041114,,0.0
202201041214,41.0,0.9
202201041314,303.0,0.9
202201041414,282.0,2.2
202201041514,282.0,3.6
202201041614,280.0,4.0
202201041714,303.0,5.4
202201041814,294.0,4.9
202201041914,304.0,4.9
202201042014,301.0,4.9
202201042114,313.0,4.5
202201042214,325.0,4.0
202201042314,308.0,2.2
202201050014,296.0,3.1
202201050114,304.0,4.5
202201050214,317.0,3.6
202201050314,323.0,4.5
202201050414,328.0,4.9
202201050514,329.0,4.5
202201050614,328.0,4.0
202201050714,330.0,4.0
202201050814,331.0,4.0
202201050914,321.0,3.1
202201051014,323.0,3.6
202201051114,336.0,3.6
202201051214,330.0,2.7
202201051314,332.0,3.1
202201051414,350.0,2.7
202201051514,357.0,2.7
202201051614,9.0,4.0
202201051714,26.0,4.0
202201051814,36.0,2.7
202201051914,64.0,2.2
202201052014,13.0,0.9
202201052114,79.0,1.8
202201052214,70.0,3.1
202201052314,73.0,1.3
202201060014,78.0,1.8
202201060114,119.0,3.1
202201060214,143.0,1.8
202201060314,148.0,1.3
202201060414,141.0,1.3
202201060514,138.0,1.8
202201060614,163.0,2.7
202201060714,165.0,3.6
202201060814,209.0,2.7
202201060914,208.0,2.2
202201061014,209.0,4.5
202201061114,180.0,4.0
202201061214,173.0,4.9
202201061314,158.0,3.6
202201061414,182.0,5.8
202201061514,129.0,3.6
202201061614,137.0,4.9
202201061714,135.0,4.9
202201061814,120.0,5.8
202201062014,108.0,3.1
202201062114,82.0,4.5
202201062214,102.0,4.0
202201062314,93.0,5.8
202201070014,93.0,4.5
202201070114,100.0,3.1
202201070214,91.0,4.0
202201070314,101.0,3.6
202201070414,91.0,4.9
202201070514,110.0,2.7
202201070614,129.0,2.7
202201070714,169.0,2.7
202201070814,148.0,3.1
202201071014,154.0,2.7
202201071114,157.0,3.6
202201071214,147.0,4.5
202201071314,145.0,3.1
202201071414,169.0,2.7
202201071514,192.0,4.9
202201071614,193.0,3.6
202201071714,229.0,2.7
202201071814,241.0,3.1
202201071914,195.0,1.8
202201072014,233.0,1.8
202201072114,172.0,0.4
202201072214,148.0,1.3
202201072314,189.0,1.3
202201080014,158.0,3.1
202201080114,203.0,3.1
202201080214,217.0,3.1
202201080314,222.0,3.6
202201080414,228.0,3.6
202201080514,248.0,4.0
202201080614,245.0,3.1
202201080714,241.0,3.6
202201080814,243.0,3.1
202201080914,242.0,4.0
202201081014,248.0,2.7
202201081114,230.0,3.1
202201081314,240.0,4.0
202201081414,277.0,3.1
202201081514,275.0,4.5
202201081614,299.0,3.6
202201081714,319.0,6.3
202201081814,307.0,8.0
202201081914,297.0,5.8
202201082014,283.0,5.4
202201082114,281.0,6.7
202201082214,276.0,4.5
202201090014,284.0,3.6
202201090114,272.0,3.1
202201090314,293.0,6.3
202201090414,302.0,6.3
202201090514,296.0,5.4
202201090614,306.0,6.3
202201090714,300.0,6.3
202201090814,304.0,6.3
202201090914,315.0,5.8
202201091014,317.0,5.4
202201091114,314.0,5.4
202201091214,318.0,5.4
202201091314,325.0,5.4
202201091414,314.0,6.3
202201091614,342.0,3.6
202201091714,352.0,2.7
202201091814,350.0,3.6
202201091914,101.0,1.8
202201092114,125.0,6.3
202201092214,137.0,6.3
202201092314,139.0,7.6
202201100114,145.0,4.9
202201100214,148.0,4.5
202201100314,150.0,3.1
202201100414,145.0,3.1
202201100514,125.0,4.0
202201100614,140.0,5.8
202201100714,137.0,4.5
202201100814,136.0,5.4
202201100914,139.0,4.5
202201101014,147.0,3.6
202201101114,131.0,4.0
202201101214,139.0,2.2
202201101314,142.0,1.3
202201101414,109.0,3.6
202201101514,124.0,3.1
202201101614,153.0,1.8
202201101714,87.0,2.7
202201101814,133.0,3.1
202201101914,87.0,4.5
202201102014,99.0,3.6
202201102114,87.0,4.0
202201102214,91.0,3.6
202201102314,101.0,2.7
202201110014,110.0,2.7
202201110114,101.0,3.1
202201110214,116.0,1.8
202201110314,125.0,2.2
202201110414,120.0,0.9
202201110514,149.0,1.8
202201110614,137.0,3.1
202201110714,147.0,3.1
202201110814,163.0,1.8
202201110914,161.0,2.2
202201111014,173.0,1.8
202201111114,137.0,0.4
202201111214,199.0,0.9
202201111314,209.0,1.8
202201111414,216.0,2.7
202201111514,248.0,3.6
202201111614,281.0,0.9
202201111714,102.0,0.4
202201111814,110.0,0.9
202201111914,98.0,1.3
202201112014,356.0,0.9
202201112114,89.0,1.8
202201112214,229.0,2.2
202201112314,152.0,0.4
202201120014,,0.0
202201120114,,0.0
202201120214,,0.0
202201120314,15.0,1.8
202201120414,236.0,0.9
202201120514,,0.0
202201120614,,0.0
202201120714,,0.0
202201120914,280.0,1.3
202201121014,319.0,0.9
202201121114,316.0,2.2
202201121214,272.0,1.3
202201121314,273.0,0.9
202201121614,345.0,4.0
202201121714,357.0,4.0
202201121814,335.0,4.5
202201121914,0.0,3.6
202201122014,348.0,3.6
202201122214,340.0,3.1
202201122314,342.0,2.2
202201130014,332.0,2.7
202201130114,336.0,2.7
202201130214,343.0,2.2
202201130314,7.0,1.3
202201130414,346.0,1.8
202201130614,359.0,2.2
202201130714,347.0,1.8
202201130814,1.0,2.7
202201130914,12.0,3.1
202201131014,7.0,2.7
202201131114,4.0,2.2
202201131214,10.0,0.9
202201131314,9.0,1.3
202201131414,13.0,1.8
202201131514,27.0,2.2
202201131614,43.0,2.7
202201131714,49.0,3.6
202201131814,68.0,4.0
202201131914,62.0,4.5
202201132014,49.0,4.5
202201132114,56.0,3.1
202201132314,90.0,2.2
202201140014,110.0,2.2
202201140114,98.0,1.8
202201140214,100.0,2.2
202201140314,120.0,1.8
202201140414,114.0,1.8
202201140514,107.0,2.7
202201140714,97.0,2.7
202201140914,87.0,2.2
202201141014,219.0,0.9
202201141114,226.0,0.4
202201141214,152.0,0.4
202201141314,150.0,0.4
202201141414,,0.0
202201141514,223.0,1.8
202201141614,216.0,3.1
202201141714,250.0,2.2
202201141814,251.0,1.8
202201142014,,0.0
202201142114,,0.0
202201142214,219.0,0.9
202201142314,61.0,0.9
202201150014,,0.0
202201150114,135.0,1.3
202201150214,,0.0
202201150414,233.0,1.8
202201150514,171.0,0.4
202201150614,217.0,2.7
202201150814,224.0,3.1
202201150914,249.0,3.1
202201151014,225.0,3.6
202201151114,235.0,2.7
202201151214,241.0,4.9
202201151314,224.0,4.0
202201151414,244.0,2.2
202201151514,226.0,4.5
202201151614,234.0,5.8
202201151714,235.0,7.6
202201151814,234.0,6.7
202201151914,237.0,6.3
202201152014,224.0,8.0
202201152114,227.0,5.8
202201152214,222.0,7.6
202201152314,226.0,6.3
202201160014,219.0,5.4
202201160114,222.0,7.6
202201160214,214.0,8.0
202201160314,216.0,7.2
202201160414,214.0,6.3
202201160514,207.0,4.9
202201160614,194.0,4.9
202201160714,185.0,4.5
202201160814,158.0,2.7
202201160914,150.0,2.7
202201161014,163.0,5.8
202201161114,156.0,6.3
202201161214,161.0,5.8
202201161314,162.0,6.7
202201161414,147.0,5.4
202201161514,132.0,4.5
202201161614,117.0,4.5
202201161714,90.0,6.7
202201161814,87.0,5.8
202201161914,81.0,5.4
202201162014,73.0,6.3
202201162114,76.0,6.3
202201162214,62.0,5.8
202201162314,51.0,3.6
202201170114,35.0,4.0
202201170314,27.0,3.1
202201170514,37.0,2.7
202201170614,32.0,3.1
202201170714,43.0,4.0
202201170814,60.0,4.0
202201170914,74.0,5.4
202201171014,58.0,4.5
202201171114,47.0,3.6
202201171314,44.0,3.1
202201171414,50.0,5.4
202201171514,53.0,4.0
202201171614,48.0,4.5
202201171714,67.0,4.5
202201171814,60.0,4.9
202201171914,45.0,4.5
202201172014,45.0,4.9
202201172114,34.0,4.0
202201172214,20.0,3.6
202201172314,54.0,1.8
202201180014,88.0,0.4
202201180114,,0.0
202201180214,359.0,0.9
202201180314,,0.0
202201180414,333.0,1.3
202201180514,336.0,0.4
202201180614,,0.0
202201180714,354.0,0.4
202201180814,8.0,0.4
202201180914,,0.0
202201181114,,0.0
202201181214,304.0,0.9
202201181314,242.0,0.9
202201181414,261.0,0.4
202201181514,307.0,3.1
202201181614,313.0,2.7
202201181714,326.0,3.6
202201181814,316.0,3.6
202201181914,295.0,4.0
202201182014,297.0,4.0
202201182114,324.0,4.5
202201182214,314.0,4.0
202201182314,305.0,2.7
202201190014,290.0,3.1
202201190114,280.0,4.0
202201190214,303.0,2.2
202201190314,302.0,3.1
202201190414,285.0,2.7
202201190514,302.0,2.7
202201190614,303.0,2.2
202201190714,306.0,4.0
202201190814,317.0,4.9
202201190914,322.0,4.0
202201191014,326.0,5.4
202201191214,326.0,4.0
202201191314,329.0,4.0
202201191414,323.0,5.4
202201191514,326.0,4.9
202201191614,330.0,5.4
202201191714,335.0,4.9
202201191814,335.0,7.6
202201191914,330.0,8.0
202201192114,322.0,4.9
202201192214,33.0,3.6
202201192314,82.0,3.1
202201200014,39.0,1.3
202201200114,124.0,3.6
202201200314,117.0,8.0
202201200414,119.0,7.2
202201200514,118.0,6.7
202201200614,127.0,5.8
202201200714,127.0,5.4
202201200814,122.0,4.5
202201200914,130.0,5.8
202201201014,124.0,4.9
202201201114,133.0,5.8
202201201214,139.0,5.8
202201201314,138.0,4.5
202201201414,129.0,4.5
202201201514,130.0,5.8
202201201614,159.0,5.4
