timestamp string,wind direction,wind speed
202201010051,263.0,2.2
202201010151,264.0,2.7
202201010251,261.0,2.7
202201010351,260.0,2.7
202201010451,263.0,2.2
202201010551,265.0,2.7
202201010651,260.0,3.1
202201010751,257.0,2.7
202201010851,260.0,3.1
202201011051,262.0,4.0
202201011151,261.0,4.0
202201011251,264.0,4.0
202201011351,257.0,3.6
202201011451,255.0,3.1
202201011551,263.0,3.6
202201011651,264.0,3.6
202201011751,259.0,3.6
202201011851,259.0,4.5
202201011951,260.0,4.0
202201012051,262.0,4.0
202201012151,258.0,4.0
202201012251,261.0,3.1
202201012351,264.0,1.8
202201020051,240.0,1.8
202201020151,237.0,3.1
202201020251,242.0,3.1
202201020351,244.0,4.0
202201020451,256.0,4.0
202201020551,258.0,4.5
202201020651,259.0,4.5
202201020751,265.0,2.7
202201020851,274.0,2.7
202201020951,292.0,2.7
202201021051,270.0,2.7
202201021151,28.0,1.8
202201021251,294.0,0.9
202201021351,306.0,0.9
202201021451,235.0,0.9
202201021551,231.0,0.4
202201021651,260.0,0.9
202201021751,263.0,2.2
202201021851,146.0,0.9
202201021951,31.0,0.4
202201022051,311.0,0.9
202201022151,61.0,0.9
202201022251,70.0,1.3
202201022351,43.0,1.3
202201030151,47.0,1.3
202201030251,68.0,1.3
202201030351,43.0,1.3
202201030651,73.0,4.9
202201030751,35.0,4.9
202201030851,27.0,3.6
202201030951,237.0,3.1
202201031051,250.0,3.1
202201031151,300.0,2.7
202201031251,290.0,3.6
202201031351,358.0,3.6
202201031451,351.0,2.2
202201031551,55.0,2.7
202201031651,40.0,2.2
202201031751,58.0,3.6
202201031851,55.0,2.2
202201031951,50.0,2.2
202201032051,53.0,2.2
202201032151,23.0,1.8
202201032351,34.0,1.3
202201040051,45.0,1.3
202201040151,73.0,1.3
202201040251,46.0,2.2
202201040451,268.0,0.4
202201040551,269.0,0.9
202201040651,20.0,1.8
202201040751,92.0,0.4
202201040851,245.0,0.4
202201040951,231.0,0.4
202201041051,256.0,0.4
202201041151,,0.0
