timestamp string,wind direction,wind speed
202201010049,349.0,0.4
202201010149,29.0,0.4
202201010249,,0.0
202201010349,300.0,0.4
202201010449,239.0,1.3
202201010549,230.0,1.8
202201010649,209.0,1.8
202201010749,221.0,1.8
202201010849,229.0,1.3
202201010949,192.0,1.8
202201011049,221.0,1.8
202201011149,198.0,2.2
202201011249,216.0,1.8
202201011349,231.0,1.3
202201011449,212.0,1.8
202201011549,219.0,2.2
202201011649,218.0,2.7
202201011749,227.0,2.2
202201011849,215.0,2.2
202201011949,189.0,2.7
202201012049,188.0,1.8
202201012149,190.0,2.2
202201012249,184.0,2.7
202201012349,177.0,2.7
202201020049,201.0,2.2
202201020149,206.0,2.2
202201020249,209.0,3.6
202201020349,216.0,2.2
202201020449,210.0,3.1
202201020549,222.0,2.7
202201020749,212.0,2.7
202201020949,274.0,2.2
202201021049,232.0,1.3
202201021149,236.0,1.3
202201021249,55.0,0.9
202201021349,122.0,0.9
202201021449,218.0,0.9
202201021549,245.0,0.4
202201021649,150.0,0.9
202201021749,211.0,0.9
202201021849,269.0,0.4
202201021949,312.0,0.9
202201022149,118.0,0.9
202201022249,,0.0
202201022349,32.0,1.8
202201030049,288.0,1.8
202201030149,293.0,2.7
202201030249,292.0,2.2
202201030349,295.0,1.8
202201030449,250.0,4.0
202201030549,289.0,2.2
202201030649,252.0,2.7
202201030749,,0.0
202201030849,,0.0
202201030949,307.0,0.4
202201031049,296.0,0.9
202201031149,295.0,0.9
202201031249,,0.0
202201031349,315.0,1.3
202201031449,272.0,0.9
202201031549,282.0,1.3
202201031649,308.0,1.3
202201031749,258.0,1.3
202201031849,323.0,1.8
202201031949,291.0,1.8
202201032049,290.0,1.8
202201032249,200.0,1.8
202201040049,282.0,2.2
202201040149,275.0,1.8
202201040249,289.0,1.8
202201040349,312.0,2.2
202201040449,292.0,2.2
202201040549,99.0,1.3
202201040649,,0.0
202201040749,,0.0
202201040849,,0.0
202201040949,,0.0
202201041049,,0.0
202201041149,,0.0
202201041249,,0.0
202201041349,97.0,0.4
202201041449,108.0,1.3
202201041549,119.0,1.8
202201041649,130.0,2.7
202201041749,144.0,3.6
202201041849,143.0,3.1
202201041949,151.0,2.7
202201042049,145.0,2.2
202201042149,136.0,2.7
202201042249,141.0,1.3
202201042349,120.0,0.4
202201050149,79.0,0.4
202201050249,37.0,0.4
202201050349,132.0,0.9
202201050549,159.0,1.8
202201050649,145.0,0.4
202201050749,,0.0
202201050849,,0.0
202201050949,,0.0
202201051049,,0.0
202201051149,,0.0
202201051249,257.0,0.4
202201051449,,0.0
202201051549,286.0,0.4
202201051649,209.0,1.3
202201051749,219.0,0.9
202201051849,253.0,0.9
202201051949,257.0,1.8
202201052049,225.0,0.4
202201052149,247.0,1.3
202201052249,,0.0
202201052349,,0.0
202201060049,,0.0
202201060149,,0.0
202201060249,,0.0
