timestamp string,wind direction,wind speed
202201010058,185.0,1.3
202201010158,156.0,0.9
202201010258,346.0,1.3
202201010358,187.0,0.4
202201010458,124.0,0.4
202201010558,218.0,1.8
202201010658,227.0,2.2
202201010758,237.0,4.0
202201010858,237.0,2.7
202201010958,234.0,3.1
202201011058,238.0,3.6
202201011158,225.0,2.2
202201011258,232.0,2.7
202201011358,235.0,3.6
202201011458,224.0,3.1
202201011558,230.0,3.6
202201011658,229.0,3.1
202201011758,228.0,2.2
202201011858,226.0,3.6
202201011958,273.0,2.7
202201012058,240.0,2.2
202201012158,216.0,2.7
202201012358,194.0,1.8
202201020058,209.0,2.7
202201020158,216.0,2.7
202201020258,208.0,3.6
202201020358,215.0,3.1
202201020458,217.0,4.0
202201020558,217.0,4.5
202201020658,221.0,4.5
202201020758,228.0,3.1
202201020858,224.0,4.0
202201020958,219.0,4.0
202201021058,229.0,4.9
202201021158,256.0,8.0
202201021258,241.0,2.7
202201021358,236.0,3.1
202201021458,233.0,1.8
202201021558,213.0,3.1
202201021658,250.0,2.2
202201021758,285.0,2.2
202201021858,179.0,2.2
202201021958,258.0,1.8
202201022058,266.0,0.4
202201022158,72.0,0.9
202201022258,172.0,1.3
202201022358,52.0,0.4
202201030058,138.0,1.8
202201030158,151.0,1.3
202201030258,137.0,1.8
202201030358,133.0,2.2
202201030458,124.0,3.1
202201030558,125.0,3.6
202201030658,139.0,3.1
202201030758,150.0,2.7
202201030958,246.0,5.4
202201031058,249.0,6.3
202201031258,345.0,4.9
202201031358,322.0,4.5
202201031458,322.0,5.8
202201031558,354.0,2.7
202201031658,342.0,3.1
202201031758,326.0,3.6
202201031858,325.0,3.1
202201032058,313.0,2.2
202201032158,325.0,2.7
202201032258,316.0,0.4
202201032358,231.0,0.4
202201040058,293.0,0.4
202201040158,,0.0
202201040258,148.0,0.4
202201040358,,0.0
202201040458,311.0,0.4
202201040558,288.0,1.8
202201040658,313.0,0.9
202201040758,288.0,0.4
202201040858,,0.0
202201040958,,0.0
202201041058,296.0,0.9
202201041158,,0.0
202201041358,,0.0
202201041458,130.0,0.9
202201041558,135.0,2.2
202201041758,104.0,2.2
202201041858,109.0,2.2
202201041958,175.0,2.7
202201042058,136.0,2.2
202201042158,119.0,2.2
202201042258,,0.0
202201042358,272.0,0.9
202201050058,,0.0
202201050158,,0.0
202201050258,,0.0
202201050358,,0.0
202201050458,249.0,0.4
202201050558,117.0,0.4
202201050658,308.0,0.4
202201050758,,0.0
202201050858,288.0,0.4
202201050958,121.0,1.3
202201051058,95.0,0.4
202201051158,300.0,0.9
202201051258,99.0,0.4
202201051358,214.0,0.4
202201051458,201.0,0.4
202201051558,262.0,1.8
202201051658,273.0,4.0
202201051758,281.0,4.5
202201051858,257.0,4.0
202201051958,243.0,3.6
202201052058,254.0,4.5
202201052158,271.0,3.6
202201052258,272.0,1.8
202201052358,78.0,1.3
202201060058,238.0,0.9
202201060158,254.0,1.3
202201060258,274.0,1.3
202201060358,67.0,0.4
202201060458,,0.0
202201060558,,0.0
202201060658,311.0,0.4
202201060758,,0.0
202201060858,,0.0
202201060958,,0.0
202201061058,314.0,0.4
202201061158,,0.0
202201061258,292.0,0.9
202201061358,,0.0
202201061458,,0.0
202201061558,143.0,3.1
202201061658,125.0,2.7
202201061758,182.0,3.1
202201061858,182.0,3.6
202201061958,188.0,3.1
202201062058,141.0,1.8
202201062158,156.0,0.4
202201062258,157.0,0.9
202201062358,239.0,0.4
202201070058,239.0,1.3
202201070158,229.0,2.7
202201070258,262.0,4.0
202201070458,286.0,4.5
202201070558,296.0,4.5
202201070658,318.0,3.1
202201070758,339.0,1.3
202201070858,318.0,1.8
202201070958,309.0,0.9
202201071058,287.0,0.9
202201071158,,0.0
202201071258,,0.0
202201071358,306.0,0.9
202201071458,358.0,1.3
202201071558,299.0,2.7
202201071658,278.0,2.7
202201071758,312.0,2.7
202201071858,298.0,2.7
202201071958,287.0,3.1
202201072058,275.0,0.9
202201072158,300.0,0.9
202201072258,,0.0
202201072358,,0.0
202201080058,310.0,0.4
202201080158,295.0,0.4
202201080258,290.0,0.9
202201080358,,0.0
202201080458,285.0,0.9
202201080558,279.0,0.4
202201080658,,0.0
202201080758,,0.0
202201080858,,0.0
202201080958,,0.0
202201081058,,0.0
202201081158,,0.0
202201081258,285.0,0.9
202201081358,47.0,0.9
202201081458,80.0,2.2
202201081658,90.0,1.8
202201081758,143.0,1.8
202201081858,53.0,1.3
202201081958,26.0,0.9
202201082058,69.0,1.8
202201082158,126.0,1.8
202201082258,140.0,1.3
202201082358,123.0,1.3
202201090058,113.0,1.3
202201090158,68.0,0.4
202201090258,20.0,0.4
202201090358,,0.0
202201090458,,0.0
202201090558,45.0,0.4
202201090658,83.0,0.4
202201090758,43.0,0.4
202201090858,4.0,0.4
202201090958,29.0,0.4
202201091058,10.0,0.4
202201091158,26.0,0.9
202201091358,52.0,0.9
202201091458,192.0,0.9
202201091558,197.0,0.9
202201091658,220.0,1.8
202201091758,193.0,2.2
202201091858,228.0,2.7
202201091958,217.0,3.1
202201092058,226.0,1.8
202201092158,249.0,0.9
202201092258,215.0,0.4
202201092358,316.0,3.6
202201100058,100.0,0.4
202201100158,,0.0
202201100258,,0.0
202201100358,257.0,1.3
202201100458,295.0,0.9
202201100558,317.0,1.3
202201100658,326.0,0.9
202201100758,11.0,3.1
202201100858,329.0,1.8
202201100958,353.0,0.9
202201101058,356.0,1.3
202201101158,10.0,0.4
202201101258,2.0,1.3
202201101458,23.0,2.7
202201101558,38.0,2.7
202201101658,30.0,2.2
202201101758,348.0,2.2
202201101858,355.0,1.8
202201101958,358.0,1.3
202201102058,25.0,2.2
202201102158,7.0,0.9
202201102358,,0.0
202201110058,,0.0
202201110158,,0.0
202201110258,,0.0
202201110358,270.0,1.8
202201110458,,0.0
202201110558,283.0,2.7
202201110658,306.0,1.3
202201110758,,0.0
202201110858,316.0,0.4
202201110958,,0.0
202201111058,,0.0
202201111158,112.0,0.4
202201111258,298.0,0.9
202201111358,282.0,0.4
202201111458,83.0,1.3
202201111558,130.0,2.2
202201111658,102.0,1.8
202201111758,25.0,0.4
202201111858,27.0,1.8
202201111958,100.0,1.3
202201112058,88.0,0.4
202201112158,,0.0
202201112258,,0.0
202201112358,,0.0
202201120058,,0.0
202201120158,,0.0
202201120258,,0.0
202201120358,,0.0
202201120458,168.0,0.4
202201120558,,0.0
202201120758,,0.0
202201120858,,0.0
202201120958,,0.0
202201121058,,0.0
202201121158,,0.0
202201121358,,0.0
202201121458,,0.0
202201121558,246.0,2.2
202201121658,267.0,2.2
202201121758,242.0,1.3
202201121858,244.0,3.1
202201121958,257.0,2.7
202201122058,250.0,2.2
202201122358,,0.0
202201130058,,0.0
202201130158,84.0,0.4
202201130258,,0.0
202201130358,,0.0
202201130458,,0.0
202201130558,,0.0
202201130658,,0.0
202201130858,,0.0
202201130958,298.0,0.4
202201131058,,0.0
202201131158,99.0,0.4
202201131258,,0.0
