timestamp string,wind direction,wind speed
202201010026,128.0,0.9
202201010126,120.0,1.3
202201010226,74.0,0.9
202201010326,94.0,0.9
202201010426,148.0,1.3
202201010526,105.0,0.9
202201010626,36.0,0.4
202201010726,127.0,0.9
202201010826,156.0,1.3
202201010926,169.0,2.2
202201011026,157.0,1.3
202201011126,196.0,2.2
202201011226,226.0,2.2
202201011326,208.0,1.3
202201011426,154.0,1.3
202201011526,186.0,1.8
202201011626,225.0,3.1
202201011726,172.0,3.6
202201011826,216.0,3.6
202201011926,189.0,3.1
202201012026,198.0,2.7
202201012126,175.0,3.1
202201012226,224.0,2.7
202201012326,314.0,1.8
202201020026,74.0,0.9
202201020126,348.0,1.3
202201020226,289.0,1.3
202201020326,250.0,0.9
202201020426,321.0,1.8
202201020526,286.0,1.3
202201020626,169.0,0.9
202201020726,318.0,1.8
202201020826,173.0,0.4
202201020926,159.0,0.4
202201021026,168.0,0.9
202201021126,83.0,0.4
202201021226,,0.0
202201021326,,0.0
202201021426,68.0,0.4
202201021526,325.0,0.4
202201021626,,0.0
202201021726,245.0,0.4
202201021826,25.0,2.2
202201021926,315.0,2.2
202201022026,343.0,3.6
202201022126,23.0,2.2
202201022226,355.0,2.7
202201022326,324.0,2.7
202201030126,316.0,1.8
202201030226,330.0,3.1
202201030326,335.0,2.7
202201030426,344.0,3.1
202201030526,330.0,3.6
202201030626,322.0,4.0
202201030726,330.0,3.1
202201030826,324.0,2.7
202201030926,317.0,3.6
202201031026,345.0,3.1
202201031126,314.0,4.0
202201031226,315.0,4.0
202201031326,315.0,3.6
202201031426,315.0,3.1
202201031526,315.0,2.7
202201031626,315.0,3.6
202201031726,315.0,3.1
202201031826,315.0,2.2
202201031926,315.0,3.1
202201032026,315.0,2.2
202201032126,315.0,2.2
202201032226,315.0,1.8
202201032326,315.0,1.8
202201040026,315.0,1.3
202201040126,315.0,0.9
202201040226,315.0,0.9
202201040326,315.0,0.4
202201040426,,0.0
202201040526,,0.0
202201040626,,0.0
202201040726,,0.0
202201040826,,0.0
202201040926,,0.0
202201041026,,0.0
202201041126,,0.0
202201041226,315.0,0.4
202201041326,,0.0
202201041426,315.0,0.4
202201041526,195.0,1.3
202201041626,239.0,1.8
202201041826,161.0,1.8
202201041926,142.0,1.8
202201042026,169.0,2.2
202201042126,158.0,1.8
202201042226,163.0,0.9
202201042326,234.0,0.4
202201050026,132.0,1.3
202201050126,326.0,1.3
202201050226,83.0,1.3
202201050326,122.0,1.8
202201050426,96.0,2.2
202201050526,90.0,2.2
202201050626,92.0,1.8
202201050726,96.0,1.8
202201050826,60.0,1.3
202201050926,91.0,1.3
202201051026,323.0,1.3
202201051126,121.0,1.3
202201051226,138.0,2.2
202201051326,190.0,1.8
202201051426,207.0,2.2
202201051526,162.0,2.2
202201051626,197.0,1.8
202201051726,185.0,2.2
202201051826,204.0,1.8
202201051926,182.0,2.7
202201052026,214.0,1.8
202201052126,171.0,2.2
202201052226,171.0,1.3
202201052326,147.0,1.3
202201060026,168.0,0.4
202201060126,111.0,0.4
202201060226,129.0,0.4
202201060326,135.0,0.9
202201060426,,0.0
202201060526,92.0,0.4
202201060626,170.0,0.4
202201060726,170.0,0.4
202201060826,170.0,0.4
202201060926,,0.0
202201061026,170.0,0.4
202201061126,170.0,0.4
202201061226,,0.0
202201061326,,0.0
202201061426,,0.0
202201061526,170.0,0.9
202201061626,235.0,0.4
202201061726,325.0,1.3
202201061826,289.0,0.9
202201061926,321.0,1.8
202201062026,335.0,2.2
202201062126,335.0,1.8
202201062226,335.0,1.3
202201062326,335.0,3.6
202201070026,335.0,2.7
202201070126,335.0,1.3
202201070226,335.0,2.7
202201070326,335.0,2.2
202201070426,335.0,2.7
202201070526,335.0,2.7
202201070626,335.0,4.0
202201070726,335.0,3.1
202201070826,335.0,3.1
202201070926,335.0,3.1
202201071026,335.0,2.7
202201071126,335.0,2.2
202201071226,335.0,2.2
202201071326,335.0,0.9
202201071426,335.0,1.3
202201071526,346.0,1.8
202201071626,301.0,2.2
202201071726,288.0,2.7
202201071826,18.0,1.3
202201071926,348.0,1.3
202201072026,277.0,0.9
202201072126,108.0,1.3
202201072226,115.0,1.3
202201072326,115.0,0.9
202201080026,,0.0
202201080126,115.0,0.9
202201080226,115.0,0.9
202201080326,,0.0
202201080426,115.0,0.4
202201080526,,0.0
202201080626,,0.0
202201080826,115.0,0.4
202201080926,115.0,0.4
202201081026,115.0,0.4
202201081126,,0.0
202201081226,,0.0
202201081326,115.0,0.4
202201081426,115.0,0.9
202201081526,222.0,1.3
202201081626,199.0,1.8
202201081726,219.0,1.8
202201081826,187.0,2.2
202201081926,243.0,1.3
202201082026,210.0,2.2
202201082126,215.0,1.3
202201082226,198.0,1.8
202201082326,194.0,1.8
202201090226,209.0,1.3
202201090326,168.0,1.3
202201090426,28.0,1.3
202201090526,95.0,1.8
202201090626,78.0,3.1
202201090726,75.0,3.6
202201090826,84.0,3.1
202201090926,92.0,1.8
202201091026,150.0,2.2
202201091126,145.0,2.7
202201091226,125.0,3.1
202201091326,148.0,2.7
202201091426,77.0,2.2
202201091526,201.0,2.2
202201091626,116.0,1.8
202201091726,153.0,1.8
202201091826,269.0,0.9
202201091926,135.0,0.9
202201092026,248.0,0.4
202201092126,280.0,0.4
202201092226,301.0,0.4
202201092326,333.0,3.1
202201100026,329.0,3.6
202201100126,334.0,3.6
