timestamp string,wind direction,wind speed
202201010000,149.0,0.9
202201010100,145.0,0.8
202201010200,145.0,1.1
202201010300,142.0,1.2
202201010400,142.0,1.2
202201010500,141.0,1.5
202201010600,146.0,1.6
202201010700,159.0,1.7
202201010800,172.0,2.1
202201010900,173.0,2.0
202201011000,170.0,1.7
202201011100,161.0,1.7
202201011200,166.0,1.7
202201011300,165.0,1.2
202201011400,155.0,1.5
202201011500,165.0,2.2
202201011600,173.0,2.8
202201011700,183.0,3.2
202201011800,194.0,3.0
202201011900,190.0,2.8
202201012100,183.0,2.9
202201012200,182.0,2.2
202201012300,182.0,2.9
202201020000,338.0,1.6
202201020100,18.0,0.9
202201020200,48.0,1.1
202201020300,63.0,1.0
202201020400,55.0,0.6
202201020500,53.0,0.3
202201020600,82.0,0.3
202201020700,246.0,0.3
202201020800,259.0,0.8
202201020900,246.0,0.7
202201021000,238.0,0.2
202201021100,251.0,0.7
202201021200,242.0,0.3
202201021300,253.0,0.9
202201021400,262.0,1.6
202201021500,263.0,1.0
202201021600,320.0,0.7
202201021700,283.0,1.0
202201021800,279.0,1.1
202201021900,271.0,1.4
202201022000,306.0,0.9
202201022100,36.0,1.2
202201022200,14.0,1.2
202201022300,25.0,1.1
202201030000,11.0,1.0
202201030100,359.0,1.2
202201030200,276.0,1.3
202201030300,274.0,1.1
202201030400,278.0,0.8
202201030500,268.0,1.0
202201030600,263.0,1.5
202201030700,268.0,1.6
202201030800,270.0,1.2
202201030900,263.0,1.6
202201031000,262.0,1.3
202201031100,266.0,1.5
202201031200,289.0,1.2
202201031300,281.0,1.2
202201031400,285.0,1.2
202201031500,10.0,0.9
202201031600,23.0,0.9
202201031700,16.0,1.0
202201031800,21.0,1.6
202201031900,,1.1
202201032000,33.0,1.2
202201032200,39.0,0.9
202201032300,25.0,0.7
202201040000,346.0,0.3
202201040100,12.0,0.5
202201040200,11.0,0.2
202201040300,280.0,0.3
202201040400,275.0,0.3
202201040500,274.0,0.3
202201040600,14.0,0.1
202201040700,,0.0
202201040800,,0.0
202201040900,29.0,0.0
202201041000,28.0,0.1
202201041100,30.0,0.1
202201041200,329.0,0.0
202201041300,274.0,0.1
202201041400,96.0,0.1
202201041500,116.0,0.6
202201041600,140.0,1.3
202201041700,143.0,1.9
