timestamp string,wind direction,wind speed
202201010000,151.0,1.1
202201010100,167.0,1.1
202201010200,174.0,1.2
202201010300,197.0,2.5
202201010400,200.0,3.4
202201010500,202.0,2.9
202201010600,210.0,2.7
202201010700,199.0,3.8
202201010800,200.0,3.5
202201010900,200.0,3.4
202201011000,200.0,3.5
202201011100,203.0,2.9
202201011200,200.0,2.8
202201011300,195.0,2.8
202201011400,198.0,3.3
202201011500,202.0,4.0
202201011600,210.0,5.1
202201011700,210.0,5.2
202201011800,213.0,5.8
202201011900,216.0,4.9
202201012000,203.0,5.3
202201012100,205.0,5.0
202201012200,193.0,4.4
202201012300,191.0,5.1
202201020000,197.0,4.9
202201020100,192.0,4.8
202201020200,203.0,6.2
202201020300,206.0,5.1
202201020400,211.0,5.0
202201020600,246.0,3.1
202201020800,293.0,1.8
202201020900,288.0,2.3
202201021000,310.0,2.1
202201021100,310.0,1.6
202201021200,306.0,1.6
202201021300,299.0,1.5
202201021400,301.0,1.6
202201021500,336.0,1.3
202201021600,8.0,1.4
202201021700,329.0,2.3
202201021800,320.0,3.8
202201021900,325.0,4.5
202201022000,342.0,4.0
202201022100,352.0,4.1
202201022200,348.0,4.1
202201022300,356.0,3.2
202201030000,346.0,4.2
202201030100,338.0,3.8
202201030200,320.0,4.2
202201030300,329.0,4.0
202201030400,327.0,3.6
202201030500,317.0,4.7
202201030600,310.0,4.4
202201030700,312.0,5.2
202201030800,311.0,4.8
202201030900,319.0,5.1
202201031000,329.0,4.8
202201031100,322.0,4.9
202201031200,325.0,4.9
202201031400,332.0,3.9
202201031500,334.0,3.5
202201031600,333.0,3.9
202201031700,352.0,3.9
202201031800,359.0,3.6
202201031900,6.0,3.4
202201032000,19.0,2.8
202201032100,13.0,2.5
202201032200,10.0,2.7
202201032300,352.0,2.9
202201040000,15.0,2.2
202201040200,9.0,2.8
202201040300,349.0,2.6
202201040400,18.0,2.2
202201040500,25.0,2.4
202201040600,26.0,1.1
202201040700,45.0,1.2
202201040800,46.0,1.7
202201040900,48.0,1.6
202201041000,61.0,1.9
202201041100,88.0,1.5
202201041200,141.0,0.7
202201041300,69.0,0.3
202201041400,73.0,0.4
202201041500,119.0,1.4
202201041600,122.0,2.0
202201041700,160.0,2.3
202201041800,174.0,3.1
202201041900,179.0,3.6
202201042000,171.0,3.6
202201042100,163.0,3.5
202201042200,163.0,3.2
202201042300,157.0,2.1
202201050000,155.0,1.5
202201050200,149.0,1.2
202201050300,165.0,1.0
202201050400,148.0,1.4
202201050500,178.0,1.2
202201050600,177.0,1.2
202201050700,197.0,2.1
202201050800,200.0,2.2
202201050900,190.0,1.7
202201051000,172.0,0.8
202201051100,175.0,1.2
202201051200,153.0,0.7
202201051300,119.0,0.6
202201051400,118.0,0.6
202201051500,188.0,1.4
202201051600,212.0,2.2
202201051700,233.0,2.0
202201051800,236.0,2.4
202201051900,251.0,2.7
202201052100,232.0,1.4
202201052200,212.0,1.3
202201060000,66.0,1.0
202201060100,67.0,0.8
202201060200,63.0,0.8
202201060300,53.0,0.7
202201060400,45.0,0.4
202201060500,34.0,0.3
202201060600,59.0,0.6
202201060700,53.0,0.2
202201060800,72.0,0.6
202201060900,67.0,0.7
202201061000,21.0,0.8
202201061100,55.0,1.4
202201061200,67.0,1.9
202201061300,86.0,2.5
202201061400,100.0,2.1
202201061500,50.0,1.8
202201061600,33.0,1.9
202201061700,4.0,1.6
202201061800,343.0,2.5
202201061900,334.0,3.7
202201062000,338.0,4.7
202201062100,336.0,4.5
202201062200,342.0,3.7
202201062300,340.0,3.1
202201070000,337.0,3.9
202201070100,339.0,4.6
202201070200,336.0,4.1
202201070300,345.0,4.2
202201070400,344.0,2.9
202201070500,333.0,3.1
202201070600,334.0,2.8
202201070700,351.0,3.0
202201070800,337.0,3.0
202201070900,355.0,2.9
202201071000,355.0,2.8
202201071100,353.0,3.2
202201071200,354.0,2.8
202201071300,11.0,2.7
202201071400,13.0,2.2
202201071500,18.0,2.3
202201071600,17.0,3.0
202201071700,25.0,3.1
202201071800,31.0,2.3
