timestamp string,wind direction,wind speed
202201010000,180.0,0.8
202201010100,176.0,0.6
202201010200,180.0,1.3
202201010300,170.0,1.0
202201010400,176.0,1.5
202201010500,190.0,2.5
202201010600,191.0,2.9
202201010700,194.0,3.1
202201010800,203.0,3.6
202201010900,212.0,3.3
202201011000,215.0,3.4
202201011100,208.0,3.1
202201011200,203.0,2.6
202201011300,202.0,3.0
202201011400,203.0,3.6
202201011500,199.0,3.9
202201011600,,
202201011700,202.0,5.4
202201011900,214.0,4.7
202201012000,231.0,2.9
202201012100,268.0,1.1
202201012200,293.0,2.2
202201012300,,1.7
202201020000,5.0,1.2
202201020100,62.0,1.5
202201020200,35.0,1.7
202201020300,60.0,1.3
202201020400,89.0,1.0
202201020500,120.0,0.6
202201020700,260.0,0.9
202201020800,274.0,1.8
202201020900,290.0,1.4
202201021000,289.0,1.1
202201021100,299.0,2.1
202201021200,296.0,1.7
202201021300,298.0,1.7
202201021400,310.0,1.2
202201021500,308.0,1.7
202201021600,310.0,2.0
202201021700,308.0,2.1
202201021800,297.0,2.3
202201021900,328.0,1.5
202201022000,335.0,1.7
202201022100,324.0,1.8
202201022200,335.0,1.7
202201022300,325.0,1.5
202201030000,321.0,2.2
202201030100,308.0,2.8
202201030200,308.0,2.2
202201030300,308.0,2.1
202201030400,305.0,2.1
202201030500,302.0,2.7
202201030600,305.0,2.7
202201030700,306.0,2.8
202201030800,310.0,2.7
202201030900,310.0,2.5
202201031000,321.0,2.9
202201031100,326.0,2.6
202201031200,327.0,2.1
202201031300,340.0,2.0
202201031400,349.0,1.7
202201031500,334.0,1.4
202201031600,343.0,1.3
202201031700,342.0,1.3
202201031800,354.0,1.1
202201031900,341.0,1.1
202201032000,349.0,0.8
202201032100,14.0,0.8
202201032200,318.0,0.6
202201032300,318.0,0.6
202201040000,298.0,0.4
202201040100,293.0,0.4
202201040200,300.0,0.6
202201040300,2.0,0.6
202201040400,43.0,0.8
202201040500,39.0,0.6
202201040600,67.0,1.5
202201040700,72.0,1.5
202201040800,72.0,1.6
202201040900,78.0,2.2
202201041000,78.0,1.5
202201041100,52.0,0.4
202201041200,246.0,0.5
202201041300,209.0,0.6
202201041400,161.0,0.6
202201041500,128.0,1.7
202201041600,107.0,2.7
202201041700,108.0,2.7
202201041800,160.0,2.8
202201041900,165.0,2.6
202201042000,160.0,2.6
202201042200,172.0,2.2
202201042300,178.0,1.4
202201050000,164.0,1.2
202201050100,146.0,1.9
202201050200,151.0,2.0
202201050300,168.0,1.5
202201050400,182.0,1.8
202201050500,194.0,2.4
202201050600,199.0,2.5
202201050700,194.0,2.4
202201050800,191.0,2.6
202201050900,196.0,2.4
202201051000,196.0,2.2
202201051100,205.0,2.0
202201051200,212.0,2.3
202201051300,216.0,2.9
202201051400,217.0,1.8
202201051500,216.0,1.9
202201051600,231.0,2.4
202201051700,241.0,2.5
202201051800,271.0,1.8
202201051900,269.0,1.7
202201052000,267.0,1.4
202201052100,274.0,1.2
202201052200,294.0,1.1
202201052300,276.0,0.7
202201060000,244.0,0.8
202201060100,248.0,0.9
202201060200,264.0,0.5
202201060400,209.0,0.9
202201060500,214.0,0.8
202201060600,195.0,0.4
202201060700,261.0,0.3
202201060800,33.0,1.0
202201060900,101.0,1.1
202201061000,71.0,1.4
202201061100,62.0,2.4
202201061200,37.0,1.7
202201061300,24.0,1.4
202201061400,27.0,1.6
