timestamp string,wind direction,wind speed
202201010000,142.0,0.9
202201010100,145.0,1.1
202201010200,145.0,1.1
202201010300,146.0,1.3
202201010400,141.0,1.2
202201010500,160.0,1.0
202201010600,174.0,1.3
202201010700,178.0,1.6
202201010800,185.0,1.6
202201010900,198.0,1.5
202201011000,191.0,1.6
202201011100,188.0,1.1
202201011200,174.0,1.3
202201011300,178.0,1.3
202201011400,177.0,1.5
202201011500,192.0,1.7
202201011600,198.0,1.9
202201011700,207.0,2.5
202201011800,216.0,3.0
202201011900,225.0,2.6
202201012000,201.0,2.1
202201012100,192.0,1.6
202201012200,188.0,2.1
202201012300,183.0,2.5
202201020000,196.0,2.8
202201020100,188.0,2.6
202201020200,199.0,3.1
202201020300,286.0,1.7
202201020400,220.0,0.8
202201020500,324.0,2.6
202201020600,359.0,1.5
202201020700,233.0,0.8
202201020800,327.0,0.3
202201020900,329.0,0.3
202201021000,19.0,0.1
202201021100,274.0,0.1
202201021200,345.0,0.1
202201021300,359.0,0.0
202201021400,320.0,0.2
202201021500,319.0,0.3
202201021600,313.0,0.4
202201021700,316.0,1.5
202201021800,322.0,1.7
202201021900,322.0,2.3
202201022100,337.0,2.5
202201022200,336.0,2.5
202201022300,352.0,2.3
202201030000,336.0,2.9
202201030100,336.0,2.9
202201030200,338.0,3.0
202201030300,327.0,2.5
202201030400,332.0,2.1
202201030500,328.0,2.0
202201030600,326.0,2.0
202201030700,325.0,1.8
202201030800,323.0,1.5
202201030900,,0.0
202201031000,,0.0
202201031100,,0.0
202201031200,,0.0
202201031300,,0.0
202201031400,,0.0
202201031500,,0.0
202201031600,,0.0
202201031700,342.0,1.7
202201031800,328.0,1.7
202201031900,337.0,1.9
202201032000,359.0,1.3
202201032100,,1.0
202201032200,343.0,1.4
202201032300,346.0,1.2
202201040000,343.0,1.2
202201040100,357.0,1.1
202201040200,358.0,1.0
202201040300,347.0,0.9
202201040400,15.0,0.4
202201040500,53.0,0.2
202201040600,,0.0
202201040700,,0.0
202201040800,50.0,0.2
202201040900,51.0,0.2
202201041000,66.0,0.4
202201041100,343.0,0.2
202201041300,220.0,0.1
202201041400,221.0,0.6
202201041500,207.0,1.0
202201041600,177.0,1.5
202201041700,162.0,1.3
202201041800,174.0,1.4
202201041900,189.0,1.8
202201042000,174.0,2.2
202201042100,171.0,2.1
202201042200,156.0,1.8
202201042300,167.0,1.0
202201050000,153.0,1.4
202201050100,140.0,2.1
202201050200,145.0,2.2
202201050300,153.0,1.3
202201050400,141.0,1.9
202201050500,152.0,1.3
202201050600,151.0,1.5
202201050700,154.0,1.2
202201050800,172.0,0.8
202201050900,174.0,0.8
202201051000,163.0,0.9
202201051300,148.0,1.0
202201051500,139.0,1.1
202201051600,146.0,1.1
202201051700,147.0,0.5
202201051800,241.0,0.7
202201051900,276.0,1.0
202201052000,252.0,0.8
202201052100,247.0,0.9
202201052200,256.0,0.3
202201052300,82.0,0.2
202201060000,70.0,0.1
202201060200,6.0,0.0
202201060300,133.0,0.1
202201060400,208.0,0.1
202201060500,,0.0
202201060600,214.0,0.0
202201060700,42.0,0.2
202201060800,261.0,0.1
202201060900,85.0,0.3
202201061000,48.0,0.6
