timestamp string,wind direction,wind speed
202201010000,,0.0
202201010100,152.0,0.0
202201010200,174.0,0.4
202201010300,,0.0
202201010400,207.0,0.3
202201010500,194.0,0.2
202201010600,208.0,1.8
202201010700,209.0,2.3
202201010800,205.0,1.6
202201010900,219.0,0.8
202201011000,219.0,0.6
202201011100,212.0,1.3
202201011200,207.0,1.4
202201011300,211.0,1.5
202201011400,209.0,1.8
202201011500,214.0,2.8
202201011600,210.0,3.4
202201011700,213.0,3.3
202201011800,212.0,3.7
202201011900,217.0,2.4
202201012000,214.0,2.8
202201012100,213.0,2.4
202201012200,210.0,2.4
202201012300,201.0,1.4
202201020000,193.0,2.6
202201020100,192.0,3.3
202201020200,197.0,3.4
202201020300,200.0,3.1
202201020400,203.0,3.4
202201020500,201.0,3.6
202201020600,200.0,2.9
202201020700,196.0,3.1
202201020800,191.0,2.6
202201020900,193.0,3.0
202201021000,202.0,3.5
202201021100,224.0,2.6
202201021200,288.0,3.0
202201021300,221.0,1.0
202201021400,186.0,1.5
202201021500,186.0,2.1
202201021600,197.0,2.2
202201021700,214.0,2.1
202201021800,208.0,1.6
202201021900,208.0,1.6
202201022000,162.0,0.8
202201022200,124.0,0.1
202201022300,161.0,0.0
202201030000,175.0,0.1
202201030100,126.0,0.1
202201030200,,0.0
202201030300,121.0,0.6
202201030400,87.0,1.1
202201030500,89.0,1.8
202201030600,117.0,3.2
202201030700,247.0,1.8
202201030800,256.0,6.3
202201030900,264.0,7.0
202201031000,279.0,7.2
202201031100,291.0,6.0
202201031200,294.0,4.4
202201031300,291.0,4.5
202201031400,302.0,4.5
202201031500,303.0,4.4
202201031600,308.0,4.7
202201031700,308.0,4.0
202201031800,308.0,3.5
202201031900,312.0,3.7
202201032000,314.0,3.5
202201032100,312.0,3.3
202201032200,296.0,2.5
202201032300,300.0,2.0
202201040000,296.0,1.8
202201040100,300.0,1.5
202201040200,299.0,0.6
202201040300,309.0,0.2
202201040400,,0.0
202201040500,320.0,0.1
202201040600,,0.0
202201040700,,0.0
202201040800,353.0,0.1
202201040900,,0.0
202201041000,,0.0
202201041100,,0.0
202201041200,,0.0
202201041300,100.0,0.6
202201041400,114.0,1.7
202201041500,121.0,1.9
202201041600,104.0,2.8
202201041700,104.0,3.1
202201041800,116.0,3.5
202201041900,113.0,3.5
202201042000,104.0,2.8
202201042100,110.0,2.5
202201042200,126.0,2.7
202201042300,97.0,1.9
202201050000,77.0,0.6
202201050100,,0.0
202201050200,96.0,0.3
202201050400,102.0,1.8
202201050500,87.0,0.8
202201050600,109.0,0.5
202201050700,78.0,0.3
202201050800,30.0,0.2
202201050900,29.0,0.5
202201051100,347.0,0.4
202201051200,356.0,0.3
202201051300,,0.0
202201051400,,0.0
202201051500,,0.0
202201051600,215.0,0.3
202201051700,256.0,2.3
202201051800,280.0,2.5
202201051900,267.0,3.2
202201052000,262.0,3.5
202201052100,295.0,2.5
202201052200,283.0,2.5
202201052300,283.0,0.4
202201060000,,0.0
202201060100,,0.0
202201060200,,0.0
202201060300,,0.0
202201060400,,0.0
202201060500,326.0,0.8
202201060700,,0.0
202201060800,314.0,0.1
202201060900,310.0,0.0
202201061000,322.0,0.1
202201061100,337.0,0.8
202201061200,325.0,0.0
202201061300,,0.0
202201061400,154.0,0.3
202201061500,143.0,0.5
202201061600,110.0,1.3
202201061700,159.0,2.8
202201061800,179.0,2.8
202201061900,182.0,3.4
202201062000,183.0,3.4
202201062100,198.0,3.0
202201062200,199.0,1.9
202201062300,267.0,0.3
202201070000,301.0,0.4
