timestamp string,wind direction,wind speed
202201010000,169.0,2.0
202201010100,160.0,1.5
202201010200,144.0,1.2
202201010300,149.0,1.2
202201010400,150.0,1.7
202201010500,176.0,2.9
202201010600,186.0,3.6
202201010700,187.0,4.7
202201010800,198.0,5.2
202201010900,200.0,5.4
202201011000,204.0,4.3
202201011100,201.0,4.3
202201011200,192.0,3.9
202201011300,190.0,3.6
202201011400,192.0,3.5
202201011500,184.0,4.3
202201011600,198.0,5.9
202201011700,205.0,7.5
202201011800,212.0,7.0
202201011900,210.0,7.3
202201012000,207.0,7.2
202201012100,204.0,7.2
202201012200,193.0,5.5
202201012300,184.0,4.9
202201020000,196.0,7.1
202201020100,288.0,5.3
202201020200,10.0,3.9
202201020300,25.0,4.0
202201020400,30.0,2.9
202201020500,26.0,1.6
202201020600,63.0,0.8
202201020700,204.0,0.9
202201020800,270.0,0.8
202201020900,277.0,2.1
202201021000,280.0,0.9
202201021100,281.0,1.0
202201021200,298.0,1.6
202201021300,298.0,0.8
202201021400,296.0,1.3
202201021500,298.0,1.2
202201021600,329.0,2.6
202201021700,324.0,2.5
202201021800,338.0,2.6
202201021900,335.0,3.0
202201022000,4.0,3.4
202201022100,14.0,3.7
202201022200,6.0,3.6
202201022300,2.0,3.7
202201030000,3.0,3.7
202201030100,354.0,4.0
202201030200,347.0,4.1
202201030300,337.0,3.7
202201030400,334.0,3.2
202201030500,333.0,3.8
202201030600,330.0,4.7
202201030700,325.0,4.3
202201030800,329.0,3.9
202201030900,331.0,4.1
202201031000,332.0,4.1
202201031100,332.0,4.4
202201031200,343.0,4.3
202201031300,347.0,3.7
202201031400,355.0,3.8
202201031500,337.0,3.3
202201031600,340.0,3.4
202201031700,346.0,3.6
202201031800,4.0,3.7
202201031900,4.0,3.2
202201032000,8.0,2.3
202201032100,37.0,2.4
202201032200,31.0,2.1
202201040000,1.0,1.7
202201040100,357.0,1.7
202201040200,0.0,1.7
202201040300,11.0,0.4
202201040400,29.0,0.2
202201040500,29.0,0.2
202201040600,25.0,0.4
202201040700,347.0,0.3
202201040800,20.0,0.3
202201040900,85.0,0.2
202201041000,64.0,0.1
202201041100,23.0,0.3
202201041200,349.0,0.1
202201041300,273.0,0.0
202201041400,37.0,0.4
202201041500,113.0,0.4
202201041600,155.0,1.0
202201041700,164.0,3.0
202201041800,167.0,3.1
202201041900,174.0,3.8
202201042000,172.0,4.6
202201042100,155.0,4.6
202201042300,162.0,2.9
202201050000,160.0,2.3
202201050100,159.0,2.9
202201050300,168.0,3.9
202201050400,171.0,4.7
202201050500,176.0,3.9
202201050600,176.0,2.8
202201050700,180.0,3.5
202201050800,193.0,3.7
202201050900,195.0,3.3
202201051000,181.0,2.4
202201051100,173.0,2.3
202201051200,178.0,2.5
202201051300,177.0,2.6
202201051400,174.0,2.8
202201051500,182.0,2.9
202201051600,194.0,3.1
202201051700,203.0,3.1
202201051800,229.0,2.9
202201051900,254.0,3.0
202201052000,249.0,2.5
202201052100,238.0,2.1
202201052200,211.0,1.9
202201052300,216.0,1.0
202201060000,116.0,0.2
202201060100,121.0,0.1
202201060200,19.0,0.2
202201060300,343.0,0.1
202201060400,348.0,0.2
202201060500,16.0,0.7
202201060600,21.0,0.9
202201060800,19.0,1.0
202201060900,46.0,1.2
202201061000,21.0,1.7
202201061100,22.0,1.3
202201061200,17.0,2.2
202201061300,34.0,1.8
202201061400,13.0,2.3
202201061600,28.0,3.4
202201061700,26.0,2.9
202201061800,354.0,3.4
202201061900,1.0,3.9
202201062100,358.0,3.2
202201062200,337.0,2.8
202201062300,344.0,3.5
202201070000,345.0,3.9
202201070100,354.0,3.8
202201070200,358.0,3.2
202201070300,338.0,2.9
202201070400,8.0,3.2
202201070500,6.0,3.2
202201070600,359.0,3.3
202201070700,13.0,3.2
202201070800,345.0,2.6
202201070900,341.0,2.4
202201071000,7.0,2.9
202201071100,1.0,2.8
202201071200,6.0,2.7
202201071300,353.0,2.6
202201071400,1.0,2.6
202201071500,13.0,3.0
202201071700,30.0,3.1
202201071800,35.0,2.8
202201071900,32.0,2.1
202201072000,13.0,2.5
202201072100,12.0,2.5
202201072200,0.0,2.0
202201072300,1.0,1.7
202201080000,7.0,1.7
202201080100,23.0,1.9
202201080200,30.0,1.9
202201080300,31.0,2.1
202201080400,31.0,1.9
202201080500,38.0,1.5
202201080600,88.0,0.3
202201080700,42.0,0.6
202201080800,57.0,0.4
202201080900,43.0,0.8
202201081000,86.0,0.4
202201081100,144.0,1.2
202201081200,145.0,1.8
202201081300,148.0,2.5
202201081400,149.0,2.0
202201081500,149.0,2.9
202201081600,143.0,4.1
202201081700,157.0,4.4
202201081800,156.0,4.7
202201081900,156.0,4.5
202201082000,171.0,4.9
202201082100,152.0,3.8
202201082200,145.0,3.4
202201082300,147.0,3.4
202201090000,141.0,2.9
202201090100,145.0,3.7
202201090200,148.0,4.4
202201090300,146.0,4.7
202201090400,153.0,3.9
202201090500,153.0,2.9
202201090600,154.0,3.1
202201090700,162.0,4.3
202201090800,155.0,4.4
202201090900,154.0,4.0
202201091000,153.0,4.2
202201091100,158.0,4.6
202201091200,155.0,4.1
202201091300,147.0,4.1
202201091400,154.0,4.4
202201091500,151.0,4.6
202201091600,152.0,4.2
202201091700,152.0,3.8
202201091800,161.0,3.3
202201091900,180.0,1.5
202201092000,14.0,1.7
202201092200,356.0,1.9
202201092300,358.0,4.7
202201100000,1.0,5.1
202201100100,7.0,5.5
202201100200,14.0,4.3
202201100300,15.0,4.2
202201100400,4.0,3.5
202201100500,6.0,3.7
202201100700,6.0,3.5
202201100800,5.0,4.1
202201100900,7.0,3.9
202201101000,6.0,3.9
202201101100,9.0,3.7
202201101200,8.0,3.8
202201101300,17.0,2.3
202201101400,358.0,1.6
202201101500,1.0,2.1
202201101600,359.0,3.2
202201101700,12.0,2.7
202201101800,6.0,2.7
202201101900,16.0,3.3
202201102000,4.0,3.0
202201102100,344.0,2.5
202201102200,339.0,2.1
202201102300,336.0,1.7
202201110000,349.0,0.6
202201110100,,0.1
202201110200,340.0,0.1
202201110300,16.0,0.7
202201110400,19.0,0.8
202201110500,7.0,1.2
202201110600,10.0,1.5
202201110700,30.0,0.7
202201110800,13.0,0.4
