timestamp string,wind direction,wind speed
202201010000,205.0,0.6
202201010015,30.0,0.5
202201010030,30.0,0.8
202201010045,0.0,0.8
202201010116,160.0,0.2
202201010131,155.0,0.7
202201010146,230.0,
202201010201,265.0,0.3
202201010216,270.0,
202201010246,265.0,0.8
202201010301,155.0,0.6
202201010316,260.0,0.7
202201010331,95.0,
202201010346,315.0,1.2
202201010401,235.0,0.4
202201010416,225.0,0.4
202201010431,150.0,
202201010446,235.0,0.6
202201010516,200.0,
202201010531,220.0,
202201010546,210.0,0.5
202201010601,255.0,
202201010616,310.0,1.2
202201010631,240.0,0.9
202201010646,235.0,0.5
202201010700,255.0,0.6
202201010715,260.0,0.4
202201010745,230.0,1.6
202201010801,265.0,1.8
202201010816,260.0,2.0
202201010830,260.0,1.9
202201010845,260.0,2.5
202201010900,270.0,3.8
202201010916,265.0,3.9
202201010930,270.0,3.2
202201010945,265.0,3.8
202201011000,280.0,4.1
202201011015,255.0,2.3
202201011031,260.0,2.4
202201011045,270.0,4.4
202201011100,255.0,3.5
202201011115,270.0,4.1
202201011130,265.0,3.7
202201011145,260.0,4.1
202201011200,260.0,2.8
202201011215,265.0,3.9
202201011230,260.0,3.6
202201011245,245.0,3.1
202201011315,240.0,2.5
202201011345,235.0,3.2
202201011400,230.0,1.7
202201011415,250.0,1.9
202201011430,245.0,3.6
202201011445,270.0,3.7
202201011500,275.0,4.2
202201011515,270.0,5.3
202201011530,260.0,3.5
202201011600,265.0,3.6
202201011615,230.0,3.1
202201011630,275.0,4.3
202201011645,245.0,4.3
202201011700,255.0,2.4
202201011715,260.0,3.4
202201011730,280.0,2.4
202201011745,265.0,2.9
202201011800,265.0,2.8
202201011815,260.0,3.6
202201011830,240.0,4.8
202201011845,255.0,3.8
202201011900,250.0,4.0
202201011915,260.0,3.8
202201011930,235.0,3.8
202201012015,235.0,3.3
202201012030,250.0,3.5
202201012045,260.0,2.9
202201012100,260.0,3.0
202201012115,240.0,3.3
202201012130,265.0,5.6
202201012200,245.0,5.1
202201012215,235.0,4.7
202201012230,220.0,2.4
202201012245,235.0,3.6
202201012300,250.0,2.5
202201012330,240.0,1.6
202201012345,225.0,1.9
202201020015,240.0,3.2
202201020030,245.0,2.5
202201020045,250.0,3.5
202201020100,240.0,4.4
202201020115,250.0,4.5
202201020130,240.0,5.7
202201020145,225.0,3.1
202201020200,250.0,3.9
202201020215,225.0,4.3
202201020230,240.0,4.5
202201020330,240.0,5.8
202201020345,260.0,4.9
202201020400,215.0,5.7
202201020415,245.0,4.8
202201020430,255.0,5.6
202201020445,235.0,4.4
202201020500,260.0,3.8
202201020515,270.0,3.7
202201020530,245.0,4.7
202201020545,245.0,4.5
202201020600,245.0,3.9
202201020615,230.0,3.2
202201020630,235.0,3.8
202201020645,235.0,4.7
202201020700,245.0,3.8
202201020715,235.0,5.3
202201020730,260.0,4.0
202201020800,235.0,5.9
202201020815,240.0,4.3
202201020830,280.0,3.8
202201020900,240.0,5.3
202201020915,240.0,5.1
202201020930,240.0,4.4
202201021000,255.0,2.8
202201021015,280.0,3.0
202201021030,265.0,2.1
202201021045,265.0,3.1
202201021100,260.0,1.9
202201021115,255.0,1.2
202201021145,230.0,2.1
202201021200,225.0,1.9
202201021215,265.0,2.1
202201021230,255.0,2.4
202201021245,270.0,2.7
202201021300,270.0,2.5
202201021315,220.0,2.0
202201021330,235.0,2.3
202201021345,245.0,2.2
202201021400,235.0,1.4
202201021415,265.0,1.3
202201021430,290.0,1.0
202201021445,220.0,1.4
202201021500,220.0,1.6
202201021530,250.0,1.4
202201021545,245.0,2.0
202201021600,255.0,1.6
202201021615,255.0,1.3
202201021630,255.0,2.5
202201021645,270.0,2.2
202201021700,250.0,2.3
202201021730,235.0,2.0
202201021745,240.0,2.3
202201021800,235.0,1.1
202201021815,245.0,1.5
202201021830,270.0,2.2
202201021845,250.0,1.1
202201021900,270.0,2.1
202201021915,255.0,1.7
202201021930,270.0,2.5
202201021945,270.0,1.6
202201022000,245.0,1.4
202201022015,160.0,0.7
202201022030,145.0,0.3
202201022045,185.0,0.9
202201022100,295.0,0.1
202201022115,245.0,2.0
202201022130,270.0,1.9
202201022145,295.0,0.9
202201022200,305.0,1.0
202201022215,345.0,0.5
202201022230,290.0,0.7
202201022245,175.0,1.5
202201022300,255.0,
202201022315,175.0,1.0
202201022330,180.0,1.3
202201022345,240.0,0.7
202201030000,120.0,
202201030015,155.0,0.6
202201030030,160.0,0.7
202201030045,240.0,0.9
202201030100,170.0,2.0
202201030115,175.0,2.6
202201030130,165.0,0.6
202201030145,180.0,1.4
202201030200,185.0,1.0
202201030215,175.0,1.8
202201030230,170.0,1.1
202201030245,150.0,1.5
202201030300,135.0,1.5
202201030400,135.0,0.9
202201030415,110.0,0.3
202201030430,160.0,0.4
202201030445,100.0,0.5
202201030500,85.0,0.8
202201030515,85.0,0.3
202201030530,65.0,1.9
202201030545,140.0,0.3
202201030600,25.0,0.4
202201030615,80.0,1.0
202201030630,0.0,1.2
202201030645,90.0,1.2
202201030700,110.0,0.8
202201030715,90.0,2.7
202201030730,100.0,1.7
202201030745,85.0,2.1
202201030800,80.0,1.6
202201030815,50.0,3.2
202201030830,90.0,2.9
202201030845,90.0,5.0
202201030900,90.0,4.6
202201030915,255.0,4.9
202201030930,95.0,2.3
202201030945,85.0,2.2
202201031000,90.0,2.6
202201031015,155.0,1.2
202201031030,0.0,2.4
202201031045,10.0,2.2
202201031100,15.0,2.6
202201031115,15.0,3.4
202201031130,0.0,3.8
202201031145,10.0,2.2
202201031200,15.0,4.0
202201031215,25.0,2.9
202201031230,45.0,1.5
202201031245,10.0,2.8
202201031300,30.0,0.8
202201031315,55.0,1.0
202201031330,90.0,0.7
202201031345,5.0,1.3
202201031400,0.0,2.3
202201031415,5.0,2.3
202201031430,60.0,0.7
202201031445,25.0,1.0
202201031500,75.0,2.4
202201031515,10.0,0.9
202201031530,45.0,1.3
202201031545,20.0,1.3
202201031600,5.0,1.7
202201031615,5.0,2.3
202201031630,0.0,0.9
202201031645,15.0,4.0
202201031700,5.0,2.3
202201031715,60.0,1.5
202201031730,0.0,3.0
202201031745,0.0,1.6
202201031800,5.0,1.8
202201031815,15.0,3.2
202201031830,10.0,1.9
202201031845,15.0,2.1
202201031900,40.0,1.6
202201031915,80.0,2.2
202201031930,95.0,1.6
202201031945,20.0,2.6
202201032015,10.0,1.2
202201032030,85.0,0.3
202201032045,5.0,1.6
202201032100,80.0,0.8
202201032115,35.0,1.0
202201032130,65.0,1.0
202201032145,75.0,0.7
202201032200,45.0,0.4
202201032215,80.0,1.5
202201032230,85.0,1.5
202201032245,80.0,0.5
202201032300,40.0,0.6
202201032315,90.0,1.4
202201032330,75.0,1.8
202201032345,100.0,0.8
202201040000,45.0,1.4
202201040015,80.0,2.0
202201040030,80.0,1.4
202201040045,85.0,0.6
202201040100,120.0,0.6
202201040115,70.0,0.4
202201040130,80.0,0.4
202201040145,105.0,
202201040200,115.0,
202201040215,130.0,
202201040230,180.0,0.7
202201040245,80.0,0.6
202201040315,105.0,
202201040330,100.0,
202201040345,145.0,0.1
202201040400,95.0,0.2
202201040415,95.0,1.0
202201040430,85.0,
202201040445,75.0,0.9
202201040500,125.0,
202201040515,65.0,0.2
202201040530,95.0,0.7
202201040545,75.0,0.5
202201040600,75.0,
202201040615,320.0,0.3
202201040630,125.0,
202201040645,90.0,
202201040700,85.0,
202201040715,75.0,0.8
202201040730,80.0,
202201040745,85.0,0.5
202201040800,90.0,0.3
202201040815,90.0,0.4
202201040830,85.0,0.5
202201040845,85.0,0.3
202201040900,85.0,0.5
202201040915,80.0,0.2
202201040930,75.0,0.6
202201040945,95.0,0.1
202201041000,80.0,1.1
202201041015,75.0,1.5
202201041030,80.0,1.3
202201041045,90.0,1.1
202201041100,85.0,1.4
202201041115,85.0,0.3
202201041130,85.0,1.6
202201041145,85.0,1.3
202201041200,80.0,1.4
202201041215,85.0,1.6
202201041300,70.0,1.2
202201041315,85.0,0.8
202201041330,80.0,0.7
202201041345,80.0,1.7
202201041400,85.0,1.1
202201041415,75.0,0.4
202201041430,140.0,0.6
202201041445,115.0,0.8
202201041515,150.0,1.1
202201041530,100.0,0.6
202201041545,80.0,0.7
202201041600,160.0,1.3
202201041615,140.0,1.7
202201041630,165.0,1.1
202201041645,145.0,1.3
202201041700,80.0,0.9
202201041715,180.0,0.9
202201041730,195.0,1.5
202201041745,155.0,2.2
202201041800,220.0,1.0
202201041815,210.0,1.5
202201041830,165.0,1.4
202201041845,245.0,1.1
202201041900,160.0,0.2
202201041915,160.0,1.0
202201041945,145.0,2.1
202201042000,185.0,1.5
202201042015,155.0,1.1
202201042030,120.0,1.0
202201042045,145.0,1.1
202201042100,75.0,0.6
202201042115,75.0,0.7
202201042130,115.0,0.2
202201042145,70.0,0.3
202201042215,130.0,0.3
202201042230,110.0,0.2
202201042245,105.0,0.2
202201042300,70.0,
202201042315,80.0,0.5
202201042330,75.0,0.1
202201042345,85.0,
202201050000,145.0,
202201050015,80.0,0.1
202201050130,80.0,
202201050330,155.0,0.3
202201050345,100.0,0.6
202201050400,125.0,
202201050415,180.0,0.2
202201050430,135.0,0.8
202201050445,155.0,0.4
202201050530,140.0,0.4
202201050545,150.0,
202201050600,115.0,
202201050615,80.0,
202201050630,140.0,0.7
202201050645,85.0,
202201050700,145.0,0.2
202201050715,85.0,
202201050730,160.0,
