timestamp string,wind direction,wind speed
202201010000,51.1,0.0
202201010015,0.0,0.0
202201010030,108.1,0.0
202201010045,0.0,0.0
202201010100,215.8,0.0
202201010115,0.0,0.0
202201010130,261.1,0.2
202201010145,283.1,0.2
202201010200,274.0,0.3
202201010215,323.5,0.1
202201010230,31.1,0.1
202201010245,344.4,0.0
202201010300,264.3,0.1
202201010315,39.2,0.0
202201010330,240.6,0.1
202201010345,252.4,0.2
202201010400,233.4,0.0
202201010415,93.2,0.0
202201010430,266.8,0.1
202201010445,226.7,0.4
202201010515,227.4,0.9
202201010530,216.8,0.9
202201010545,221.6,0.7
202201010600,224.0,0.9
202201010615,220.9,0.9
202201010630,220.6,0.6
202201010645,234.5,0.8
202201010700,220.7,0.4
202201010715,233.8,0.7
202201010730,222.2,0.5
202201010745,240.0,0.5
202201010800,230.8,0.3
202201010815,211.9,0.4
202201010830,214.9,0.4
202201010845,223.7,0.3
202201010900,211.8,0.6
202201010915,216.4,0.8
202201010930,226.8,0.3
202201010945,233.8,0.2
202201011000,297.4,0.1
202201011015,268.3,0.2
202201011030,307.1,0.0
202201011045,325.2,0.0
202201011100,264.1,0.0
202201011115,0.0,0.0
202201011130,187.1,0.1
202201011145,6.1,0.1
202201011200,201.5,0.0
202201011230,268.3,0.2
202201011245,259.0,0.2
202201011300,295.9,0.1
202201011315,244.9,0.2
202201011330,243.4,0.2
202201011345,274.2,0.2
202201011400,215.6,0.4
202201011415,204.5,0.6
202201011430,208.0,1.2
202201011445,219.2,1.6
202201011500,214.1,1.5
202201011515,200.7,1.7
202201011530,231.7,1.6
202201011545,202.8,1.4
202201011600,224.0,1.8
202201011615,213.9,1.6
202201011630,207.1,2.0
202201011645,220.9,1.8
202201011700,209.7,1.8
202201011715,207.2,1.8
202201011730,229.0,1.9
202201011745,208.3,2.0
202201011815,229.0,2.0
202201011830,212.2,1.9
202201011845,231.2,2.0
202201011900,216.9,2.0
202201011915,229.6,1.9
202201011930,210.4,2.2
202201011945,219.0,1.9
202201012000,220.9,1.8
202201012015,212.5,1.8
202201012030,218.4,1.6
202201012045,212.3,1.6
202201012100,210.6,1.8
202201012115,219.7,1.2
202201012130,211.9,1.6
202201012145,220.8,1.5
202201012200,219.8,1.3
202201012215,208.3,1.7
202201012230,212.8,1.2
202201012245,217.8,1.6
202201012315,212.9,1.0
202201012330,207.4,0.8
202201012345,222.9,1.6
202201020000,200.1,1.8
202201020015,212.0,1.7
202201020030,202.2,1.6
202201020045,215.0,1.9
202201020100,208.8,2.0
202201020115,199.7,2.3
202201020130,217.6,2.1
202201020145,208.3,1.5
202201020200,223.9,1.8
202201020215,206.0,2.2
202201020230,204.7,2.2
202201020245,211.0,2.0
202201020300,211.3,2.0
202201020315,217.2,1.9
202201020330,213.3,2.0
202201020345,214.9,2.0
202201020400,222.2,1.9
202201020415,219.8,2.0
202201020430,216.0,1.9
202201020500,225.1,1.9
202201020515,214.3,2.1
202201020530,220.6,1.7
202201020545,237.8,2.0
202201020600,222.8,1.9
202201020615,217.6,2.3
202201020630,201.2,2.4
202201020645,215.9,2.0
202201020700,214.3,2.0
202201020715,220.4,2.3
202201020730,220.4,1.7
202201020745,221.5,1.6
202201020800,238.9,1.7
202201020815,227.8,1.3
202201020830,235.1,1.2
202201020845,250.6,0.8
202201020900,254.0,0.8
202201020915,270.9,1.0
202201020930,244.8,1.6
202201020945,245.0,1.4
202201021000,244.6,1.3
202201021015,221.6,0.8
202201021030,214.6,0.5
202201021045,211.2,0.5
202201021100,158.4,0.1
202201021115,180.7,0.4
202201021130,221.4,0.2
202201021145,229.3,0.3
202201021200,277.7,0.4
202201021215,208.4,0.7
202201021230,216.3,0.2
202201021245,143.0,0.1
202201021300,180.3,0.4
202201021315,243.1,0.2
202201021330,202.7,0.4
202201021400,202.2,0.1
202201021415,223.1,0.1
202201021430,177.8,0.0
202201021445,223.8,0.1
202201021500,166.8,0.2
202201021515,196.5,0.1
202201021530,220.0,0.1
202201021545,203.7,0.2
202201021600,218.7,0.2
202201021615,249.7,0.1
202201021630,166.8,0.3
202201021645,251.0,0.3
202201021700,200.8,0.4
202201021715,223.3,0.7
202201021730,209.2,0.8
202201021745,184.5,0.5
202201021815,123.4,0.7
202201021830,245.0,0.6
202201021845,100.1,0.6
202201021900,273.6,0.3
202201021915,218.5,0.4
202201021930,127.9,0.3
202201021945,224.8,0.4
202201022000,222.6,0.3
202201022015,203.8,0.4
202201022045,209.3,0.2
202201022115,228.8,0.1
202201022130,218.5,0.0
202201022145,218.5,0.1
202201022200,232.1,0.1
202201022215,0.0,0.0
202201022230,0.0,0.0
202201022245,0.0,0.0
202201022315,0.0,0.0
202201022330,0.0,0.0
202201022345,0.0,0.0
202201030000,0.0,0.0
202201030015,0.0,0.0
202201030030,0.0,0.0
202201030045,315.8,0.3
202201030100,263.8,0.6
202201030115,221.0,0.4
202201030130,223.7,0.2
202201030145,195.2,0.0
202201030200,224.3,0.0
202201030215,77.4,0.0
202201030230,211.3,0.2
202201030245,227.3,0.2
202201030300,227.0,0.2
202201030315,270.1,1.0
202201030330,261.7,0.7
202201030345,239.6,1.6
202201030400,226.4,1.6
202201030415,239.3,1.2
202201030430,231.9,1.3
202201030445,238.0,1.4
202201030500,239.2,1.8
202201030515,234.7,2.0
202201030530,227.4,2.1
202201030600,229.6,2.2
202201030615,243.3,2.1
202201030630,235.4,2.1
202201030645,242.4,2.2
202201030700,240.6,2.3
202201030715,248.2,2.3
202201030730,241.3,2.4
202201030745,231.0,2.2
202201030800,222.4,2.7
202201030815,229.8,2.7
202201030830,237.9,1.7
202201030845,234.4,2.2
202201030900,238.8,2.2
202201030915,251.3,1.9
202201030930,235.4,2.0
202201030945,225.6,2.0
202201031000,223.2,1.9
202201031015,221.5,1.8
202201031030,227.4,2.3
202201031045,248.3,2.1
202201031100,237.2,2.1
202201031115,222.8,2.3
202201031130,234.2,2.0
202201031145,239.0,2.0
202201031200,235.4,2.3
202201031215,217.5,2.0
202201031230,247.1,2.3
202201031245,213.3,2.4
202201031300,284.7,1.9
202201031315,214.9,2.4
202201031330,265.0,2.6
202201031345,227.3,2.2
202201031400,220.4,2.0
202201031415,210.4,2.2
202201031430,164.9,2.2
202201031445,250.7,2.3
202201031500,204.5,2.3
202201031515,196.7,1.8
202201031530,236.5,1.7
202201031545,203.5,2.2
202201031600,256.8,1.6
202201031615,181.3,2.1
202201031630,173.7,2.0
202201031645,212.3,1.8
202201031700,221.1,1.9
202201031715,24.1,1.7
202201031730,256.3,1.9
202201031815,291.7,1.8
202201031830,233.5,2.2
202201031845,185.9,2.0
202201031900,209.8,2.0
202201031915,201.6,1.9
202201031930,227.1,1.7
202201031945,222.3,2.1
202201032000,143.8,1.8
202201032015,164.3,1.8
202201032030,243.5,1.7
202201032045,243.4,1.5
