timestamp string,wind direction,wind speed
202201010000,233.0,1.5
202201010015,236.0,1.6
202201010045,217.0,1.5
202201010100,215.0,1.3
202201010115,216.0,1.2
202201010145,236.0,2.1
202201010200,212.0,1.7
202201010215,215.0,1.4
202201010245,212.0,1.6
202201010300,215.0,1.7
202201010315,209.0,1.4
202201010345,217.0,1.5
202201010400,206.0,1.3
202201010415,226.0,1.9
202201010445,233.0,2.6
202201010500,215.0,1.6
202201010545,230.0,1.0
202201010600,253.0,1.7
202201010615,216.0,0.7
202201010645,230.0,0.4
202201010745,217.0,0.9
202201010800,243.0,3.0
202201010815,203.0,1.0
202201010845,216.0,1.1
202201010900,229.0,1.8
202201010915,217.0,1.4
202201010945,222.0,1.5
202201011015,241.0,3.4
202201011045,233.0,3.6
202201011100,230.0,3.5
202201011115,226.0,3.2
202201011145,236.0,4.1
202201011200,233.0,4.3
202201011215,226.0,3.1
202201011245,226.0,2.8
202201011300,229.0,3.0
202201011315,226.0,2.1
202201011345,219.0,2.8
202201011400,229.0,3.2
202201011445,220.0,2.5
202201011500,217.0,3.0
202201011545,217.0,3.4
202201011600,208.0,2.8
202201011615,203.0,2.5
202201011645,213.0,3.1
202201011700,217.0,3.9
202201011715,200.0,2.7
202201011745,209.0,3.8
202201011800,199.0,3.9
202201011815,226.0,4.3
202201011845,217.0,5.1
202201011900,206.0,4.6
202201011915,200.0,4.9
202201011945,219.0,5.3
202201012000,216.0,5.7
202201012015,223.0,4.9
202201012045,210.0,4.4
202201012100,209.0,5.2
202201012115,212.0,4.9
202201012145,212.0,3.7
202201012200,202.0,4.5
202201012215,209.0,4.7
202201012245,210.0,3.1
202201012300,212.0,3.7
202201012315,215.0,5.6
202201012345,202.0,3.8
202201020000,223.0,3.3
202201020015,216.0,4.6
202201020045,265.0,1.8
202201020100,192.0,0.8
202201020115,275.0,0.5
202201020145,71.0,0.7
202201020200,97.0,1.1
202201020215,86.0,1.9
202201020245,80.0,1.9
202201020300,82.0,1.9
202201020345,55.0,1.6
202201020400,62.0,2.4
202201020415,37.0,1.0
202201020445,127.0,0.9
202201020500,90.0,2.5
202201020515,92.0,2.2
202201020530,83.0,2.0
202201020545,88.0,1.7
202201020615,58.0,1.7
202201020630,18.0,1.7
202201020645,47.0,2.6
202201020715,275.0,0.9
202201020730,205.0,0.4
202201020815,243.0,0.5
202201020830,232.0,0.7
202201020845,206.0,0.4
202201020915,210.0,0.4
202201020930,233.0,0.7
202201020945,195.0,0.1
202201021015,205.0,0.4
202201021030,247.0,1.2
202201021045,,0.0
202201021115,258.0,0.7
202201021130,248.0,0.6
202201021145,260.0,0.2
202201021215,274.0,0.6
202201021230,248.0,0.7
202201021245,215.0,0.5
202201021315,248.0,0.9
202201021330,209.0,0.2
202201021345,220.0,0.6
202201021445,189.0,0.6
202201021515,209.0,0.8
202201021530,191.0,1.0
202201021545,192.0,1.0
202201021615,215.0,1.3
202201021630,219.0,1.2
202201021715,193.0,1.6
