timestamp string,wind direction,wind speed
202201010500,280.0,0.9
202201011600,230.0,7.2
202201011740,240.0,2.7
202201011750,223.0,4.9
202201011800,236.0,4.0
202201011810,238.0,3.6
202201011830,248.0,6.3
202201011840,259.0,7.6
202201011850,230.0,8.0
202201011900,234.0,4.5
202201011910,272.0,6.3
202201011930,270.0,6.3
202201011940,194.0,6.3
202201012000,217.0,3.6
202201012010,256.0,6.7
202201012030,238.0,6.7
202201012040,209.0,4.5
202201012050,242.0,6.3
202201012100,220.0,7.2
202201012110,256.0,15.2
202201012130,246.0,6.7
202201020050,200.0,5.8
202201020300,210.0,7.6
202201020420,200.0,8.9
202201021830,210.0,3.6
202201022240,170.0,0.4
202201030200,160.0,2.7
202201030330,110.0,3.1
202201030440,70.0,3.1
202201031100,340.0,10.3
202201031300,340.0,6.3
202201031410,340.0,4.9
202201031510,22.0,12.1
202201031520,54.0,13.9
202201031530,53.0,11.6
202201031540,108.0,7.2
202201031550,5.0,4.9
202201031600,45.0,3.1
202201031610,74.0,5.8
202201031620,332.0,5.4
202201031630,44.0,4.5
202201031640,34.0,9.4
202201031650,17.0,1.3
202201031700,101.0,4.9
202201031710,88.0,1.3
202201031720,53.0,4.0
202201031730,88.0,3.6
202201031740,61.0,5.4
202201031750,88.0,3.6
202201031800,36.0,11.2
202201031810,343.0,8.0
202201031820,12.0,4.9
202201031830,325.0,1.8
202201031840,,4.0
202201031850,328.0,3.6
202201031900,40.0,5.4
202201031920,40.0,6.7
202201031930,63.0,4.9
202201031940,63.0,5.4
202201031950,42.0,3.1
202201032000,32.0,4.5
202201032010,5.0,2.2
202201032020,28.0,4.9
202201032030,88.0,1.8
202201032040,50.0,1.8
202201032050,76.0,4.5
202201032100,78.0,3.1
202201032110,13.0,3.1
202201032120,76.0,1.3
202201032130,25.0,5.8
202201032140,88.0,3.6
202201032150,43.0,5.4
202201032200,53.0,3.1
202201032220,56.0,5.4
202201032230,56.0,5.4
202201032240,61.0,3.6
202201032250,49.0,5.4
202201032300,74.0,1.8
202201032310,81.0,3.6
202201032320,59.0,0.9
202201032330,82.0,3.1
202201032340,69.0,1.3
202201032350,91.0,6.7
202201040000,76.0,6.7
202201040020,61.0,8.0
202201040030,55.0,7.6
202201040040,54.0,5.4
202201040050,55.0,7.6
202201040100,10.0,3.6
202201040110,64.0,5.8
202201040120,49.0,6.3
202201040130,52.0,5.4
202201040140,49.0,6.7
202201040150,63.0,4.9
202201040210,40.0,7.6
202201040220,46.0,4.0
202201040800,350.0,0.9
202201041340,115.0,6.7
202201041400,124.0,5.8
202201041410,117.0,3.6
202201041420,113.0,5.4
202201041440,107.0,4.9
202201041450,110.0,4.9
202201041500,136.0,2.2
202201041510,96.0,1.8
202201041520,105.0,4.5
202201041530,123.0,3.6
202201041540,119.0,2.2
202201041550,,0.0
202201041600,131.0,0.9
202201041610,138.0,0.4
202201041620,105.0,0.9
202201041630,123.0,1.8
202201041640,174.0,2.2
202201041650,183.0,0.9
202201041700,184.0,0.9
202201041710,137.0,0.9
202201041730,177.0,1.3
202201041740,146.0,0.9
202201041750,156.0,0.9
202201041800,189.0,1.3
202201041810,96.0,1.3
202201041820,154.0,1.3
202201041830,188.0,1.8
202201041850,124.0,1.3
202201041900,161.0,2.2
202201041910,146.0,1.8
202201041920,121.0,0.4
202201041930,182.0,1.8
202201041950,114.0,3.1
202201042010,194.0,0.9
202201042020,161.0,1.8
202201042030,110.0,2.2
202201042040,166.0,2.2
