timestamp string,wind direction,wind speed
202201010004,195.0,1.6
202201010049,180.0,2.8
202201010104,185.0,3.2
202201010119,165.0,3.3
202201010149,185.0,2.9
202201010204,170.0,2.6
202201010219,170.0,2.4
202201010249,175.0,1.7
202201010304,155.0,1.9
202201010319,180.0,1.4
202201010334,170.0,1.6
202201010404,175.0,3.5
202201010419,190.0,4.0
202201010449,175.0,2.1
202201010504,190.0,3.9
202201010519,175.0,3.7
202201010549,195.0,3.2
202201010604,190.0,3.0
202201010619,170.0,2.6
202201010649,195.0,2.7
202201010704,135.0,1.2
202201010719,35.0,0.7
202201010804,165.0,1.1
202201010849,170.0,2.9
202201010904,205.0,2.7
202201010921,195.0,1.4
202201010949,165.0,2.4
202201011019,165.0,1.3
202201011049,305.0,0.4
202201011104,95.0,0.5
202201011120,165.0,1.9
202201011150,185.0,1.0
202201011205,95.0,0.4
202201011220,335.0,0.7
202201011250,175.0,1.1
202201011305,205.0,0.4
202201011320,345.0,1.4
202201011350,330.0,0.5
202201011405,215.0,1.1
202201011420,220.0,0.7
202201011450,140.0,0.9
202201011505,85.0,0.5
202201011520,80.0,0.8
202201011550,75.0,1.1
202201011605,70.0,0.7
202201011620,130.0,1.4
202201011650,210.0,0.6
202201011704,160.0,0.7
202201011720,195.0,0.9
202201011750,110.0,1.1
202201011805,155.0,0.9
202201011820,340.0,2.1
202201011849,190.0,1.5
202201011904,350.0,0.7
202201011920,200.0,1.0
202201011950,160.0,0.7
202201012004,205.0,0.6
202201012020,170.0,1.5
202201012050,175.0,1.4
202201012120,330.0,4.2
202201012149,350.0,5.3
202201012204,345.0,3.9
202201012219,330.0,2.6
202201012249,340.0,1.3
202201012304,340.0,3.0
202201012319,335.0,1.9
202201012349,340.0,2.2
202201020004,330.0,3.3
202201020019,330.0,2.2
202201020050,110.0,1.1
202201020104,200.0,1.0
202201020120,190.0,1.3
202201020149,185.0,3.1
202201020204,180.0,2.9
202201020219,110.0,2.1
202201020250,180.0,1.9
202201020334,155.0,2.9
202201020419,180.0,3.3
202201020449,190.0,3.9
202201020519,185.0,3.5
202201020605,190.0,5.1
202201020649,175.0,4.0
202201020705,210.0,3.4
202201020720,215.0,2.2
202201020735,190.0,1.6
202201020805,205.0,3.6
202201020849,185.0,1.7
202201020904,115.0,0.5
202201020949,35.0,1.1
202201021004,185.0,1.3
202201021019,170.0,1.4
202201021050,240.0,1.2
202201021104,170.0,1.4
202201021120,180.0,2.1
202201021149,210.0,0.7
202201021204,295.0,0.4
202201021219,110.0,0.4
202201021249,290.0,0.7
202201021304,225.0,0.8
202201021319,295.0,2.4
202201021349,145.0,0.7
202201021404,215.0,1.3
202201021419,210.0,1.7
202201021504,210.0,1.8
202201021519,345.0,5.7
202201021549,345.0,2.7
202201021604,345.0,3.1
202201021634,330.0,3.3
202201021704,335.0,4.6
202201021719,335.0,5.4
202201021734,320.0,5.0
202201021804,330.0,4.8
202201021819,355.0,3.5
202201021849,340.0,4.1
202201021904,330.0,4.4
202201022004,340.0,4.8
202201022019,325.0,4.3
202201022049,350.0,0.9
202201022104,320.0,2.7
202201022119,320.0,2.5
202201022149,320.0,2.5
202201022204,340.0,2.5
202201022219,345.0,1.7
202201022249,310.0,2.2
202201022304,325.0,2.6
202201022319,335.0,2.6
202201022349,350.0,4.1
202201030004,355.0,1.7
202201030019,350.0,3.5
202201030049,335.0,2.6
202201030104,350.0,3.5
202201030119,335.0,2.9
202201030149,350.0,4.3
202201030204,335.0,2.8
202201030219,5.0,3.4
202201030249,0.0,2.2
202201030304,355.0,2.6
202201030349,355.0,3.6
202201030404,10.0,1.3
202201030419,355.0,2.2
202201030449,350.0,2.3
202201030504,355.0,1.4
202201030519,0.0,2.8
202201030534,350.0,4.2
202201030604,355.0,4.2
202201030619,355.0,3.2
202201030649,350.0,2.8
202201030704,350.0,4.1
202201030719,355.0,4.3
202201030749,350.0,3.1
202201030804,0.0,2.8
202201030819,355.0,2.5
202201030849,340.0,2.8
202201030904,335.0,3.7
202201030919,350.0,3.8
202201030949,355.0,5.5
202201031004,0.0,2.5
202201031019,350.0,3.3
202201031104,345.0,4.6
202201031119,350.0,3.7
202201031149,350.0,4.2
202201031204,340.0,4.3
202201031219,350.0,5.4
202201031249,355.0,3.9
202201031304,355.0,2.8
202201031319,345.0,5.7
202201031419,355.0,5.1
202201031449,355.0,2.9
202201031504,5.0,2.6
202201031519,345.0,4.5
202201031549,355.0,5.0
202201031604,345.0,4.6
202201031619,340.0,3.1
202201031649,330.0,3.5
202201031704,335.0,3.3
202201031719,345.0,3.3
202201031749,340.0,4.3
202201031804,315.0,4.0
202201031819,315.0,3.5
202201031849,350.0,3.7
202201031904,335.0,1.7
202201031919,340.0,3.0
202201031934,345.0,2.8
202201032004,350.0,2.1
202201032019,310.0,2.0
202201032049,325.0,2.8
202201032104,325.0,2.1
202201032119,350.0,2.1
202201032134,325.0,1.2
202201032149,285.0,0.9
202201032219,265.0,0.8
202201032249,215.0,1.5
202201032304,200.0,1.5
202201032319,195.0,2.3
202201032349,200.0,2.4
202201040004,205.0,2.3
202201040019,185.0,2.5
202201040049,210.0,2.2
202201040104,195.0,2.8
202201040119,195.0,2.6
202201040134,205.0,2.6
202201040204,190.0,2.5
202201040219,185.0,2.5
202201040304,190.0,2.5
202201040319,165.0,1.2
202201040334,155.0,1.3
202201040404,165.0,1.8
202201040419,165.0,1.8
202201040449,170.0,1.8
202201040504,165.0,1.6
202201040519,120.0,0.9
202201040534,100.0,1.0
202201040604,110.0,1.0
202201040619,115.0,0.9
202201040634,105.0,1.1
202201040704,285.0,0.6
202201040719,120.0,0.3
202201040734,125.0,0.5
202201040804,115.0,0.8
202201040819,140.0,0.7
202201040849,170.0,1.1
202201040904,160.0,1.3
202201040934,150.0,1.3
202201040949,160.0,1.6
202201041004,165.0,1.5
202201041034,160.0,1.5
202201041049,160.0,1.3
202201041104,165.0,1.7
202201041134,165.0,1.5
202201041149,155.0,1.6
202201041204,165.0,1.3
202201041304,110.0,1.8
202201041334,150.0,1.2
202201041349,110.0,1.1
202201041404,110.0,1.5
202201041434,160.0,1.3
202201041449,190.0,1.3
202201041504,190.0,1.8
202201041534,145.0,1.9
202201041549,140.0,2.1
202201041634,115.0,1.4
202201041649,155.0,1.7
202201041734,100.0,1.2
202201041749,135.0,1.3
202201041804,140.0,0.9
202201041849,175.0,0.8
202201041904,75.0,1.1
202201041934,225.0,1.5
202201041949,210.0,1.7
202201042004,210.0,1.6
202201042034,215.0,1.8
202201042049,215.0,2.0
202201042104,210.0,1.7
202201042134,165.0,1.1
202201042149,160.0,1.1
202201042204,185.0,1.1
202201042234,150.0,1.1
202201042249,140.0,1.0
202201042304,220.0,1.2
202201042334,170.0,1.5
202201042349,185.0,1.2
202201050335,150.0,1.9
202201050350,150.0,1.9
202201050405,160.0,3.2
202201050435,140.0,1.5
202201050450,175.0,0.8
202201050535,85.0,0.9
202201050550,180.0,0.8
202201050605,175.0,0.9
202201050635,165.0,1.6
202201050705,160.0,1.9
202201050735,160.0,2.4
202201050750,140.0,2.8
202201050805,200.0,1.9
202201050835,145.0,1.4
202201050905,170.0,1.5
202201050920,215.0,1.2
202201050950,195.0,1.2
202201051005,130.0,1.7
202201051034,195.0,1.5
202201051050,175.0,1.1
202201051104,160.0,1.7
202201051120,165.0,2.3
202201051150,165.0,2.6
202201051205,185.0,4.1
202201051235,180.0,2.9
202201051249,175.0,2.6
202201051305,195.0,1.6
202201051334,190.0,3.3
202201051350,190.0,3.4
202201051405,185.0,2.5
202201051420,190.0,3.0
202201051449,175.0,2.6
202201051505,175.0,2.7
202201051519,195.0,3.1
202201051535,190.0,3.9
202201051549,170.0,3.0
202201051604,175.0,2.7
202201051619,210.0,3.4
202201051649,200.0,3.1
202201051704,180.0,3.2
202201051719,190.0,4.0
202201051749,255.0,2.0
202201051804,190.0,3.7
202201051819,135.0,3.1
202201051850,145.0,1.8
202201051904,190.0,4.2
202201051919,215.0,3.0
202201051949,210.0,3.9
202201052020,280.0,1.7
202201052049,110.0,1.3
202201052104,320.0,2.7
202201052119,280.0,1.8
202201052149,165.0,2.7
202201052204,205.0,1.7
202201052219,190.0,0.7
202201052249,185.0,1.1
202201052304,325.0,1.0
202201052319,90.0,1.4
202201052349,340.0,0.8
202201060004,40.0,1.0
202201060034,350.0,1.0
202201060049,285.0,1.8
202201060104,280.0,3.2
202201060134,290.0,4.1
202201060149,330.0,2.5
202201060204,335.0,2.7
202201060234,190.0,1.5
202201060249,335.0,2.1
202201060304,240.0,1.3
202201060319,310.0,2.5
202201060349,280.0,2.6
202201060404,325.0,2.8
202201060419,320.0,3.6
202201060449,310.0,0.7
202201060504,330.0,2.3
202201060519,320.0,2.2
202201060534,335.0,1.5
202201060549,350.0,1.7
