station_name,storage_interval,category,directory_class
MesoWest_AIRNOW_A2679,60,good,good
MesoWest_AIRNOW_A3648,60,suspect,suspect
MesoWest_AIRNOW_A4074,60,good,good
MesoWest_AIRNOW_A4075,60,bad,bad
MesoWest_AIRNOW_A4076,60,good,good
MesoWest_AIRNOW_A4077,60,bad,bad
MesoWest_AIRNOW_A4919,60,bad,bad
MesoWest_APRSWXNET-CWOP_AR749,10,suspect,good
MesoWest_APRSWXNET-CWOP_AS095,10,bad,bad
MesoWest_APRSWXNET-CWOP_AS341,15,bad,bad
MesoWest_APRSWXNET-CWOP_AU317,5,good,good
MesoWest_APRSWXNET-CWOP_AV535,15,suspect,bad
MesoWest_APRSWXNET-CWOP_AV908,10,good,good
MesoWest_APRSWXNET-CWOP_AW059,15,good,good
MesoWest_APRSWXNET-CWOP_AW301,5,bad,bad
MesoWest_APRSWXNET-CWOP_C3873,5,bad,bad
MesoWest_APRSWXNET-CWOP_C4743,15,good,good
MesoWest_APRSWXNET-CWOP_C6135,5,suspect,bad
MesoWest_APRSWXNET-CWOP_C7923,10,good,good
MesoWest_APRSWXNET-CWOP_C8122,5,bad,bad
MesoWest_APRSWXNET-CWOP_C8328,5,bad,bad
MesoWest_APRSWXNET-CWOP_C9665,5,bad,bad
MesoWest_APRSWXNET-CWOP_D1490,10,good,bad
MesoWest_APRSWXNET-CWOP_D2584,15,bad,bad
MesoWest_APRSWXNET-CWOP_D4075,5,good,good
MesoWest_APRSWXNET-CWOP_D5430,15,bad,bad
MesoWest_APRSWXNET-CWOP_D5852,5,good,good
MesoWest_APRSWXNET-CWOP_D6371,5,bad,bad
MesoWest_APRSWXNET-CWOP_D7603,15,good,good
MesoWest_APRSWXNET-CWOP_D8450,15,suspect,bad
MesoWest_APRSWXNET-CWOP_D9425,15,good,good
MesoWest_APRSWXNET-CWOP_E0533,15,suspect,bad
MesoWest_APRSWXNET-CWOP_E1047,5,suspect,bad
MesoWest_APRSWXNET-CWOP_E2855,15,good,good
MesoWest_APRSWXNET-CWOP_E2978,5,bad,bad
MesoWest_APRSWXNET-CWOP_E3320,5,bad,bad
MesoWest_APRSWXNET-CWOP_E4171,15,suspect,suspect
MesoWest_APRSWXNET-CWOP_E4271,5,good,good
MesoWest_APRSWXNET-CWOP_E4281,10,suspect,bad
MesoWest_APRSWXNET-CWOP_E4986,5,good,good
MesoWest_APRSWXNET-CWOP_E5272,5,bad,bad
MesoWest_APRSWXNET-CWOP_E5726,15,suspect,bad
MesoWest_APRSWXNET-CWOP_E5812,15,bad,bad
MesoWest_APRSWXNET-CWOP_E6685,15,bad,bad
MesoWest_APRSWXNET-CWOP_E7930,15,good,good
MesoWest_APRSWXNET-CWOP_E9565,5,good,good
MesoWest_APRSWXNET-CWOP_E9900,5,bad,bad
MesoWest_APRSWXNET-CWOP_F0052,30,good,bad
MesoWest_APRSWXNET-CWOP_F0064,15,bad,bad
MesoWest_APRSWXNET-CWOP_F0136,1,bad,bad
MesoWest_APRSWXNET-CWOP_F1248,15,good,bad
MesoWest_APRSWXNET-CWOP_F1414,10,good,good
MesoWest_APRSWXNET-CWOP_F1884,5,bad,bad
MesoWest_APRSWXNET-CWOP_F2576,6,good,good
MesoWest_APRSWXNET-CWOP_F2983,10,bad,bad
MesoWest_APRSWXNET-CWOP_F3610,5,bad,bad
MesoWest_APRSWXNET-CWOP_F3636,5,suspect,suspect
MesoWest_APRSWXNET-CWOP_F3653,15,suspect,bad
MesoWest_APRSWXNET-CWOP_F3713,5,bad,bad
MesoWest_APRSWXNET-CWOP_F4113,15,suspect,suspect
MesoWest_APRSWXNET-CWOP_F4218,9,good,good
MesoWest_APRSWXNET-CWOP_F5888,5,bad,bad
MesoWest_APRSWXNET-CWOP_F6530,5,bad,bad
MesoWest_APRSWXNET-CWOP_F6596,5,suspect,bad
MesoWest_APRSWXNET-CWOP_F7228,15,good,good
MesoWest_APRSWXNET-CWOP_F8143,5,bad,bad
MesoWest_APRSWXNET-CWOP_F8473,5,good,good
MesoWest_APRSWXNET-CWOP_F8496,5,good,good
MesoWest_APRSWXNET-CWOP_F8533,5,suspect,bad
MesoWest_APRSWXNET-CWOP_F8680,15,suspect,good
MesoWest_APRSWXNET-CWOP_F8865,10,bad,bad
MesoWest_APRSWXNET-CWOP_F8954,5,good,good
MesoWest_APRSWXNET-CWOP_F9102,5,bad,bad
MesoWest_APRSWXNET-CWOP_F9300,15,bad,bad
MesoWest_APRSWXNET-CWOP_G0084,5,good,good
MesoWest_APRSWXNET-CWOP_G0435,15,bad,bad
MesoWest_APRSWXNET-CWOP_G0586,5,good,good
MesoWest_APRSWXNET-CWOP_G0692,5,suspect,bad
MesoWest_APRSWXNET-CWOP_G0905,10,good,good
MesoWest_APRSWXNET-CWOP_G1017,15,bad,bad
MesoWest_APRSWXNET-CWOP_G1362,5,good,good
MesoWest_APRSWXNET-CWOP_G1395,5,bad,bad
MesoWest_APRSWXNET-CWOP_G2192,5,suspect,good
MesoWest_APRSWXNET-CWOP_G2236,5,good,good
MesoWest_APRSWXNET-CWOP_G2457,15,good,good
MesoWest_APRSWXNET-CWOP_G2624,5,suspect,good
MesoWest_APRSWXNET-CWOP_G2771,5,good,good
MesoWest_APRSWXNET-CWOP_G3451,10,suspect,bad
MesoWest_APRSWXNET-CWOP_G3613,5,bad,bad
MesoWest_APRSWXNET-CWOP_G3913,5,suspect,bad
MesoWest_ASOS-AWOS_K0E0,20,good,good
MesoWest_ASOS-AWOS_KABQ,5,good,good
MesoWest_ASOS-AWOS_KAEG,20,good,good
MesoWest_ASOS-AWOS_KALS,5,good,good
MesoWest_ASOS-AWOS_KAXX,20,suspect,good
MesoWest_ASOS-AWOS_KBRG,20,good,good
MesoWest_ASOS-AWOS_KCPW,20,bad,bad
MesoWest_ASOS-AWOS_KLAM,20,good,good
MesoWest_ASOS-AWOS_KLVS,5,good,good
MesoWest_ASOS-AWOS_KPSO,20,bad,bad
MesoWest_ASOS-AWOS_KSAF,5,good,good
MesoWest_ASOS-AWOS_KVTP,20,bad,bad
MesoWest_CAIC_CAWCP,60,nan,bad
MesoWest_CDOT_CO054,10,bad,bad
MesoWest_CDOT_CO057,10,bad,bad
MesoWest_COOPAB_COOPABFN5,1440,nan,bad
MesoWest_COOPAB_COOPALS,1440,nan,bad
MesoWest_COOPAB_COOPAPNN5,1440,nan,bad
MesoWest_COOPAB_COOPBRNN5,1440,nan,bad
MesoWest_COOPAB_COOPCBAN5,1440,nan,bad
MesoWest_COOPAB_COOPCBRN5,1440,nan,bad
MesoWest_COOPAB_COOPCOCN5,1440,nan,bad
MesoWest_COOPAB_COOPCRAN5,1440,nan,bad
MesoWest_COOPAB_COOPCUAN5,1440,nan,bad
MesoWest_COOPAB_COOPEGNN5,1440,nan,bad
MesoWest_COOPAB_COOPELVN5,1440,nan,bad
MesoWest_COOPAB_COOPIGCC2,1440,nan,bad
MesoWest_COOPAB_COOPLAVN5,1440,nan,bad
MesoWest_COOPAB_COOPMNSC2,5,nan,bad
MesoWest_COOPAB_COOPMVSC2,1440,nan,bad
MesoWest_COOPAB_COOPOCTN5,1440,nan,bad
MesoWest_COOPAB_COOPPEDN5,1440,nan,bad
MesoWest_COOPAB_COOPTORN5,1440,nan,bad
MesoWest_COOPAB_COOPWAVC2,1440,nan,bad
MesoWest_COOPA_COOPCHMN5,1440,nan,bad
MesoWest_COOPA_COOPLLUN5,1440,nan,bad
MesoWest_COOPA_COOPMTNN5,1440,nan,bad
MesoWest_COOPA_COOPPSSN5,1440,nan,bad
MesoWest_COOPB_COOPAGRC2,1440,nan,bad
MesoWest_COOPB_COOPCJLN5,1440,nan,bad
MesoWest_COOPB_COOPCUBN5,1440,nan,bad
MesoWest_COOPB_COOPGLDN5,1440,nan,bad
MesoWest_COOPB_COOPMRYN5,1440,nan,bad
MesoWest_COOPB_COOPSFEN5,1440,nan,bad
MesoWest_COOPC_COOPALCN5,1440,nan,bad
MesoWest_CRN_MNRN5,5,nan,bad
MesoWest_CRN_NFEN5,5,nan,bad
MesoWest_CRN_TSNN5,5,nan,bad
MesoWest_CRN_VLCN5,5,nan,bad
MesoWest_CRN_ZTCN5,5,nan,bad
MesoWest_CoAgMet_CSU42,5,good,good
MesoWest_CoAgMet_CSU54,5,good,good
MesoWest_CoAgMet_CSU90,5,suspect,good
MesoWest_CoAgMet_CSU91,5,good,good
MesoWest_DRI_DDPAG,15,suspect,good
MesoWest_DRI_DVLPS,10,suspect,suspect
MesoWest_DRI_VCEB,10,good,good
MesoWest_DRI_VHVC,10,suspect,suspect
MesoWest_DRI_VHVY,10,good,good
MesoWest_DRI_VJEM,10,suspect,suspect
MesoWest_DRI_VRDD,10,bad,good
MesoWest_DRI_VSNT,10,good,good
MesoWest_NCAWOS_3CO4,60,bad,bad
MesoWest_NMAQ_NM2LL,60,nan,bad
MesoWest_NMAQ_NM2ZJ,60,nan,bad
MesoWest_NMAQ_NM3CR,60,nan,bad
MesoWest_NMAQ_NM3SF,60,nan,bad
MesoWest_NMAQ_NM3ZD,60,nan,bad
MesoWest_NMCC_ASCN5,5,good,good
MesoWest_NMCC_CLEN5,5,good,good
MesoWest_NMCC_ERAN5,5,good,good
MesoWest_NMCC_ESWN5,5,good,good
MesoWest_NMCC_LSLN5,5,bad,bad
MesoWest_NMCC_MRMN5,5,good,good
MesoWest_NMCC_SVAN5,5,suspect,suspect
MesoWest_NMCC_TCCN5,5,good,good
MesoWest_NMCC_TSWN5,5,good,good
MesoWest_NMCC_VLSN5,5,good,good
MesoWest_NMDOT_NM001,5,good,bad
MesoWest_NMDOT_NM010,5,suspect,good
MesoWest_NMDOT_NM011,5,bad,bad
MesoWest_NMDOT_NM012,5,bad,bad
MesoWest_RAWS_BHRC2,60,suspect,bad
MesoWest_RAWS_BMRN5,60,good,good
MesoWest_RAWS_CBBN5,60,good,good
MesoWest_RAWS_CIMN5,60,suspect,bad
MesoWest_RAWS_COYN5,60,suspect,good
MesoWest_RAWS_CUHC2,60,good,good
MesoWest_RAWS_DLCN5,60,suspect,good
MesoWest_RAWS_DPKN5,60,suspect,good
MesoWest_RAWS_DYKC2,60,good,good
MesoWest_RAWS_GSCN5,60,suspect,good
MesoWest_RAWS_JARN5,60,suspect,good
MesoWest_RAWS_JESN5,60,suspect,good
MesoWest_RAWS_LRAN5,60,suspect,good
